Logudorese	Asturian	probability
bː	-	1.0
d	d	1.0
sː	ʎ	1.0
z	s	1.0
ɖ	d	1.0
ɖː	ʎ	1.0
ɲː	ɲ	1.0
ʣ	ʝ	1.0
ʦ	θ	1.0
β	β	1.0
i	-	0.121
j	β_j	0.301
k	k	0.591
l	l	0.491
n	ɲ	0.071
n	-	0.091
o	-	0.241
r	-	0.061
ɡ	-	0.161
ˈu	ˈu	0.591
b	b_j	0.252
f	f	0.92
u	-	0.052
ɡ	ʃ	0.512
ˈa	ˈa	0.912
ˈi	ˈe	0.482
ˈo	w_ˈe	0.362
e	e	0.513
i	ˈi	0.103
o	o	0.713
p	p_j	0.183
r	ɾ	0.783
rː	r	0.373
t	ʧ	0.13
u	u	0.913
ð	-	0.103
ˈo	o	0.093
ˈo	ˈo	0.423
e	β_e	0.054
m	ŋ	0.144
m	m	0.844
nː	n	0.544
t	t_ɾ	0.054
ɣ	ɣ	0.504
b	k_w	0.065
i	i	0.265
i	e	0.485
ɣ	<#_ɡ	0.155
ˈe	j_ˈe	0.125
ˈe	ˈe	0.875
e	a	0.06
e	ˈe	0.196
nː	ɲ	0.456
t	t	0.736
ɣ	ʝ	0.066
b	b	0.617
p	p	0.817
r	ʎ	0.057
rː	ɾ_n	0.627
ð	ð	0.897
ɣ	θ	0.137
e	-	0.088
f	-	0.08
k	-	0.158
n	n	0.838
s	s	0.938
t	t_j	0.08
ɡ	ɣ	0.088
ˈi	ˈi	0.458
ˈo	w	0.08
a	a	0.979
e	u	0.09
j	ʃ	0.699
k	θ	0.219
l	ʎ	0.509
r	r	0.079
ɡ	ɡ	0.239
ɣ	-	0.139
ˈi	e	0.059
ˈu	ˈo	0.409
