Catalan	Emilian	probability
b	v	0.579
b	b	0.344
d	d	0.946
d	-	0.054
f	f	0.984
i	-	0.447
i	i	0.441
i	j	0.112
j	-	0.718
j	ð	0.172
j	j	0.11
k	k	0.79
k	ɡ	0.15
l	l	0.658
l	j	0.233
l	-	0.096
m	m	0.832
m	-	0.092
m	ŋ	0.075
n	n	0.623
n	ŋ	0.345
p	p	0.94
p	v	0.06
r	r	0.57
r	r_e	0.282
r	-	0.085
r	o	0.063
s	s	0.591
s	θ	0.324
s	p	0.051
t	t	0.788
t	t_e	0.129
t	d	0.06
u	u	0.648
u	-	0.255
w	z	0.299
w	w	0.184
w	v_e	0.109
w	o	0.08
w	d_e	0.072
w	-	0.068
w	j	0.058
w	e	0.054
z	-	0.741
z	w	0.103
z	ʤ	0.087
z	d	0.069
ð	d	0.63
ð	t	0.219
ð	s	0.151
ŋ	ŋ	1.0
ə	a	0.643
ə	-	0.214
ə	e	0.078
ɡ	ɡ	0.926
ɣ	ɡ_e	0.57
ɣ	ɡ	0.373
ɣ	k	0.057
ɲ	ɲ	0.586
ɲ	n	0.232
ɲ	ð	0.124
ɲ	m	0.058
ɾ	r	0.818
ɾ	e_r	0.118
ʃ	s	1.0
ʎ	l	0.794
ʎ	ʧ	0.101
ʒ	ð	0.706
ʒ	-	0.099
ʒ	ʤ	0.079
ʒ	f	0.069
ʤ	d	0.59
ʤ	θ	0.41
ʧ	ð	0.472
ʧ	s	0.335
ʧ	j	0.193
ˈa	ˈɛ	0.371
ˈa	ˈaː	0.274
ˈa	ˈa	0.252
ˈe	ˈɛ	0.268
ˈe	ˈæ	0.223
ˈe	ˈa	0.172
ˈe	ˈaː	0.103
ˈe	ˈiː	0.102
ˈe	ˈɛː	0.065
ˈi	ˈe	0.523
ˈi	ˈiː	0.186
ˈi	ˈɛ	0.088
ˈi	ˈi	0.063
ˈi	j_ˈɔː	0.057
ˈo	ˈʌu̯	0.362
ˈo	ˈʌ	0.36
ˈo	ˈɔ	0.124
ˈo	ˈo	0.053
ˈu	ˈo	0.448
ˈu	ˈuː	0.299
ˈu	ˈɔ	0.109
ˈu	ˈɔː	0.053
ˈɔ	ˈɔː	0.473
ˈɔ	ˈɔ	0.226
ˈɔ	ˈo	0.081
ˈɔ	ˈuː	0.059
ˈɔ	ˈʌ	0.056
ˈɔ	ˈʌu̯	0.053
ˈɔ	ˈaː	0.053
ˈɛ	ˈa	0.24
ˈɛ	ˈa_j	0.164
ˈɛ	ˈɛ	0.14
ˈɛ	ˈæ	0.103
ˈɛ	ˈɛː	0.088
ˈɛ	ˈʌu̯	0.063
ˈɛ	ˈiː	0.057
ˈɛ	ˈo	0.055
ˈɛ	-	0.055
β	v	0.685
β	p	0.145
β	b	0.132
