Gallurese	Ladin	probability
ʧː	ʧ	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʤ	ʥ	1.0
ʣ	-	1.0
ʒ	-	1.0
ɲː	ɲ	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
w	-	1.0
v	v	1.0
u_l	o_l	1.0
tː	t	1.0
t_a	t_a	1.0
sː	s	1.0
pː	-	1.0
p_r	w_r	1.0
p_j	p_l	1.0
p	p	1.0
o	-	1.0
n_d	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
l_t	r_t	1.0
k_r	k_r	1.0
j	-	1.0
f_j	f_l	1.0
f	f	1.0
e	-	1.0
cː	d	1.0
c	k_l	1.0
bː	-	1.0
b	b	1.0
a_p	a_v	1.0
ɡ	ɡ	0.87
r	r	0.85
a	a	0.841
ˈɛ	ˈɛ	0.839
ˈo	ˈo	0.793
s	s	0.793
r_u	r	0.751
l	l	0.751
ˈa	ˈa	0.724
ɟ	ʒ	0.686
ˈi	ˈi	0.675
ɟː	-	0.653
t	t	0.586
k_u	k	0.58
nː	n_d	0.558
ˈu	ˈu	0.551
rː	r_n	0.549
z	s	0.544
k	ʨ	0.541
ˈɔ	ˈɔ	0.515
d	-	0.512
d	d	0.488
k	k	0.459
z	z	0.456
rː	r	0.451
nː	n	0.442
k_u	ˈɛ_k	0.42
ˈu	ˈo	0.407
i	e	0.402
ˈe	ˈe_j	0.362
ʧ	ʃ	0.354
ɟː	ʤ	0.347
u	o	0.345
ɟ	ʥ	0.314
t	d	0.285
ˈa	ˈɛ	0.276
ˈe	ˈe	0.257
i	i	0.252
r_u	e_r	0.249
ˈe	ˈɛ	0.224
ʧ	ʨ	0.221
ˈɔ	w	0.209
ˈo	ˈɔ	0.207
s	ʃ	0.207
ˈi	ˈe	0.191
u	l	0.191
u	e	0.186
ˈɔ	w_ˈɛ	0.181
ˈɛ	ˈe	0.161
ʧ	w_ʃ	0.16
l	r	0.16
u	-	0.158
i	j	0.154
ʧ	ʦ	0.144
i	-	0.132
ɡ	k	0.13
t	-	0.129
ʧ	ʒ	0.121
a	e	0.103
r	-	0.101
ˈɔ	ˈo	0.095
ˈi	ˈe_j	0.094
ˈe	j_ˈɛ	0.094
l	-	0.089
u	f	0.081
ˈe	j	0.063
i	f	0.06
a	-	0.056
