Westphalian	Proto-Germanic	probability
b	b	0.835
b	p	0.059
b	β	0.059
b	ɸ	0.051
d	d	0.332
d	θ	0.321
d	θ_ɑ̃	0.089
d	ð_ɑ̃	0.078
d	ð	0.069
f	ɸ	0.904
f	β_ɑ	0.067
f	β	0.037
h	x	0.944
h	-	0.056
j	j	1.0
k	k	0.607
k	k_i	0.185
k	k_ɑ	0.14
k	k_s	0.046
k	ɣ	0.036
l	l	0.561
l	l_ɑ	0.118
l	l_i	0.078
l	lː	0.068
l	l_u	0.067
m	m	0.516
m	m_ɑ	0.167
m	n_ɑ	0.081
m	n_ɑ̃	0.071
m	m_i	0.061
n	n_ɑ̃	0.393
n	n	0.33
n	n_i	0.043
n	n_ɑ	0.043
n	u_n	0.043
p	p	0.625
p	p_ɑ̃	0.212
p	pː	0.102
p	x	0.04
r	r	1.0
s	s	0.796
s	s_ɑ̃	0.117
s	x_s	0.08
t	t	0.782
t	ð_i	0.043
t	r_t	0.042
t	ɑ_z	0.041
t	ð	0.032
v	β	0.686
v	w	0.303
w	w	0.866
w	xʷ	0.133
x	ɣ	0.557
x	x	0.249
x	ɣ_ɑ	0.11
x	x_t	0.067
z	s	1.0
ç	z	0.258
ç	ɑ_z	0.224
ç	i_z	0.116
ç	x_s	0.101
ç	x	0.079
ŋ	ŋ_ɡ	0.543
ŋ	ŋ	0.195
ŋ	ɣ	0.083
ŋ	ɣ_ɑ	0.066
ŋ	n_x	0.065
ɐ	ɛː	0.165
ɐ	r	0.155
ɐ	r_ɑ̃	0.115
ɐ	r_ɑ	0.106
ɐ	e	0.073
ə	ɔ̃ː	0.299
ə	ɔːː	0.273
ə	ɑ_z	0.12
ə	ɔː	0.092
ə	i_z	0.079
ɡ	ɣ	1.0
ɣ	ɣ	0.629
ɣ	w	0.361
ɪ	ɑ	0.796
ɪ	ˈi	0.111
ʃ	s	0.657
ʃ	s_k	0.261
ʃ	i_s	0.067
ʃ	ɸ	0.032
ˈa	ˈɑ	0.895
ˈa	ˈu	0.06
ˈa	ˈɑi̯	0.043
ˈaɪ̯	ˈeu̯	0.508
ˈaɪ̯	ˈe	0.224
ˈaɪ̯	ˈiː	0.082
ˈaɪ̯	ˈɑu̯	0.082
ˈaɪ̯	ˈɑi̯	0.067
ˈaʊ̯	ˈɑu̯	0.803
ˈaʊ̯	ˈuː	0.067
ˈaʊ̯	ˈɑ	0.067
ˈaʊ̯	ɔ̃ː	0.066
ˈaː	ˈɑ	1.0
ˈeː	ˈɑi̯	0.89
ˈeː	ˈe	0.099
ˈiə̯	ˈi	1.0
ˈiɛ̯	ˈɑ	0.493
ˈiː	ˈiː	0.591
ˈiː	ˈi	0.258
ˈiː	ˈeː	0.078
ˈiː	ˈeu̯	0.053
ˈiː	ˈiu̯	0.037
ˈoː	ˈɔː	0.874
ˈoː	ˈɑi̯	0.111
ˈuə̯	ˈu	0.325
ˈuə̯	ˈɔː	0.16
ˈuː	ˈuː	0.723
ˈuː	ˈu	0.205
ˈuːə̯	ˈu	0.623
ˈuːə̯	ˈu_r	0.265
ˈuːə̯	ˈeu̯	0.081
ˈyə̯	nː	1.0
ˈyː	ˈiu̯	0.403
ˈyː	u	0.131
ˈyː	ˈu	0.131
ˈyː	ˈɑu̯	0.089
ˈyː	ˈɔː	0.089
ˈyːœ̯	ˈu	1.0
ˈø	j	1.0
ˈøː	ˈɔː	0.558
ˈøː	ˈɑu̯	0.219
ˈøː	ˈɔ	0.219
ˈœː	ˈu	0.277
ˈœː	ˈɑu̯	0.241
ˈœː	ˈɑ	0.136
ˈɒː	ˈɑ	1.0
ˈɔ	ˈɑ	0.545
ˈɔ	ˈu	0.427
ˈɔː	ˈɛː	0.653
ˈɔː	ˈɑ	0.176
ˈɔː	ˈe	0.083
ˈɔː	ˈu	0.064
ˈɛ	ˈɑ	0.435
ˈɛ	ˈe	0.243
ˈɛ	ˈeu̯	0.144
ˈɛ	ˈɔː	0.095
ˈɛ	ˈi	0.073
ˈɛː	ˈe_r	0.66
ˈɛː	ˈɑ	0.322
ˈɪ	ˈi	0.694
ˈɪ	ˈe	0.115
ˈɪ	ˈiː	0.056
ˈɪ	ˈĩː	0.05
ˈɪ	ˈɑi̯	0.05
ˈɪə̯	ˈe	0.784
ˈɪə̯	ˈɑ	0.126
ˈɪɛ̯	ˈe	0.747
ˈɪɛ̯	ˈɑi̯	0.142
ˈɪɛ̯	ˈɑ	0.097
ˈʊ	ˈu	0.798
ˈʊ	ˈuː	0.173
ˈʏ	ˈu	0.699
ˈʏ	w	0.297
