French	Portuguese	probability
k	k	1.0
p	p	1.0
y	ˈu	1.0
z	z	1.0
ə	ɨ	1.0
ɲ	ɲ_ɐ	1.0
ʒ	ʒ	1.0
e	-	0.061
e	ˈa_ɾ	0.51
i	ˈɐ_j	0.051
l	ɫ	0.101
n	-	0.251
o	w	0.171
u	ˈo	0.551
ɔ	ˈɔ	0.171
ɔ	u	0.451
ɛ̃	u	0.321
d	-	0.162
t	t	0.852
ø	u	0.782
œ	ˈɔ	0.392
ɑ̃	ˈẽ	0.332
ɛ	ˈɛ	0.252
ɛ̃	ˈɐ̃_w̃	0.172
ʁ	-	0.062
ʃ	k	0.882
a	j	0.13
a	ɐ	0.543
l	l_ɐ	0.133
l	-	0.3
m	m_ɐ	0.203
o	ˈɔ	0.073
s	s	0.803
ɛ	ˈe	0.233
ɛ̃	ˈĩ	0.113
ɡ	ɣ	0.363
ɥ	ˈu	0.393
ʁ	ɾ	0.623
b	v	0.124
j	ʎ	0.24
n	n_ɐ	0.294
s	-	0.084
u	ˈo_ð	0.074
u	ˈɔ	0.284
v	v	0.804
ɔ̃	ˈõ	0.764
ɛ̃	ɲ_u	0.394
i	u	0.205
j	j	0.125
j	-	0.355
u	u	0.05
w	-	0.505
b	b	0.876
i	ˈe	0.236
o	u	0.756
s	ʃ	0.096
v	β	0.196
w	ˈu	0.196
ɔ̃	ˈɐ̃_w̃	0.236
ɛ	ɐ	0.156
ɛ	ˈa	0.266
ʁ	ɾ_u	0.06
ʁ	ɾ_ɨ	0.076
ʁ	ʁ	0.126
a	ˈa	0.327
d	d	0.7
f	f	0.957
l	l	0.437
m	m	0.797
n	n	0.387
ɛ	ˈɐ	0.057
ɡ	ɡ	0.637
ɥ	ˈo	0.607
i	ˈi	0.458
j	ʎ_ɐ	0.28
ø	ˈɔ	0.218
œ	ˈo	0.608
ɔ	ˈo	0.378
ʃ	k_ɐ	0.118
d	ð	0.139
e	i_ʃ	0.429
n	ɲ_ɐ	0.069
t	-	0.099
w	ˈɐ	0.299
ɑ̃	ˈẽ_t	0.179
ɑ̃	ˈɐ̃	0.489
