Sassarese	Sassarese	probability
β_u	v_u	1.0
β	v	1.0
ˈi_#>	e_#>	1.0
ˈe_#>	ˈɛ_r_e_#>	1.0
ˈa_ɡ	ˈa_k	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧː	c	1.0
ʧ	c	1.0
ʦ	ʧ	1.0
ʣ	ʣ	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	-	1.0
ɮ_d	d	1.0
ɡː	k	1.0
ɔ	u_n	1.0
ŋ	ŋ	1.0
z	z	1.0
x	k	1.0
w	w	1.0
v	v	1.0
u_r	u_l	1.0
u_d	u_t	1.0
tː	tː	1.0
t	t	1.0
s	s	1.0
r_u	l_u	1.0
pː	s_p	1.0
p	p	1.0
nː	nː	1.0
n_i	n	1.0
n	n	1.0
m_u	m_ˈɔ	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	kː	1.0
k	k	1.0
i_ɬ	ʃ	1.0
i_ɡː	i_k	1.0
i_n	i_n	1.0
fː	fː	1.0
f	f	1.0
e	e	1.0
d_u	d_u	1.0
d	d	1.0
bː	p	1.0
a_r	e_r	1.0
a_n	a_n	1.0
a_dː	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_i	<#	1.0
<#_a	<#_a	1.0
#>	e_#>	1.0
a	a	0.973
ˈa	ˈa	0.949
ˈɛ	ˈɛ	0.938
ˈɔ	ˈɔ	0.907
ˈu	ˈu	0.9
u	u	0.891
mː	m	0.875
b	b	0.857
ˈi	ˈi	0.828
ʤ	ɟ	0.818
ɡ	ɡ	0.818
ˈe	ˈe	0.8
r	r	0.771
ʦː	-	0.714
ˈo	ˈo	0.692
ɲː	ɲ	0.667
sː	sː	0.667
j	j	0.667
rː	r_n	0.6
i	e	0.597
dː	t	0.524
ʤː	ɟ	0.5
ʤː	-	0.5
xː	s_k	0.5
xː	k	0.5
dː	lː	0.429
rː	rː	0.4
ɬ	s	0.375
ɬ	r	0.375
ɲː	ŋ_ɟ	0.333
sː	r_s	0.333
ʦː	ʦː	0.286
ɬ	l	0.25
ˈo	ˈɔ	0.231
i	i	0.208
ˈe	ˈɛ	0.2
ʤ	ʤ	0.182
ɡ	k	0.182
j	r	0.167
j	-	0.167
b	v	0.143
mː	mː	0.125
r	l	0.104
ˈi	ˈɛ	0.103
ˈu	ˈɔ	0.1
ˈo	ˈu	0.077
ˈi	i	0.069
i	-	0.065
ˈɛ	-	0.062
i	a	0.052
ˈa	ˈa_l	0.051
