Upper Franconian	Upper Franconian	probability
β	v	1.0
ˈɘ	ˈiː_ɐ	1.0
ˈa	-	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɾ	d	1.0
ɣ̊	χ	1.0
ɡ̊_n	k	1.0
ɐ_n_#>	ʀ_#>	1.0
v̥	f_ə	1.0
t	t	1.0
r	ʀ	1.0
l_d̥	l	1.0
l	l	1.0
j	j	1.0
i	e	1.0
h	h	1.0
f_a	ə_f	1.0
f	f	1.0
eː	e_ŋ	1.0
<#_ˈɒ	<#_ˈaː	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
m	m	0.853
n	n	0.842
ç	ɕ	0.833
ɐ	ɐ	0.8
b̥	b	0.762
v	v	0.704
z̥	s_ə	0.667
ˈaː	ˈeː	0.65
ˈaɪ̯	ˈæːɪ̯	0.619
ˈaʊ̯	ˈæːʊ̯	0.6
ŋ	ŋ	0.6
a	ə_n	0.538
ˈiː	ˈɜɪ̯	0.519
ˈɛː	ˈeː	0.5
ˈɛː	-	0.5
ˈuː	ˈəʊ̯	0.5
x	ɕ	0.5
b̥͡v̥	pʰ	0.5
b̥͡v̥	p	0.5
ˈɒ	ˈɑ	0.476
ˈɔ	ˈo	0.471
a	-	0.462
ɡ̊	kʰ	0.452
ˈʊ	ˈo	0.438
ˈoː	ˈoː	0.409
ˈeː	ˈɜɪ̯	0.4
ˈaʊ̯	ˈɑʊ̯	0.4
ŋ	ə_n	0.4
d̥	d	0.385
ˈɪ	ˈə	0.375
ˈɪ	ˈɑ	0.375
s	z	0.375
ɡ̊	ɡ	0.355
ˈaː	ˈaː	0.35
ˈɒ	ˈaː	0.333
z̥	s	0.333
s	s	0.325
d̥	d̥	0.321
v	w	0.296
ˈɔ	ˈaː	0.294
ˈaɪ̯	ˈɑɪ̯	0.286
x	χ	0.286
d̥	t	0.256
ˈɪ	ˈe	0.25
s	z̥	0.25
ˈɔ	-	0.235
ˈuː	ˈu	0.222
x	-	0.214
ˈɛ	ˈɛː	0.2
ˈɛ	ˈɛ	0.2
ˈɛ	ˈiə̯	0.2
ˈeː	ˈiə̯	0.2
ˈeː	ˈi	0.2
ˈeː	-	0.2
ɡ̊	k	0.194
ˈʊ	ˈɔ	0.188
ˈʊ	ˈuː	0.188
ˈʊ	-	0.188
ˈoː	ˈaː	0.182
ˈoː	-	0.182
ˈuː	ˈʊ	0.167
ç	-	0.167
n	-	0.158
ˈɛ	ˈə	0.15
ˈɛ	-	0.15
ˈiː	ˈə	0.148
ˈiː	ˈiː	0.148
b̥	v̥	0.143
ˈoː	ˈu	0.136
ˈuː	-	0.111
ˈiː	-	0.111
ˈɛ	ˈiː	0.1
ˈɒ	ˈæ	0.095
ˈɒ	ˈuə̯	0.095
ˈaɪ̯	-	0.095
b̥	ə_v̥	0.095
ˈoː	ˈuə̯	0.091
m	n	0.088
ˈiː	ˈɑɪ̯	0.074
ɐ	-	0.067
m	v_ə	0.059
