Slovak	Proto-Balto-Slavic	probability
ʧ	k	1.0
ʦ	k	1.0
ʒ	ɡ	1.0
ʋ	w	1.0
ʊ̯ɔ	a_́	1.0
ʃ	-	1.0
ɲ	n	1.0
ɫ̩	i_́	1.0
ɫ	l	1.0
ɪ̯ɛ	-	1.0
ɪ̯a	i_s	1.0
ɡ̊	s	1.0
ɟ	d	1.0
æ	-	1.0
z̥	zʲ	1.0
uː	n	1.0
r̩ː	i_r	1.0
r̩	r	1.0
r_ɛ	e_́	1.0
p	p	1.0
m	m	1.0
l̩	oː_l	1.0
l	l	1.0
e	e	1.0
b̥	m_b	1.0
b	b	1.0
aː	oː_́ˀ	1.0
z	zʲ	0.932
t	t	0.839
n	n	0.824
ʎ	l	0.74
ɦ	ɡ	0.726
k	k	0.691
r	r	0.689
x	ʃ	0.685
d̥	d_u	0.6
d	d	0.581
iː	a_s	0.538
ɔ	a	0.536
u	au̯	0.522
c	t_ei̯	0.487
i	uː_́ˀ	0.441
d	-	0.419
d̥	d	0.4
s	sʲ	0.382
c	t	0.375
s	s	0.347
a	aː_́ˀ	0.326
ɛ	ai̯	0.318
x	ɡ_a	0.315
ɛ	-	0.313
iː	a_́	0.308
u	a	0.3
ɔ	a_́	0.298
a	aː	0.277
s	ʃ	0.271
ʎ	l_i	0.26
r	a	0.247
ɛ	e_́	0.245
i	ei̯	0.235
u	a_n	0.178
n	n_a	0.176
ɦ	zʲ	0.171
k	-	0.166
t	t_a	0.161
iː	s	0.154
k	k_a	0.143
c	t_i	0.138
i	iː	0.116
a	oː	0.111
i	e_s	0.104
i	a_s	0.104
ɦ	ɡ_a	0.103
a	-	0.102
ɛ	e	0.092
ɔ	e_́	0.083
ɔ	-	0.083
a	r	0.079
z	z	0.068
r	r_a	0.064
a	e	0.061
