Nynorsk Norwegian	Faroese	probability
b	b̥	1.0
d	d̥	0.832
d	tʰ	0.061
e	ɪ	0.339
e	a	0.323
e	ʊ	0.166
e	-	0.117
f	f	0.972
h	h	0.969
j	j	0.571
j	ʤ̊	0.201
j	ʧ	0.111
j	-	0.072
jː	ʤ̊ː	1.0
k	k	0.879
k	ʰk	0.121
kʰ	kʰ	1.0
l	l	0.816
l	l̥	0.102
l	ʎ	0.081
lː	t_l̥	0.628
lː	l	0.312
lː	ɹ	0.061
m	m	0.922
mː	mː	0.694
mː	m	0.306
n	n	0.858
n	n̥	0.125
nː	nː	0.556
nː	n	0.4
p	ʰp	0.502
p	p	0.498
pʰ	pʰ	1.0
s	s	0.974
sː	sː	1.0
t	t	0.713
t	ʰt	0.254
tʰ	tʰ	1.0
tː	ʰtː	1.0
v	v	1.0
ŋ	ŋ	1.0
ŋː	ŋ	1.0
ɑ	a	0.888
ɑ	v̥_a	0.066
ɕ	ʧʰ	0.711
ɕ	ʧ	0.145
ɕ	ʃ	0.086
ɕ	ʰʧ	0.058
ɕː	ʰʧː	0.676
ɕː	t	0.324
ə	ɪ	0.362
ə	ʊ	0.259
ə	-	0.24
ə	a	0.14
ɛ	ɪ	1.0
ɡ	ɡ̊	0.599
ɡ	v	0.185
ɡ	ʤ̊	0.104
ɡ	w	0.067
ɡː	ɡ̊ː	0.893
ɡː	ʤ̊ː	0.107
ɪ	ɪ	1.0
ɲ	ɲ	1.0
ɾ	ɹ	0.816
ɾ	-	0.124
ʃ	ʃ	0.941
ʉ	-	1.0
ʋ	v	0.956
ʰkː	ʰkː	1.0
ʰpː	ʰpː	1.0
ʰtː	ʰtː	0.9
ʰtː	ʰt	0.1
ˈeː	ˈeː	0.464
ˈeː	ˈɛːa̯	0.285
ˈeː	ˈiː	0.141
ˈeː	ˈʊ̯iː	0.057
ˈeː	ˈeə̯	0.054
ˈiː	ˈʊ̯iː	0.775
ˈiː	ˈʊ	0.12
ˈiː	ˈiː	0.056
ˈoː	ˈɔ̯aː	0.756
ˈoː	ˈoː	0.101
ˈuː	ˈɔːu̯	0.597
ˈuː	ˈoː	0.135
ˈuː	ˈɛːi̯	0.069
ˈuː	ˈøː	0.067
ˈuː	ˈɪ	0.057
ˈuː	ˈɛ	0.05
ˈyː	ˈʊ̯iː	0.396
ˈyː	ˈɔːu̯	0.285
ˈyː	ˈʊ	0.17
ˈyː	ˈʏ	0.107
ˈæɪ̯	ˈai̯	0.432
ˈæɪ̯	ˈaːi̯	0.377
ˈæɪ̯	ˈiː	0.138
ˈæɪ̯	ˈɛ	0.053
ˈæʉ̯	ˈɛːi̯	0.946
ˈæʉ̯	ˈɔ̯aː	0.054
ˈæː	ˈeː	0.452
ˈæː	ˈøː	0.343
ˈæː	ˈɛːa̯	0.205
ˈøː	ˈøː	0.885
ˈøː	ˈɛ	0.101
ˈœ	ˈœ	0.722
ˈœ	ˈɔ	0.214
ˈœ	ˈøː	0.063
ˈœʏ̯	ˈɔːi̯	1.0
ˈɑ	ˈa	0.685
ˈɑ	ˈɔ	0.162
ˈɑ	ˈɛːa̯	0.069
ˈɑ	ˈɛ	0.067
ˈɑː	ˈɛːa̯	0.832
ˈɑː	ˈa	0.115
ˈɑː	ˈøː	0.053
ˈɔ	ˈɔ	0.608
ˈɔ	ˈiː	0.177
ˈɔ	ˈʊ	0.137
ˈɔ	ˈœ	0.078
ˈɛ	ˈɛ	0.534
ˈɛ	ˈœ	0.165
ˈɛ	ˈa	0.089
ˈɛ	ˈeː	0.081
ˈɪ	ˈɪ	0.758
ˈɪ	ˈoː	0.134
ˈɪ	ˈɛ	0.077
ˈʉ	ˈʊ	0.894
ˈʉ	ˈʏ	0.106
ˈʉː	ˈʉːu̯	0.56
ˈʉː	ˈɪ	0.24
ˈʉː	ˈuː	0.105
ˈʊ	ˈɔ	0.708
ˈʊ	ˈœ	0.18
ˈʊ	ˈʊ	0.112
ˈʏ	ˈɪ	0.824
ˈʏ	ˈʊ	0.141
