Ukrainian	Belarusian	probability
e	æ	1.0
kʲ	k	1.0
lʲ	lʲ	1.0
mʲ	mʲ	1.0
n	n	1.0
pʲ	pʲ	1.0
r	r	1.0
rʲ	r	1.0
sʲ	sʲ	1.0
tʲ	ʦʲ	1.0
zʲ	zʲ	1.0
ɪ	ɨ	1.0
ʊ	u	1.0
ʍ	w	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
k	-	0.101
w	v	0.881
ʋ	vʲ	0.291
ˈɑ	ˈæ	0.41
ˈɛ	ˈe	0.671
b	p	0.892
d	ʣʲ	0.452
i	i	0.102
i	e	0.252
nʲ	nʲ	0.592
p	pʲ	0.452
ɐ	æ	0.472
ɛ	e	0.092
ʋ	w	0.152
ˈɔ	ˈo	0.982
k	k	0.793
m	mʲ	0.13
t	ʦʲ	0.393
x	xʲ	0.13
ɔ	a	0.923
ˈɪ	ˈɨ	0.523
d	d	0.534
z	zʲ	0.474
ɐ	ˈa	0.054
ɐ	a	0.474
ɛ	æ	0.364
ɛ	a	0.544
ɫ	lʲ	0.204
ʒ	ʂ	0.064
ˈi	ˈɛ	0.074
s	sʲ	0.235
s	s	0.765
ɦ	x	0.245
ʋʲ	-	0.075
ʋʲ	vʲ	0.925
i	a	0.486
k	kʲ	0.106
z	z	0.526
ɦ	-	0.076
ɫ	ɫ	0.796
ʒ	ʐ	0.936
j	i	0.957
m	m	0.87
t	t	0.607
x	x	0.87
ɔ	ʌ	0.077
ʋ	v	0.557
ˈi	ˈe	0.547
ˈɪ	ˈi	0.477
b	b	0.108
nʲ	n	0.408
p	p	0.548
i	æ	0.159
w	w	0.119
ɦ	ɣ	0.679
ˈi	ˈo	0.379
ˈɑ	ˈa	0.59
ˈɛ	ˈɵ	0.329
