German	West Flemish	probability
b	b	0.828
b	v	0.156
d	d	0.917
d	-	0.082
f	v	0.85
f	p	0.15
h	-	0.808
h	ɦ	0.078
h	z	0.077
h	k	0.05
j	j	1.0
k	h	0.409
k	ɦ	0.329
k	k	0.258
k_s	s	1.0
kʰ	k	0.887
kʰ	-	0.112
l	l	0.905
l	w	0.094
l_t	t	1.0
m	m	1.0
n	n	0.923
n	-	0.072
p	f	0.703
p	-	0.12
p	p	0.112
p͡f	p	0.715
p͡f	f	0.28
s	t	0.462
s	s	0.401
s	ɾ_s	0.082
s	z	0.047
t	t	0.886
t	d	0.058
t	-	0.055
tʰ	d	0.893
tʰ	t	0.107
v	ʋ	0.941
v	-	0.058
x	h	0.761
x	k	0.224
z	z	0.78
z	s	0.216
ç	k	0.376
ç	h	0.368
ç	-	0.089
ç	ŋ	0.085
ç	ç	0.069
ŋ	ŋ	1.0
ɐ	ɾ	1.0
ə	-	0.625
ə	ə	0.374
ɡ	ɦ	0.944
ɡ	-	0.056
ɪ	ə	0.304
ɪ	m	0.218
ɪ	ɪ	0.218
ʁ	ɾ	0.845
ʁ	-	0.126
ʁ	z	0.04
ʃ	s	0.581
ʃ	z	0.245
ʃ	ʃ	0.163
ʦ	t	1.0
ˈa	ˈɑ	0.684
ˈa	ˈɒː	0.126
ˈa	ˈu	0.058
ˈa	ˈɔ	0.044
ˈa	ˈæ	0.042
ˈa_l	ˈu	0.263
ˈaɪ̯	ˈi	0.405
ˈaɪ̯	ˈɛː	0.303
ˈaɪ̯	ˈeː	0.091
ˈaɪ̯	ˈɛ	0.069
ˈaɪ̯	ˈiə̯	0.058
ˈaʊ̯	ˈoː	0.504
ˈaʊ̯	ˈyː	0.387
ˈaʊ̯	ˈu	0.067
ˈaʊ̯	ˈɔ	0.052
ˈaː	ˈɒː	0.61
ˈaː	ˈɑ	0.283
ˈaː	ˈɛ	0.062
ˈaː	ˈøː	0.054
ˈeː	ˈiə̯	0.297
ˈeː	ˈeː	0.238
ˈeː	ˈɛː	0.22
ˈeː	ˈæ	0.126
ˈeː	ˈɒː	0.095
ˈiː	ˈiə̯	0.842
ˈiː	ˈi	0.098
ˈiː	ˈeː	0.059
ˈoː	ˈoː	0.696
ˈoː	ˈøː	0.147
ˈoː	ˈɛː	0.087
ˈoː	ˈɒː	0.054
ˈuː	ˈuə̯	1.0
ˈyː	ˈuə̯	0.796
ˈyː	ˈoː	0.164
ˈøː	ˈoː	1.0
ˈœ	ˈɔ	1.0
ˈɔ	ˈoː	0.409
ˈɔ	ˈɔ	0.35
ˈɔ	ˈœ	0.157
ˈɔ	ˈu	0.071
ˈɔʏ̯	ˈiə̯	0.67
ˈɔʏ̯	ˈyː	0.254
ˈɔʏ̯	ˈeː	0.064
ˈɛ	ˈæ	0.273
ˈɛ	ˈeː	0.219
ˈɛ	ˈɛ	0.115
ˈɛ	ˈœ	0.081
ˈɛ	ˈɪ	0.081
ˈɛː	ˈɒː	1.0
ˈɪ	ˈɪ	0.499
ˈɪ	ˈæ	0.235
ˈɪ	ˈɛ	0.183
ˈɪ	ˈœ	0.059
ˈɪ	ə	0.045
ˈʊ	ˈu	0.511
ˈʊ	ˈɔ	0.366
ˈʊ	ˈuə̯	0.108
ˈʏ	ˈœ	0.246
ˈʏ	ˈʏ	0.222
ˈʏ	-	0.222
ˈʏ	ˈɪ	0.222
