Gothic	Gothic	probability
β	v	1.0
ˈɔː_s	ˈɔːi̯_ɹ	1.0
ˈuː	ˈʉːu̯	1.0
ˈiː	ˈʊ̯iː	1.0
ˈiu̯_#>	ˈɛːa̯_#>	1.0
ʍ	kʰ_v	1.0
ɣ	-	1.0
ɡʷː	ɡ̊	1.0
ɡʷ	ʤ̊	1.0
ɡ	ɡ̊	1.0
ɔː	a	1.0
ð	-	1.0
x	-	1.0
t_s	t	1.0
t_oː	ʰt͡n̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_n	t͡n̥	1.0
nː	nː	1.0
n_θ	nː	1.0
n_oː	n_a	1.0
n_#>	#>	1.0
m	m	1.0
lː	t͡l̥	1.0
l_θ	t͡l̥	1.0
kʷ	kʰ	1.0
j	-	1.0
iː	ʊ	1.0
h_t	ʰt	1.0
h_l	l	1.0
e	l_ɪ	1.0
aː	-	1.0
a_r	ɪ_ɹ	1.0
a_n	a	1.0
a	a	1.0
<#_θ	<#_tʰ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_ɹ	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#	1.0
#>	ʊ_ɹ_#>	1.0
t	t	0.867
b	b̥	0.867
ŋ	ŋ	0.857
l	l	0.842
w	v	0.812
r	ɹ	0.8
oː	a	0.8
d	d̥	0.8
n	n	0.767
<#_s	<#_s	0.765
a_#>	#>	0.75
ˈɔː	ˈɛːi̯	0.714
ˈoː	ˈɔːu̯	0.714
ˈu	ˈʊ	0.706
k	k	0.7
h	h	0.7
ˈeː	ˈɔ̯aː	0.667
f	f	0.632
p	p	0.625
i	-	0.625
ˈɔ	ˈɔ	0.571
u	ʊ	0.545
s	ʊ_ɹ	0.545
θ	-	0.5
ˈɛ	j	0.5
u	-	0.455
ˈɔ	-	0.429
ˈiu̯	ˈʊ	0.375
ˈiu̯	ˈʉːu̯	0.375
p	ʰp	0.375
i	ɪ	0.375
f	v	0.368
ˈi	ˈɪ	0.367
ˈa	ˈa	0.351
ˈɛː	ˈɛ	0.333
ˈɛː	ˈaːi̯	0.333
ˈɛː	ˈai̯	0.333
ˈeː	-	0.333
θ	w	0.3
k	-	0.3
h	-	0.3
ˈɔː	ˈɔ̯aː	0.286
ˈoː	-	0.286
ˈɛ	ˈʊ_ʤ̊ː	0.25
ˈɛ	-	0.25
ˈiu̯	ˈɔːu̯	0.25
a_#>	ʊ_ɹ_#>	0.25
<#_s	<#_ʃ	0.235
ˈa	ˈɛːa̯	0.216
θ	j_ʊ	0.2
s	ɹ	0.2
r	-	0.2
oː	-	0.2
w	-	0.188
ˈu	-	0.176
ˈi	ˈiː	0.167
ˈa	ˈɛ	0.162
l	l̥	0.158
s	s	0.145
ŋ	ɲ	0.143
ˈa	ˈɔ	0.135
ˈi	ˈeː	0.133
t	ʰt	0.133
b	-	0.133
ˈu	ˈɔ	0.118
n	-	0.1
d	ʤ̊	0.1
d	-	0.1
ˈa	ˈeː	0.081
s	v	0.073
ˈi	ˈɔ	0.067
ˈi	ˈœ	0.067
ˈi	ˈoː	0.067
ˈi	ɹ	0.067
ˈi	-	0.067
n	n̥	0.067
n	a	0.067
ˈa	ˈɔ̯aː	0.054
