American English	Pennsylvania German	probability
b	b	0.934
b	-	0.066
d	d̥	0.48
d	d	0.443
f	f	0.789
f	l_b̥	0.087
f	b̥	0.083
h	h	1.0
i	ɪ	0.795
i	eː	0.117
i	-	0.088
j	ɡ	0.438
j	j	0.355
j	ˈiː	0.208
k	k	0.486
k	x	0.336
k	ç	0.178
kʰ	kʰ	0.963
m	m	0.916
n	n	0.906
n	-	0.094
oʊ̯	ɪ	0.506
oʊ̯	-	0.247
oʊ̯	j	0.247
p	f	0.873
p	p	0.116
pʰ	pʰ	0.461
pʰ	p͡f	0.41
pʰ	b	0.129
s	s	0.645
s	ʃ	0.334
t	t	0.597
t	d	0.228
t	s	0.175
tʰ	ʦ	0.932
tʰ	b	0.068
tː	ʦ	1.0
v	v	0.519
v	f	0.421
v	b̥	0.06
w	ʋ	0.828
w	-	0.103
w	v	0.069
z	s	0.531
z	ɾ	0.469
ð	d	0.914
ð	n	0.086
ŋ	ŋ	0.941
ŋ	ɪ	0.059
ə	ə	0.463
ə	-	0.401
ə	ˈɛ	0.136
ɚ	ɑ	0.847
ɚ	-	0.087
ɚ	ə	0.067
ɡ	ɡ	0.989
ɪ	ɪ	1.0
ɫ	l	0.935
ɹ	ɾ	0.694
ɹ	ɑ	0.219
ɹ	-	0.087
ɾ	s	0.754
ɾ	x	0.246
ʃ	ʃ	1.0
ʔ	s	0.628
ʔ	ʦ	0.185
ʔ	ç_t	0.081
ʔ	x_t	0.077
ʤ	k	1.0
ʧ	kʰ	0.514
ʧ	ç	0.257
ʧ	x	0.19
ˈaɪ̯	ˈaɪ̯	0.427
ˈaɪ̯	ˈɪ	0.31
ˈaɪ̯	ˈiː	0.076
ˈaʊ̯	ˈaʊ̯	0.642
ˈaʊ̯	ˈuː	0.221
ˈaʊ̯	ˈʊ	0.061
ˈeɪ̯	ˈɔː	0.42
ˈeɪ̯	ˈa	0.406
ˈeɪ̯	ˈeː	0.067
ˈeɪ̯	j	0.054
ˈeɪ̯	ˈoː	0.054
ˈi	ˈiː	0.261
ˈi	ˈɔː	0.237
ˈi	ˈeː	0.139
ˈi	ˈoː	0.121
ˈi	ˈaɪ̯	0.091
ˈoʊ̯	ˈeː	0.649
ˈoʊ̯	ˈa	0.107
ˈoʊ̯	ˈɔ	0.055
ˈoʊ̯	ˈɪ	0.055
ˈu	ɑ	0.249
ˈu	ˈʊ	0.19
ˈu	ˈuː	0.137
ˈu	ˈiː	0.078
ˈu	ˈɔː	0.078
ˈu	ˈoː	0.064
ˈu	ˈa	0.053
ˈu	ˈaʊ̯	0.052
ˈæ	ˈa	0.734
ˈæ	ˈɛː	0.105
ˈæ	ˈɛ	0.078
ˈæ	ˈɔː	0.053
ˈɑ	ˈa	0.289
ˈɑ	ˈɛː	0.285
ˈɑ	ˈɔ	0.144
ˈɑ	ˈaː	0.092
ˈɑ	ˈɔː	0.087
ˈɑ	ˈeː	0.051
ˈɑ	ˈʊ	0.051
ˈɔ	ˈaː	0.31
ˈɔ	ˈa	0.263
ˈɔ	ˈɛː	0.148
ˈɔ	ˈɔː	0.132
ˈɔ	ˈiː	0.074
ˈɔ	ˈɛ	0.074
ˈɛ	ˈɛ	0.345
ˈɛ	ˈeː	0.191
ˈɛ	ˈɔː	0.107
ˈɛ	ˈoː	0.082
ˈɛ	ˈa	0.054
ˈɛ	ˈɪ	0.052
ˈɝ	ˈaː	0.66
ˈɝ	ˈɛː	0.179
ˈɝ	ɾ	0.116
ˈɪ	ˈɪ	0.77
ˈɪ	ˈɛ	0.071
ˈʊ	ˈuː	0.575
ˈʊ	ˈɔ	0.425
ˈʌ	ˈʊ	0.674
ˈʌ	ˈoː	0.098
ˈʌ	ˈaʊ̯	0.086
ˈʌ	ˈeː	0.051
ˈʌɪ̯	ˈaɪ̯	0.44
ˈʌɪ̯	ˈɪ	0.279
ˈʌɪ̯	ˈa	0.209
ˈʌɪ̯	ˈɛ	0.072
θ	d	0.646
θ	d̥	0.258
θ	-	0.096
