Romagnol	Romagnol	probability
θ	ʦ	1.0
ˈẽ	ˈi	1.0
ˈe	e̯ˈa	1.0
ˈa	ˈa	1.0
ʧ	k_ʎ	1.0
ʤ	ɡ_ʎ	1.0
ɐ_r	r_u	1.0
ɐ_#>	#>	1.0
ŋ	n	1.0
w	o̯ˈa	1.0
t_ɐ_r_#>	#>	1.0
o	ˈə	1.0
k_ˈu	k_ˈu	1.0
k_v	p	1.0
k	k	1.0
j̃	n	1.0
j_ˈeː	j	1.0
i	-	1.0
a	-	1.0
<#_θ	<#_ʦ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
ˈeə̯	ˈa	0.895
<#_l	<#_l	0.833
r	r	0.818
s	s	0.815
p	p	0.8
n	n	0.794
m	m	0.778
ˈou̯	ˈu	0.769
ɡ	k	0.769
ˈo	ˈu	0.75
u	u	0.75
<#_v	<#_v	0.75
l_#>	r_#>	0.714
<#	<#_a	0.714
b	b	0.692
t	t	0.679
ˈu	ˈo	0.667
r_ɐ	r_ə	0.667
f	f	0.643
ˈõũ̯	ˈu_n	0.6
ˈeː	e̯ˈa	0.6
ɲ	-	0.6
ɐ	ə	0.586
ˈɔə̯	ˈo	0.556
ð	ʣ	0.556
ˈɛə̯	ˈe	0.545
d	d	0.542
ˈʌ̃	ˈɨ	0.538
ˈi	ˈi	0.526
ˈɔ	ˈo	0.5
ˈɛə̯	-	0.455
j	l	0.455
ð	ʤ	0.444
l	r	0.444
#>	i_#>	0.423
ˈõũ̯	n	0.4
ˈeː	ˈe	0.4
ɲ	ɲ	0.4
ˈɛ	e̯ˈa	0.389
l	l	0.389
z	ʦ_i	0.375
z	-	0.375
f	ç	0.357
ˈɔ	ˈu	0.333
ˈu	j	0.333
r_ɐ	r	0.333
ˈʌ̃	ˈɨ_n	0.308
b	-	0.308
l_#>	#>	0.286
<#	<#_t	0.286
j	ˈi	0.273
j	-	0.273
#>	u_#>	0.268
ˈo	o̯ˈa	0.25
z	i	0.25
u	ˈo	0.25
d	t	0.25
<#_v	<#_j	0.25
ˈou̯	o̯ˈa	0.231
ɡ	ɡ	0.231
ɐ	i	0.224
ˈɛ	ˈi	0.222
ˈɛ	ˈe	0.222
ˈɔə̯	ˈa_v	0.222
ˈɔə̯	-	0.222
v	w	0.222
m	ɲ	0.222
t	p_t	0.214
ˈi	-	0.211
d	ʣ	0.208
p	k	0.2
s	ʃ	0.185
ˈɛ	-	0.167
ˈɔ	o̯ˈa	0.167
v	p	0.167
v	i	0.167
v	-	0.167
l	ʎ	0.167
<#_l	<#_ʎ	0.167
ˈi	e̯ˈa	0.158
#>	r_i_#>	0.155
ˈʌ̃	-	0.154
n	-	0.147
#>	ə_#>	0.127
v	ˈo	0.111
v	j_i	0.111
t	ʦ	0.107
ˈi	ˈe	0.105
ˈeə̯	r	0.105
ɐ	-	0.069
r	r_u	0.061
r	i_r	0.061
r	a	0.061
n	m	0.059
v	z	0.056
ɐ	u	0.052
