Mainland North Frisian	Mainland North Frisian	probability
ˈɛː_ʀ_#>	ˈoɐ̯_#>	1.0
ˈɛi̯	-	1.0
ˈɔː	-	1.0
ˈɔu̯	-	1.0
ˈɒ_x	x	1.0
ˈu	-	1.0
ˈi_t	ˈai̯_s	1.0
ˈaː	-	1.0
ˈa_ʀ	r	1.0
ʃ_#>	ʃ_#>	1.0
ʃ	ʃ	1.0
ɡ	ɡ̊	1.0
ɛi̯	eɐ̯	1.0
ə_ʀ	a	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç	ɡ̊_a	1.0
z̥	-	1.0
z_ə	s_n	1.0
x	x	1.0
v_ˈʊ	ʋ	1.0
v_ə	m	1.0
tʲ	s	1.0
s_t	ʃ_d̥	1.0
nʲ_#>	#>	1.0
m	m	1.0
l_ə	j	1.0
l_#>	j_#>	1.0
k_#>	#>	1.0
j_ˈa	ˈe	1.0
h	h	1.0
f	f	1.0
dʲ	d̥	1.0
d_ʀ	d̥_r	1.0
d_ə	ŋ	1.0
b	b̥	1.0
<#_ʀ	<#_r	1.0
d	d̥	0.889
p	f	0.8
s	s	0.758
v	ʋ	0.714
d̥	d̥	0.7
ˈɛː	ˈe	0.667
ˈɔ	ˈo	0.667
ˈyː	-	0.625
l	l	0.607
ˈœː	-	0.6
n	n	0.6
lʲ	j_d̥	0.6
j	-	0.6
#>	ɡ̊_#>	0.6
ə	a	0.538
t	d̥	0.514
ˈɒ	ˈo	0.5
ˈɒ	-	0.5
ˈai̯	ˈi	0.5
ˈai̯	-	0.5
ʀ	ɐ	0.5
nʲ	ŋ	0.5
nʲ	n_d̥	0.5
j_ə	ɡ̊	0.5
j_ə	ŋ	0.5
i	i	0.5
i	-	0.5
ˈʊ	ˈu	0.467
ˈi	ˈai̯	0.467
ə	n	0.462
ˈɛ	-	0.444
ˈɒː	ˈɑ	0.429
v̥	b̥	0.429
ˈœː	ˈau̯	0.4
ˈi	ˈi	0.4
ˈeː	ˈe	0.4
ˈeː	-	0.4
t	ʦ	0.4
lʲ	j	0.4
j	ɡ̊	0.4
ˈʏ	ˈau̯	0.385
ˈyː	ˈou̯	0.375
ˈiː	ˈoɐ̯	0.36
ʀ	r	0.353
ˈɛː	-	0.333
ˈɛ	ˈi	0.333
ˈɔ	-	0.333
k	x	0.333
ˈʏ	ˈu	0.308
ˈʏ	-	0.308
ˈœ	ˈuɐ̯	0.308
ˈœ	ˈo	0.308
d̥	d̥_n	0.3
ˈɒː	ˈɒː	0.286
ˈɒː	ˈe	0.286
v̥	β	0.286
v̥	f	0.286
k	kʰ	0.286
ˈiː	ˈiɐ̯	0.28
ˈuː	ˈaː	0.273
ˈʊ	-	0.267
ˈa	ˈi	0.267
ˈa	-	0.267
l	j	0.25
s	ʃ	0.242
k	ɡ̊	0.238
ˈœ	ˈu	0.231
ˈɛ	ˈuɐ̯	0.222
ˈiː	ˈeː	0.2
ˈeː	ˈi	0.2
ˈa	ˈe	0.2
p	-	0.2
n	n_d̥	0.2
#>	n_#>	0.2
#>	b̥_#>	0.2
ˈuː	ˈo	0.182
ˈuː	ˈa	0.182
ˈuː	ʋ_ˈo	0.182
ˈuː	-	0.182
ˈœ	-	0.154
l	l_ˈɑ	0.143
k	kʰ_ˈe	0.143
ˈʊ	ˈa	0.133
ˈʊ	ʋ	0.133
ˈi	-	0.133
ˈa	ˈiː	0.133
ˈa	ˈai̯	0.133
n	-	0.125
d	s	0.111
v	m	0.095
v	f	0.095
v	-	0.095
ʀ	a	0.088
t	s	0.086
ˈiː	ˈaː	0.08
ˈiː	-	0.08
n	n_ˈɑː	0.075
ʀ	-	0.059
