Macedonian	Old Prussian	probability
ʧ	b	1.0
ʦ	-	1.0
ʣ	z	1.0
ʒ	-	1.0
ʃ	k	1.0
ɫ	l	1.0
ɡ̊	ɡ_i	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_d	ai̯	1.0
ɔ	-	1.0
z̥	-	1.0
z	z	1.0
v_ɛ	w	1.0
v	v	1.0
u_v	u_s	1.0
s	s	1.0
r̩	r	1.0
p	p	1.0
m	m	1.0
l	l	1.0
f	au̯	1.0
e	iː	1.0
d	d	1.0
c	-	1.0
b	b	1.0
r	r	0.848
t	t	0.742
u	au̯	0.717
n	n	0.694
j	a	0.692
k	k	0.664
i	u	0.522
o	a	0.484
ɛ	e	0.395
a	o	0.366
k	i	0.336
a	-	0.334
j	eː	0.308
n	-	0.306
u	aːu̯	0.283
t	n_t	0.258
i	e	0.254
ɛ	a	0.248
o	i	0.24
ɛ	-	0.224
a	i_n	0.187
o	o	0.153
r	r_i	0.152
i	uː	0.14
ɛ	i	0.133
o	-	0.123
a	ŋ	0.114
i	oːu̯	0.084
