Piedmontese	Piedmontese	probability
ˈə	-	1.0
ˈø_#>	ˈo_k_#>	1.0
ˈu_r	o̯ˈa_r	1.0
ʧ	k	1.0
ɲ	m	1.0
ə	-	1.0
ŋ_#>	n_#>	1.0
z_#>	#>	1.0
v_#>	w_#>	1.0
t_#>	t_#>	1.0
s_#>	s_#>	1.0
r_t	r_t	1.0
r_a	r_ə	1.0
p	p	1.0
n	n	1.0
m_#>	m_e_#>	1.0
l_#>	r_#>	1.0
j_t	p_t	1.0
j_#>	kʲ_#>	1.0
i	-	1.0
dː	d_ˈe	1.0
b_ˈɛ	f_r	1.0
b	b	1.0
a_n	i_n	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
f	f	0.905
r	r	0.892
k	k	0.848
ˈy	ˈu	0.846
m	m	0.833
ŋ	n	0.773
t	t	0.773
<#_t	<#_t	0.75
d	d	0.696
ˈi	ˈi	0.692
ʤ	ʤ	0.667
a	ə	0.654
#>	e_#>	0.628
ɡ	ɡ	0.625
ˈu	ˈu	0.607
w	l	0.6
ˈø	ˈo	0.583
u	u	0.571
s	s	0.522
ˈɛ_ŋ	ˈi_m	0.5
ˈɛ_ŋ	n	0.5
z	ʧ	0.5
ˈa	ˈa	0.486
v	v	0.444
u	-	0.429
l	l	0.429
e	e	0.429
ˈɔ	ˈo	0.421
w	-	0.4
ɡ	-	0.375
ˈɛ	ˈe	0.333
ʤ	ʒ	0.333
v	-	0.333
ˈɔ	o̯ˈa	0.316
ˈe	ˈe	0.31
z	ʤ	0.3
ˈa	ˈɨ	0.286
l	r	0.286
ˈe	ˈa_r	0.276
j	l	0.261
j	j	0.261
ˈø	o̯ˈa	0.25
<#_t	<#_ʦ	0.25
ˈɛ	j_ˈe	0.233
t	p_t	0.227
d	z	0.217
z	-	0.2
e	e_r	0.19
ˈu	ˈo	0.179
j	r	0.174
j	-	0.174
ˈø	-	0.167
m	-	0.167
ˈɔ	ˈu	0.158
ˈy	-	0.154
a	e	0.154
a	-	0.154
#>	ə_#>	0.154
s	ʧ	0.152
v	p	0.148
ˈu	o̯ˈa	0.143
l	u_m	0.143
l	-	0.143
e	ˈi_r	0.143
e	-	0.143
ˈe	ˈa	0.138
ˈe	e̯ˈa	0.138
j	e	0.13
ˈi	ˈi_k	0.115
ˈi	ˈe	0.115
s	ʃ	0.109
ˈɔ	ˈau̯	0.105
ˈɛ	ˈi	0.1
ˈɛ	r	0.1
ˈɛ	j_ˈa	0.1
f	-	0.095
e	r	0.095
ŋ	ɨ_n	0.091
ŋ	-	0.091
k	ʧ	0.091
s	ʦ	0.087
s	ʃ_t	0.087
d	t	0.087
ˈa	ˈa_t	0.086
ˈa	-	0.086
ˈi	-	0.077
v	z_b	0.074
ˈu	ˈo_j	0.071
ˈe	e	0.069
ˈe	-	0.069
ˈɛ	ˈa	0.067
ˈɛ	e̯ˈa	0.067
#>	u_#>	0.064
#>	r_e_#>	0.064
k	-	0.061
ˈa	ˈɨ_j	0.057
r	ə	0.054
r	r_ə	0.054
