Bulgarian	Bulgarian	probability
ˈ_#>	#>	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʒ̊	-	1.0
ʃ_t	ʦ	1.0
ɫ_#>	l_#>	1.0
ɡ̊	ɡ̊	1.0
ɛ_n	n_i	1.0
ɐ_t	ʦ	1.0
ɐ_k	ʧ_i	1.0
z	z	1.0
x	x	1.0
vʲ	-	1.0
v	v	1.0
tʲ	ʦ	1.0
s_ɛ	s	1.0
s	s	1.0
rʲ	r	1.0
r_a	a	1.0
r_#>	r_#>	1.0
pʲ	p_j	1.0
p	p	1.0
o_#>	ɔ_#>	1.0
nʲ	ɲ	1.0
n_#>	ɲ_#>	1.0
n	n	1.0
mʲ	m_j	1.0
m	m	1.0
lʲ	l	1.0
k	k	1.0
j_ɐ	ʦ	1.0
j	j	1.0
i_ˈ	ə	1.0
f	f	1.0
d̥	d̥	1.0
dʲ	e_ʦ	1.0
b̥	b̥	1.0
bʲ	b_j	1.0
<#_ɔ	<#_u̯ɛ	1.0
<#_r	<#_r	1.0
<#_o	<#_u̯ɛ	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
#>	ʦ_#>	1.0
ˈ	ˈ	0.913
ɡ	ɡ	0.846
ɐ	-	0.824
b	b	0.8
a	a	0.756
ɫ	w	0.75
d	d	0.737
ʒ	ʒ	0.714
o	u̯ɛ	0.7
t	t	0.682
ʦ	ʦ	0.667
k_#>	k_#>	0.667
<#	<#_j	0.667
ɐ_#>	a_#>	0.636
u	ʉ	0.6
i	ə	0.579
r	r	0.545
l	l	0.5
l	-	0.5
r	r̝	0.409
u	ə	0.4
ɔ	ɔ	0.389
ɐ_#>	#>	0.364
ʦ	-	0.333
ɤ	ɛ	0.333
ɔ	u̯ɛ	0.333
k_#>	#>	0.333
<#	<#_w	0.333
t	ʦ	0.318
i	i	0.316
o	ɔ	0.3
ʒ	-	0.286
ɔ	u	0.278
d	ʣ	0.263
ɛ	ɛ	0.255
ɤ	ɞ	0.2
ɤ	õ	0.2
b	-	0.2
ɐ	ɛ	0.176
ɡ	ʤ	0.154
ɫ	w_i	0.15
ɤ	ã	0.133
ɤ	-	0.133
ɛ	-	0.118
a	ɞ	0.111
i	-	0.105
ɫ	d_w	0.1
ɛ	e	0.098
ɛ	u	0.078
ɛ	j_ã	0.078
ɛ	j	0.078
ˈ	-	0.067
a	ɔ	0.067
a	e	0.067
ɛ	ɛ_ˈ	0.059
ɛ	j_ɛ	0.059
ɛ	ã	0.059
