Aragonese	Asturian	probability
θ	θ	1.0
β_ˈa	β_ˈa	1.0
β	β	1.0
ˈi	ˈi	1.0
ˈe_s	ˈe_s	1.0
ˈe	ˈe	1.0
ˈa_t	ˈo_t	1.0
ˈa	ˈa	1.0
ʧ	ʃ	1.0
ʝ_ˈe	ˈe	1.0
ʃ	ʃ	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_n	ɾ_n	1.0
ɾ_e	e	1.0
ɾ_a	ɾ_a	1.0
ɾ	ɾ	1.0
ɲ	ɲ	1.0
ɣ_o	u	1.0
ɣ	ɣ	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈe	ˈo	1.0
w_ˈa	w_ˈa	1.0
t_a	t_a	1.0
t	t	1.0
s_a	θ_a	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_ɾ	o_ɾ	1.0
m	m	1.0
l_ˈe	ʎ_ˈe	1.0
k_ɾ	k_ɾ	1.0
k_l	ʎ	1.0
k	k	1.0
j_ʃ	θ	1.0
j_t	ʧ	1.0
f	f	1.0
e_n	e_n	1.0
d	d	1.0
b_ˈe	b_ˈe	1.0
b_ˈa	b_ˈa	1.0
a	a	1.0
j	j	0.947
ˈo	ˈo	0.933
w	w	0.923
n	n	0.916
e	e	0.894
ˈu	ˈu	0.87
o	u	0.822
b	b	0.809
ð	ð	0.778
u	u	0.695
ʎ	ʝ	0.659
ʝ	ð	0.604
l	l	0.524
i	i	0.521
i	e	0.479
l	ʎ	0.476
ʝ	ɟ͡ʝ	0.396
ʎ	ʎ	0.341
u	o	0.305
b	-	0.191
o	o	0.178
ð	-	0.151
ˈu	ˈo	0.13
n	-	0.084
w	-	0.077
ð	ʝ	0.071
ˈo	w	0.067
e	i	0.055
j	ð_ɾ	0.053
e	-	0.052
