Auvergnat	Auvergnat	probability
ˈɪ̃	ˈæ	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ʀ	r_t	1.0
ˈɔ_t	s_t	1.0
ˈɔ_m	m	1.0
ˈɔ_k	ɡ	1.0
ˈœ_j	ˈɔ_t	1.0
ˈœ	ˈuː	1.0
ˈỹ	ˈo	1.0
ˈũ	ˈo	1.0
ˈĩ	ˈe	1.0
ˈi_#>	ˈiː_r_#>	1.0
ˈa_#>	ˈɛ_r_#>	1.0
ʧ_ˈa	k_ˈɛ	1.0
ʒ	z	1.0
ʎ_#>	ʧ_#>	1.0
ʃ	θ_ˈiː	1.0
ʀ_#>	r_e_n_#>	1.0
ɲ	ɲ	1.0
ɪ	s	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɒ_ʀ	a_r	1.0
ɒ	a	1.0
œ	u	1.0
z	d	1.0
w_ˈɔ̃	ˈʌ	1.0
w_ˈɔ	ˈɔː	1.0
w_ʀ	v_e	1.0
w_#>	v_#>	1.0
vʲ	v	1.0
v	v	1.0
ũ	u	1.0
s_ə	s	1.0
pʲ	a_v	1.0
p	p	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
lː	z_l	1.0
l_ˈã	j_ˈa	1.0
l_#>	l_#>	1.0
k_ʀ	k_r	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
j_#>	ð_#>	1.0
j	-	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
d	d	1.0
b_ʀ	v_r	1.0
b	b	1.0
ã	a	1.0
<#_ˈa	<#	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ɔ	a	0.963
m	m	0.9
t	t	0.889
ŋ	ŋ	0.833
u	u	0.778
ʧ	k	0.765
k	k	0.765
ʀ	r	0.711
ʤ	ð	0.692
ˈã	ˈa	0.667
s_#>	z_#>	0.667
j_ʀ	d_e	0.667
ˈi	ˈe	0.6
e	e	0.6
ˈu	ˈʌu̯	0.588
ˈy	ˈuː	0.571
s	θ	0.571
ˈe_j	ˈaː	0.5
ˈe	ˈɛ	0.5
ə	r	0.5
n	n	0.5
l	l	0.478
ˈɪ	ˈa	0.438
ˈɔ	-	0.429
ˈy	ˈo	0.429
ˈi	ˈiː	0.4
ʎ	-	0.4
e	-	0.4
ˈẽ	ˈæ	0.375
ˈẽ	ˈa	0.375
ˈa	ˈɛ	0.35
l	j	0.348
ˈã	ˈaː	0.333
s_#>	#>	0.333
j_ʀ	d	0.333
#>	t_#>	0.321
ʤ	-	0.308
ˈɔ	ˈɔː	0.286
ˈɔ	r	0.286
ˈa	ˈaː	0.275
ˈɪ	ˈiː	0.25
ˈẽ	ŋ	0.25
ˈe_j	ˈɛ	0.25
ˈe_j	ˈiː	0.25
s	s	0.238
k	ɡ	0.235
w	ˈɔː	0.231
w	ˈɔ	0.231
u	-	0.222
#>	r_#>	0.214
ʎ	ʧ	0.2
ʎ	ʤ	0.2
ʎ	l	0.2
ə	-	0.2
w	-	0.192
ˈɪ	-	0.188
n	ŋ_n	0.188
n	ŋ	0.188
ʀ	e	0.184
#>	d_#>	0.179
ˈu	ˈuː	0.176
w	ˈo	0.154
ˈe	ˈɛː	0.143
ˈɪ	ˈa_j	0.125
ˈa	-	0.125
n	-	0.125
ˈu	ˈɔ	0.118
ˈu	-	0.118
ʧ	θ	0.118
ʧ	-	0.118
w	l	0.115
ŋ	n	0.111
t	θ	0.111
ˈe	ˈa	0.107
ˈe	-	0.107
#>	s_#>	0.107
#>	l_#>	0.107
ə	e_r	0.1
m	ŋ	0.1
s	z	0.095
s	-	0.095
l	ˈɛ	0.087
l	ˈe	0.087
w	ˈuː	0.077
ˈa	ˈɛː	0.075
ˈa	ˈa	0.075
ˈe	ˈɛ_s	0.071
ˈe	ˈa_j	0.071
#>	v_#>	0.071
ə	ˈɛ	0.067
ə	i	0.067
ə	e	0.067
ŋ	t	0.056
ʀ	z	0.053
ʀ	r_a	0.053
