Piedmontese	Piedmontese	probability
ˈə	ˈi	1.0
ˈø	ˈɔ	1.0
ˈy_m	nː	1.0
ˈy	ˈu	1.0
ˈi_j	ˈi_ɟː	1.0
ˈe_j	ˈi	1.0
ʧ	-	1.0
ə	-	1.0
y	u	1.0
w	w	1.0
s_ˈi	ɕ_ˈi	1.0
r_a	ɾ_a	1.0
r_#>	ɾ_ʊ_#>	1.0
p_j	c	1.0
p_#>	p_ʊ_#>	1.0
p	p	1.0
l_ˈɛ	l_ˈɛ	1.0
l_#>	ɖː_ʊ_#>	1.0
k_r	k_ɾ	1.0
j_t	tː_ɪ	1.0
j_d	dː	1.0
j_#>	cː_ʊ_#>	1.0
f_j	ç	1.0
dː	ɾ_i	1.0
a_l	a_l	1.0
<#_ˈø	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʐ	1.0
<#_n	<#_n	1.0
<#	<#_a	1.0
a	a	0.971
ˈa	ˈa	0.959
f	f	0.95
l	l	0.939
n	n	0.889
k	k	0.886
ɲ	ɲː	0.875
m	m	0.87
z	ɕ	0.846
v	v	0.811
ŋ	n	0.786
ˈi	ˈi	0.783
l_a	ɖː_a	0.75
ˈu	ˈu	0.722
b	b	0.722
ˈɔ	ˈɔ	0.714
t	t	0.659
ˈɛ	ˈɛ	0.632
ɡ	ɡ	0.6
r	ɾ	0.571
i	i	0.5
i	-	0.5
e	ɪ	0.5
#>	ʊ_#>	0.5
d	d	0.476
#>	ɪ_#>	0.466
s	s	0.436
ɡ	k_ʊ	0.4
ʤ	j	0.357
u	u	0.353
j	ɟː	0.296
ʤ	ʤ	0.286
ˈe	ˈɛ	0.267
ˈe	ˈi	0.267
ˈɛ	ˈi	0.263
l_a	lː	0.25
r	r	0.238
d	t	0.238
u	-	0.235
e	i	0.227
j	j	0.222
ˈe	ˈa_r	0.2
t	tː	0.195
v	p	0.189
j	-	0.185
e	ɪ_ɾ	0.182
u	o	0.176
ˈu	ˈɔ	0.167
z	-	0.154
ʤ	ʤː	0.143
ʤ	-	0.143
ŋ	ŋ	0.143
d	ɾ	0.143
d	-	0.143
ˈe	ˈa_ɾ	0.133
ˈi	-	0.13
m	mː	0.13
s	ʃ	0.127
ɲ	ɲ	0.125
u	a_w	0.118
u	a	0.118
k	kː	0.114
ˈu	ˈo	0.111
n	nː	0.111
b	v	0.111
b	-	0.111
s	ʃː	0.109
ˈɔ	ˈu	0.095
ˈɔ	ˈa_w	0.095
ˈɔ	-	0.095
r	ɽ	0.095
s	ɕ	0.091
e	i_ɾ	0.091
ˈi	ˈi_k	0.087
j	ˈi	0.074
j	ʊ	0.074
j	r_ɪ	0.074
j	cː	0.074
t	-	0.073
s	sː	0.073
ʤ	ɟ	0.071
ŋ	nː	0.071
ˈe	ˈe	0.067
ˈe	ˈa	0.067
l	ɖː	0.061
b	bː	0.056
s	ʦː	0.055
ˈɛ	ˈe	0.053
ˈɛ	-	0.053
