Aromanian	Aromanian	probability
ˈə	ˈi	1.0
ˈu_k	ˈu	1.0
ʎ_u_#>	ʎ_#>	1.0
ʎ_i	ʎ_ɔ	1.0
ɨ	-	1.0
ə_t	a_ð	1.0
ə_m	mː	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	h	1.0
z	-	1.0
v_r	w_r	1.0
v	b	1.0
r_u	e	1.0
r_n	r	1.0
r_i	e	1.0
n_ə	ɔ	1.0
n_t_i_#>	n_#>	1.0
n_e	ŋ	1.0
n_#>	ŋ_#>	1.0
m_t_u_#>	n_#>	1.0
l_t	t	1.0
l_#>	t_#>	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_a	ʤ	1.0
k_#>	k_#>	1.0
i_#>	#>	1.0
e̯a	-	1.0
e	-	1.0
d_e̯ˈa	ð	1.0
<#_ˈo	<#_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_s	1.0
<#_ʎ	<#_l	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_a	1.0
r_i_#>	#>	0.92
ə	ɔ	0.871
ˈɨ	ˈa	0.846
a	a	0.818
ˈa	ˈa	0.8
s	s	0.792
m	m	0.75
e̯ˈa	ˈe	0.737
p	p	0.708
k	k	0.703
b	b	0.692
ɲ	m	0.667
f	h	0.667
r_#>	w_#>	0.625
ˈo	ˈɔ	0.611
ʤ	ʒ	0.6
ʎ	l	0.6
p_t	j_t	0.6
l	l	0.6
u	-	0.593
ˈi	ˈi	0.586
d	d	0.583
ˈu	ˈu	0.581
ˈe	ˈɛ	0.529
ɡ	ɡ	0.5
w	w	0.5
i	e	0.5
t	t	0.48
#>	s_#>	0.462
ʃ	s	0.455
r	ɾ	0.432
ʤ	-	0.4
ʎ	ʎ	0.4
p_t	t	0.4
n	n	0.4
r_#>	#>	0.375
ʣ	ʒ	0.364
ʣ	d	0.364
ʃ	j	0.364
j	-	0.364
ˈu	ˈy	0.355
ˈe	ˈe	0.353
ɲ	ɲ	0.333
r	r	0.318
ˈi	ˈe	0.31
o̯ˈa	ˈu	0.308
ɡ	-	0.3
i	-	0.294
p	-	0.292
ʦ	ʦ	0.286
n	-	0.28
ʣ	-	0.273
j	b	0.273
u	u	0.259
w	ˈe_w	0.25
w	-	0.25
d	-	0.25
n	ŋ	0.24
o̯ˈa	ˈɔ	0.231
o̯ˈa	-	0.231
#>	e_#>	0.231
ʦ	k	0.214
ʦ	-	0.214
s	e_s	0.208
ˈa	ˈɛ	0.2
ɡ	ɣ	0.2
t	ð	0.2
l	t	0.2
l	-	0.2
ʃ	-	0.182
j	ʒ	0.182
j	z_ˈa	0.182
a	-	0.182
ˈo	w	0.167
f	e_h	0.167
f	-	0.167
d	ð	0.167
e̯ˈa	ˈɛ	0.158
ˈɨ	-	0.154
o̯ˈa	ˈa	0.154
b	β	0.154
b	-	0.154
#>	ɔ_#>	0.154
#>	w_#>	0.154
m	m_i	0.15
ʦ	z	0.143
ʦ	s	0.143
ə	a	0.129
t	ʃ	0.12
t	-	0.12
ˈe	j_ˈe	0.118
r	β	0.114
ˈo	u	0.111
ˈo	-	0.111
u	e	0.111
k	-	0.108
e̯ˈa	ˈa	0.105
ˈi	-	0.103
m	-	0.1
i	s	0.088
k	p	0.081
t	j_r	0.08
r_i_#>	ˈa_#>	0.08
n	ʎ	0.08
o̯ˈa	ˈo	0.077
r	w	0.068
r	-	0.068
ˈu	-	0.065
i	ɔ	0.059
i	d	0.059
k	ɣ	0.054
k	k_a	0.054
