Slovenian	Kashubian	probability
a	a	1.0
àː	ˈɞ	1.0
áː	ˈɔ	1.0
b	b	1.0
i	ə	1.0
íː	ˈə	1.0
k	k	1.0
o	u̯ˈɛ	1.0
p	p	1.0
s	s	1.0
x	x	1.0
z	z	1.0
ɔ́ː	ˈɞ	1.0
ə́	ˈɛ	1.0
ɛ	ɛ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
éː	j	0.301
l	l	0.641
óː	u̯ˈɛ	0.1
ə	ʧ_i	0.101
ɡ	i_#>	0.091
e	ˈa	0.492
èː	-	0.202
j	-	0.582
óː	ˈu	0.262
r	ʐ	0.22
w	l	0.262
ɔ̀ː	u̯ˈɛ	0.462
èː	ˈa	0.303
éː	ˈe	0.063
éː	ˈɛ	0.323
n	ɲ	0.253
óː	u̯ɛ	0.223
t	ŋ_ʦ	0.113
w	w	0.583
ìː	ˈi	0.34
r	-	0.14
ə	ɛ	0.14
ɛ̀ː	j	0.734
ʦ	-	0.264
d	ʣ	0.495
d	d	0.505
éː	ɛ	0.065
w	w_i	0.155
ɔ	ɔ	0.765
ʋ	v_j	0.225
ìː	ˈə	0.66
n	n_i	0.26
ɔ	u̯ˈɛ	0.096
ɛ̀ː	ˈa_ŋ	0.266
ʋ	-	0.216
ʦ	ʦ	0.736
èː	j_ˈɞ	0.187
éː	ˈa	0.247
n	n	0.487
e	ˈɛ	0.508
èː	ˈe	0.308
j	j	0.418
m	m_j	0.128
óː	ˈõ	0.208
r	r	0.598
t	ʦ	0.158
ɔ̀ː	ˈɔ	0.538
l	w	0.359
m	m	0.859
óː	ˈɔ	0.089
óː	ɔ	0.119
t	t	0.729
ɔ	u̯ɛ	0.139
ə	i	0.759
ɡ	ɡ	0.909
ʋ	v	0.549
