Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛ_l	ˈi_ɖː	1.0
ˈɔə̯_r	ˈɔ_l	1.0
ˈu_ɡ	ˈɔ_k	1.0
ˈu	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈeə̯_v	ˈa_p	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ɲ	ɲː	1.0
ɐ_n	u	1.0
ɐ_d	a_t	1.0
ŋ	ŋ	1.0
w	-	1.0
v_ɐ	i	1.0
v_#>	u_#>	1.0
t_ɐ	t_i	1.0
s_#>	u_#>	1.0
p	p	1.0
l_ˈɛ	l_ˈi	1.0
l_ˈi	ˈi_ɖː	1.0
k_r	k_r	1.0
j̃	n	1.0
i	i	1.0
f	f	1.0
e	e	1.0
d_ɐ	t_a	1.0
b_ɐ	a	1.0
a	a	1.0
<#_ˈɔə̯	<#_ˈo	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_u	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	u_#>	0.955
k	k	0.943
d	d	0.917
b	b	0.9
n	n	0.889
ˈeə̯	ˈa	0.875
m	m	0.857
ɐ	a	0.849
u	u	0.846
ˈɔə̯	ˈɔ	0.818
s	s	0.781
ˈʌ̃	ˈa	0.714
ˈɔ	ˈɔ	0.714
ʧ	cː	0.714
r	r	0.708
ˈo	ˈu	0.706
ˈɛə̯	ˈe	0.688
ʤ	ɟ	0.667
θ	ʧ	0.611
l	l	0.606
ˈõũ̯	ˈɔ_n	0.6
ˈẽ	ˈi	0.545
ɡ	ɡ	0.538
j	j	0.533
ˈou̯	ˈu	0.526
ˈeː	ˈɛ	0.5
v	-	0.5
t	t	0.486
ˈi	ˈi	0.474
ɡ	k	0.462
ˈɛ	ˈɛ	0.455
ˈẽ	ˈɛ	0.455
z	ʧ_i	0.455
ð	ɟ	0.429
t	tː	0.405
ˈõũ̯	ˈo_n	0.4
z	-	0.364
ʤ	-	0.333
l	ɖː	0.333
ˈou̯	ˈɔ	0.316
ˈi	ˈe	0.316
ˈɛə̯	ˈɛ	0.312
ˈeː	ˈe	0.3
ˈo	ˈɔ	0.294
ˈʌ̃	ˈa_n	0.286
ˈɔ	ˈo	0.286
ʧ	c	0.286
ð	ɟː	0.286
ð	-	0.286
ˈɛ	ˈi	0.273
j	-	0.267
v	p	0.25
v	b	0.25
ˈi	-	0.211
ˈeː	-	0.2
j	ɖː	0.2
ˈɛ	-	0.182
ˈɔə̯	-	0.182
z	ʧ	0.182
θ	-	0.167
ˈou̯	ˈo	0.158
s	sː	0.156
u	o	0.154
m	mː	0.143
ˈeə̯	ˈa_i	0.125
r	-	0.125
θ	ʦː	0.111
θ	ʦ	0.111
t	t_i	0.108
b	-	0.1
ˈɛ	l	0.091
r	rː	0.083
r	l	0.083
d	t	0.083
ɐ	i	0.07
s	ʃː	0.062
l	u	0.061
k	kː	0.057
n	nː	0.056
n	-	0.056
