Ligurian	Ligurian	probability
ˈɛ	-	1.0
ˈɔː	-	1.0
ˈy	ˈu	1.0
ˈiː	-	1.0
ˈi	ˈi	1.0
ˈe_ŋ	ˈi_m	1.0
ˈe_j	ˈe	1.0
ʒ	ʦ	1.0
ɲ	-	1.0
ɡ_u_#>	k_#>	1.0
w	-	1.0
u_#>	#>	1.0
u	u	1.0
t_u_#>	t_#>	1.0
sː	ˈo_ʃ	1.0
s_a	ʦ	1.0
r_u	r_u	1.0
n	n	1.0
m	m	1.0
e_#>	#>	1.0
d	d	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_n	<#_n	1.0
<#_l	<#	1.0
r	r	0.909
a	ə	0.885
k	k	0.875
l	l	0.867
ˈaː	ˈa	0.8
s	s	0.783
ˈu	ˈu	0.778
ŋ	n	0.75
f	f	0.714
p	p	0.706
e	i	0.696
t	t	0.692
ˈuː	ˈu	0.667
<#_t	<#_t	0.667
ˈɛː	ˈa	0.625
ˈøː	ˈo	0.6
ˈø	-	0.6
j	i	0.6
i	i	0.6
ˈa	ˈɔ	0.571
ˈɔ	ˈo	0.5
ˈɔ	w_ˈo	0.5
ˈeː	ˈe	0.5
ʤ	ʎ	0.5
v	v	0.5
#>	i_#>	0.5
ɡ	ɡ	0.455
z	z	0.429
ˈøː	ˈo_w	0.4
ˈø	w_ˈo	0.4
j	r	0.4
i	-	0.4
ˈɛː	ˈa_t	0.375
ɡ	k	0.364
ˈa	ˈa	0.357
v	-	0.357
ˈe	ˈi	0.353
ˈuː	-	0.333
<#_t	<#_ʦ	0.333
t	p_t	0.308
e	ə	0.304
ʤ	k_ʎ	0.286
z	ʒ	0.286
z	s	0.286
f	-	0.286
ˈe	ˈe	0.235
ˈe	e̯ˈa	0.235
ˈu	-	0.222
#>	r_i_#>	0.222
s	ʦ	0.217
ˈaː	ˈa_l	0.2
ɡ	-	0.182
ˈe	-	0.176
p	-	0.176
ˈeː	r	0.167
ˈeː	e̯ˈa	0.167
ˈeː	-	0.167
ŋ	-	0.167
#>	ə_#>	0.167
ʤ	z	0.143
v	p	0.143
l	ʎ	0.133
k	-	0.125
p	kʲ	0.118
a	-	0.115
#>	r_#>	0.111
r	-	0.091
ŋ	j_n	0.083
ˈa	ɔ	0.071
ʤ	ʤ	0.071
