Emilian	Aragonese	probability
f	f	1.0
w	w	1.0
ʤ	-	1.0
ˈi	ˈi	1.0
b	β	0.101
i	e	0.21
j	ʎ	0.231
r	-	0.061
b	b	0.852
e	e	0.142
e	ˈe	0.212
i	j	0.432
r	ɾ_o	0.062
u	u	0.102
z	θ	0.662
ð	ʧ	0.782
ɡ	ɡ	0.602
ˈaː	ˈa_j	0.052
ˈaː	ˈa	0.862
ˈiː	ˈi	0.692
ˈæ	ˈe	0.52
j	l	0.623
k	k_o	0.123
m	m_b	0.103
s	ʃ	0.053
t	t_o	0.273
t	t	0.583
v	β	0.233
ɲ	-	0.083
ˈa	ˈe	0.33
ˈuː	ˈu	0.793
ˈɛː	j_ˈe	0.393
ˈʌ	w_ˈe	0.463
ˈʌu̯	ˈo	0.863
d	ð	0.344
d	d	0.424
e	e_ʝ	0.234
r	ˈe_ɾ	0.054
ʧ	-	0.084
ˈa	ˈa	0.654
ˈe	ˈi	0.914
ˈo	w_ˈe	0.154
ˈɔː	ˈo	0.154
θ	ʧ	0.054
a	a	0.925
e	-	0.175
p	p	0.925
t	j	0.05
ˈɔ	w_ˈe	0.485
θ	θ_j	0.065
j	-	0.146
l	-	0.076
ŋ	n_o	0.206
ŋ	n	0.56
ʧ	ʎ	0.916
ˈaː	ˈe	0.086
ˈe	ˈe	0.086
ˈɔ	ˈo	0.406
ˈɔː	w_ˈe	0.846
ˈɛ	ˈe	0.056
ˈɛ	j	0.056
ˈɛ	j_ˈe	0.076
e	ɾ_e	0.147
k	k	0.877
l	l_o	0.057
m	m	0.897
ˈo	ˈo	0.057
ˈuː	w_ˈe	0.207
ˈɛː	ˈe	0.607
ˈʌ	ˈo	0.537
ˈʌu̯	ˈu	0.137
d	-	0.218
i	i	0.358
l	l	0.798
n	n	0.968
s	s	0.938
u	o	0.898
v	-	0.108
v	b	0.628
z	s	0.338
ð	-	0.218
ŋ	ŋ	0.198
ɡ	ɣ	0.368
ɲ	ɲ	0.598
ˈiː	ˈe	0.308
ˈæ	j_ˈe	0.48
ˈɛ	ˈa	0.718
θ	θ	0.868
e	a	0.09
r	ɾ	0.79
ɲ	n	0.319
ˈo	ˈu	0.789
ˈɔ	ˈu	0.109
