Insular North Frisian	Insular North Frisian	probability
ˈɪ_#>	ˈɛːa̯_ɹ_#>	1.0
ˈɛː	-	1.0
ˈɛ_n	ˈʊ_nː	1.0
ˈoː	-	1.0
ˈaʊ̯	-	1.0
ˈa_x	ˈɔ	1.0
ɾ_#>	#>	1.0
ɡ	ʰʧ	1.0
ə_n	n	1.0
ə_m	m_ʊ	1.0
ə_f	v	1.0
ə_#>	a_#>	1.0
ɐ_x	ɹ	1.0
ɐ_n	t͡n̥	1.0
ŋ_k	ʰk	1.0
ŋ	ŋ	1.0
z	s	1.0
x_t	ʰt	1.0
tʲ	ʧʰ	1.0
tʰ	tʰ	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
nʲ	n_d̥	1.0
n_#>	#>	1.0
lʲ	t͡l̥	1.0
kʰ	kʰ	1.0
k	k	1.0
f	f	1.0
e	v	1.0
b	b̥	1.0
aɪ̯	ˈɛ_ʰt	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v	<#	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
s	s	0.921
h	h	0.895
v	v	0.826
r	ɹ	0.8
m	m	0.8
n	n	0.759
l	l	0.744
d	tʰ	0.667
<#	<#_kʰ	0.667
p	p	0.625
ˈøː	ˈøː	0.6
ˈyː	-	0.6
#>	ʊ_ɹ_#>	0.545
t	t	0.525
ˈaɪ̯	ˈeː	0.5
ˈaɪ̯	ˈa	0.5
ɪ	a	0.5
ɪ	-	0.5
ə	ɪ	0.5
ə	-	0.5
x	ɹ	0.5
x	-	0.5
f_#>	v_ʊ_ɹ_#>	0.5
f_#>	#>	0.5
ˈa	ˈa	0.455
ˈɔa̯	ˈɛːi̯	0.444
ɐ	ɹ	0.44
ˈeː	-	0.438
ˈɪ	ˈʊ̯iː	0.421
ˈøː	-	0.4
ˈyː	ˈʊ̯iː_ɹ	0.4
ɾ	j	0.4
ç	ʊ	0.4
#>	a_#>	0.396
p	ʰp	0.375
ˈɪ	ˈɪ	0.368
ˈuː	-	0.364
ˈa	ˈɛːa̯	0.364
ˈɔː	ˈɛːa̯	0.353
ˈɔː	-	0.353
ˈʏ	ˈʊ	0.35
ˈɔa̯	ˈɔ̯aː	0.333
ˈɔ	-	0.333
ˈœ	-	0.333
ˈiː	-	0.333
<#	<#_ˈeː	0.333
ˈʊ	ˈʊ	0.312
ˈʊ	-	0.312
ˈʏ	-	0.3
ˈɛ	-	0.28
t	ʰt	0.275
ˈuː	ˈɔ̯aː	0.273
ˈiː	ˈʊ̯iː	0.267
ɾ	w	0.267
ˈʏ	ˈʉːu̯	0.25
ɐ	ɪ_ɹ	0.24
ˈɔa̯	-	0.222
ˈɔ	ˈʊ	0.222
ˈɔ	ˈɛ_ɡ̊	0.222
ˈɔ	ˈœ	0.222
d	-	0.222
ˈœ	ˈɪ	0.2
ˈœ	ˈɔːu̯	0.2
ɾ	nː	0.2
ç	ʤ̊ː	0.2
ç	ɡ̊_v̥	0.2
ç	-	0.2
t	-	0.2
r	-	0.2
ˈeː	ˈɛːa̯	0.188
ˈuː	ˈɔ	0.182
ˈuː	ˈoː	0.182
ˈa	-	0.182
ˈɔː	ˈɔ̯aː	0.176
ˈɛ	ˈɪ	0.16
ˈɛ	ˈøː	0.16
l	t͡l̥	0.154
ˈœ	ˈʊ	0.133
ˈœ	ˈa	0.133
ˈiː	ˈʊ_ʤ̊ː	0.133
ˈiː	ˈɔ̯aː	0.133
ˈiː	ˈai̯	0.133
ɾ	ˈɔːu̯_w	0.133
ˈʊ	ˈʏ	0.125
ˈʊ	ˈɔːu̯	0.125
ˈʊ	m	0.125
ˈeː	ˈɛ	0.125
ˈeː	ˈœ	0.125
ˈeː	ˈiː	0.125
ˈɛ	ˈœ	0.12
ˈɛ	ˈiː	0.12
ˈɔː	ˈa	0.118
d	ʰt͡n̥	0.111
ˈɪ	ˈɛ	0.105
ˈɪ	-	0.105
h	j	0.105
n	n̥	0.103
l	l̥	0.103
ˈʏ	ˈɪ_ɡ̊	0.1
m	mː	0.1
m	a	0.1
v	v_ˈai̯	0.087
v	-	0.087
ˈɛ	ˈɔ	0.08
ˈɛ	j	0.08
ɐ	ɡ̊_ʊ	0.08
ɐ	t͡n̥	0.08
ɐ	a_ɹ	0.08
ɐ	-	0.08
s	ʃ	0.079
n	ʊ	0.069
n	-	0.069
