French	French	probability
ʒ_#>	#>	1.0
ʒ	ʤ	1.0
ʃ_ɛ	k_ˈa	1.0
ʁ_s	r_s	1.0
ʁ_i	ɾ_ˈi	1.0
ɲ	ɲ	1.0
ɛ_ʁ	ˈæ_r	1.0
ɛ_z	a	1.0
ɔ̃_#>	ˈo_#>	1.0
œ_ʁ	ˈo_r	1.0
œ_j	ˈu_ʎ	1.0
z	z	1.0
w_ɛ̃	ˈu_n	1.0
w_a	ˈæ	1.0
p	p	1.0
m_#>	m_ɐ_#>	1.0
l_#>	l_#>	1.0
k	k	1.0
j_ɛ	ˈæ	1.0
i_ʁ	ˈi_r	1.0
<#_ʁ	<#_r	1.0
<#_ɔ	<#_o	1.0
<#_ɑ̃	<#_ˈa_ɲ	1.0
<#_w	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_e_s	1.0
<#	<#_ɡ	1.0
m	m	0.962
t	t	0.905
b	b	0.882
s	s	0.875
f	f	0.862
y	ˈu	0.833
d	d	0.833
ʃ	k	0.8
l	l	0.793
œ	ˈɒ	0.778
ɡ	ɡ	0.769
ə	e	0.714
ɥ	ˈu	0.7
ɔ	ˈɒ	0.684
v	v	0.677
ɔ̃	ˈɒ_n	0.667
<#_a	<#_a	0.667
i	ˈi	0.656
a_#>	#>	0.6
ɛ̃_#>	ˈa_#>	0.583
ʁ	ɾ	0.508
n	n	0.5
u	ˈo	0.476
e	ˈa_r	0.462
ø	ˈɒ_k	0.444
ʁ	r	0.429
#>	t_#>	0.412
a_#>	j_#>	0.4
w	ˈæ	0.389
o	ˈe_ʎ	0.389
j	ʎ	0.368
ɛ̃	ˈa	0.364
ɔ̃	ˈɒ	0.333
ø	ʎ	0.333
w	-	0.333
u	o	0.333
<#_a	<#_ˈa	0.333
ɔ	o	0.316
j	-	0.316
ɑ̃	ˈe_n	0.308
ɛ	ˈa	0.306
ɥ	-	0.3
n	n_ɐ	0.3
a	ˈa	0.297
a	a	0.297
ə	a	0.286
w	ˈe	0.278
ɛ̃	ŋ	0.273
j	ˈe	0.263
ɛ̃_#>	ˈi_#>	0.25
ɛ	ˈæ	0.25
ɡ	ɣ	0.231
ɑ̃	ˈa_n	0.231
e	ˈa	0.231
v	β	0.226
ɛ	ˈe	0.222
œ	ˈo	0.222
ø	-	0.222
o	ˈɒ	0.222
o	ˈa_l	0.222
l	ʎ	0.207
n	-	0.2
u	ˈɒ	0.19
a	w	0.189
i	-	0.188
ɛ̃	ˈi	0.182
ɛ̃	ɲ	0.182
ɛ̃_#>	#>	0.167
y	ˈi_w	0.167
o	ˈɒ_s	0.167
d	-	0.167
#>	s_#>	0.162
ɑ̃	ˈæ_n	0.154
ɑ̃	ˈa_ŋ	0.154
ɑ̃	n	0.154
e	-	0.154
f	w	0.138
b	-	0.118
#>	k_#>	0.103
ʃ	k_a	0.1
ʃ	-	0.1
v	v_ˈi	0.097
t	ʃ_e	0.095
i	i	0.094
#>	w_#>	0.088
ɛ	ˈe_s	0.083
e	ˈa_z	0.077
e	r	0.077
s	-	0.075
ʁ	e	0.063
i	ˈæ_w	0.062
#>	ʎ_#>	0.059
#>	m_#>	0.059
ɛ	ˈa_ɾ	0.056
ɛ	e	0.056
a	ˈæ	0.054
a	w_ˈa	0.054
a	i	0.054
a	-	0.054
j	ɫː	0.053
