Asturian	Asturian	probability
θ_e	k_ɪ	1.0
β_e	w_ɛ̃ː	1.0
ˈo_β	ˈʊ_p	1.0
ˈo_ɾ	ˈau̯_r	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_θ	k_ɛ̃ː	1.0
ˈe_β	w	1.0
ˈe_ʎ	lʲː	1.0
ˈe_ŋ	ˈɛ̃ː	1.0
ˈe_u	k_ʊ̃ː	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈe_n	ˈeː_n	1.0
ˈe_k	ˈɪ_kː	1.0
ˈe_j	ˈeː_ɡ	1.0
ˈa_ɣ	ˈa_k	1.0
ˈa_t	ˈa_tː	1.0
ʎ_ˈe	lʲ_ˈɪ	1.0
ɾ_ˈa	r_ˈaː	1.0
ɾ_u	r_ʊ̃ː	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɾ_m	r_m	1.0
ɾ_k	r_k	1.0
ɾ_a	r_ãː	1.0
ɾ_#>	ɛ_#>	1.0
ɣ_w	kʷ	1.0
ɣ	k	1.0
ð_ɾ	t_r	1.0
w_ˈe	ˈɔ	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
o_s	iː	1.0
n_u	n_a	1.0
k_ɾ	k_r	1.0
k_w	kʷ	1.0
k_a	k_a	1.0
j_ˈo	ˈe	1.0
j_ˈe	ˈɛ	1.0
e_#>	r_#>	1.0
d_ɾ	d_r	1.0
d	d	1.0
b_j	w	1.0
b_e	w_ɛ	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_ɫ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_au̯	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#_k	1.0
<#_a	<#_a	1.0
m	m	0.947
t	t	0.929
s	s	0.92
f	f	0.92
n	n	0.914
u	ʊ̃ː	0.878
l	ɫ	0.828
ɾ	r	0.824
ð	t	0.824
w	ˈɔ	0.786
ˈu	ˈuː	0.739
ʧ	k_t	0.714
ˈi	ˈiː	0.71
j	ˈɛ	0.706
a	ãː	0.691
ˈe_ɾ	ɛ_r	0.667
#>	ɛ_#>	0.656
<#	<#_h	0.6
θ	k	0.591
k	k	0.583
<#_ɡ	<#_ɡ	0.556
ˈa	ˈaː	0.516
ɲ	n	0.5
ɡ	ɡʷ	0.5
ɡ	k	0.5
b	w	0.5
b	b	0.5
ˈa	ˈa	0.484
β	b	0.478
o	ɔ	0.478
<#_ɡ	<#	0.444
ŋ	ŋ	0.429
ŋ	n_ɛ̃ː	0.429
ʃ	ɡ	0.385
ʃ	j	0.385
i	iː	0.375
i	-	0.375
ˈo	ˈoː	0.35
#>	ɛ̃ː_#>	0.344
ˈe_ɾ	r	0.333
ʝ	ʊ_ɫ	0.333
e	ɛ̃ː	0.328
ʎ	lʲː	0.308
ˈo	ˈʊ	0.3
ɲ	nː	0.3
ʧ	t	0.286
ˈe	ˈɛ	0.271
ʝ	ɫ	0.267
e	-	0.266
ˈu	ˈʊ	0.261
k	kʷ	0.25
i	ˈiː	0.25
ʎ	p_ɫ	0.231
ʃ	sː	0.231
β	w	0.217
β	p	0.217
o	oː	0.217
w	-	0.214
ˈe	ˈɪ	0.208
ʝ	lʲ_i	0.2
ʝ	d_i	0.2
ɲ	n_e	0.2
<#	<#_ˈa	0.2
<#	<#_ɡ	0.2
ˈe	ˈeː	0.188
k	kː	0.167
ʎ	ɫ	0.154
ʎ	lʲ	0.154
ʎ	k_ɫ	0.154
ŋ	n	0.143
e	ɛ	0.141
θ	t_i	0.136
o	-	0.13
ˈo	ˈɔ	0.125
ð	ˈaː	0.118
j	w	0.118
j	-	0.118
a	a	0.111
ˈe	-	0.104
l	-	0.103
a	aː	0.099
e	ɪ	0.094
θ	s_i	0.091
θ	s	0.091
θ	kʷ	0.091
β	-	0.087
o	ˈoː	0.087
o	o	0.087
n	ŋ_k	0.086
s	sː	0.08
f	-	0.08
ˈo	ˈu	0.075
t	tː	0.071
l	ɛ̃ː	0.069
ˈi	ˈɪ	0.065
ˈi	ˈiː_lʲ	0.065
ˈi	ˈi	0.065
ˈi	r	0.065
ˈe	ˈɪ_k	0.062
ˈe	r	0.062
ɾ	ɛ_r	0.059
ɾ	-	0.059
ð	tʰ	0.059
j	ˈae̯	0.059
m	mː	0.053
