West Frisian	Old English	probability
b	b	0.946
d	d	0.755
d	θ	0.157
f	f	0.979
h	h	1.0
j	-	0.363
j	ˈeːo̯	0.222
j	j	0.189
j	e	0.08
j	i	0.074
j	ˈiːy̯	0.072
k	k	0.399
k	ʧ	0.34
k	-	0.237
l	l	0.672
l	ɫ	0.257
m	m	0.935
m	-	0.055
n	n	0.815
n	-	0.071
n	r_n	0.057
p	p	0.906
p	pː	0.094
r	r	0.936
s	s	0.746
s	ʃ	0.207
t	t	0.58
t	d	0.179
t	θ	0.165
v	w	0.683
v	bː	0.114
v	v	0.08
v	ʍ	0.077
z	z	0.432
z	r	0.284
z	ʤː	0.284
ŋ	ŋ	0.887
ŋ	n	0.074
ɕ	s	1.0
ə	ɑ	0.561
ə	e	0.204
ə	o	0.112
ə	-	0.081
ɡ	ɡ	0.803
ɡ	j	0.197
ɣ	ɣ	0.482
ɣ	ʤ	0.47
ɪ	i	0.544
ɪ	iːy̯	0.417
ʋ	w	0.92
ʋ	ʍ	0.08
ʦ	θ	0.368
ʦ	ʧ	0.32
ʦ	t	0.312
ˈa	ˈɑ	0.505
ˈa	ˈæɑ̯	0.155
ˈa	ˈæ	0.122
ˈa	ˈe	0.106
ˈa	ˈi	0.055
ˈaː	ˈɑ	0.222
ˈaː	ˈæː	0.176
ˈaː	ˈæɑ̯	0.148
ˈaː	ˈæ	0.125
ˈaː	ˈiy̯	0.117
ˈaː	ˈæːɑ̯	0.091
ˈaː	ˈe	0.084
ˈeː	ˈy	0.404
ˈeː	ˈeːo̯	0.206
ˈeː	ˈi	0.152
ˈeː	ˈæːɑ̯	0.141
ˈeː	ˈæː	0.097
ˈi	ˈiː	0.386
ˈi	ˈi	0.223
ˈi	ˈeː	0.221
ˈi	ˈɑː	0.071
ˈi	ˈiy̯	0.071
ˈiə̯	ˈɑː	0.349
ˈiə̯	ˈeː	0.142
ˈiə̯	ˈeːo̯	0.138
ˈiə̯	ˈæː	0.132
ˈiə̯	ˈæːɑ̯	0.116
ˈiə̯	ˈiːy̯	0.078
ˈiː	ˈi	0.367
ˈiː	ˈiː	0.31
ˈiː	ˈoː	0.162
ˈiː	ˈeːo̯	0.075
ˈoə̯	ˈo	0.56
ˈoə̯	ˈoː	0.306
ˈoə̯	ˈu	0.068
ˈoː	ˈuː	0.841
ˈoː	ˈoː	0.159
ˈu	ˈu	1.0
ˈuə̯	ˈoː	0.477
ˈuə̯	ˈo	0.178
ˈuə̯	-	0.138
ˈuə̯	ˈyː	0.133
ˈuə̯	ˈuː	0.074
ˈuː	ˈuː	0.465
ˈuː	ˈu	0.168
ˈuː	ˈyː	0.13
ˈuː	ˈo	0.105
ˈuː	e	0.053
ˈy	ˈu	0.955
ˈyː	ˈuː	0.872
ˈyː	ˈeːo̯	0.128
ˈø	ˈeo̯	0.763
ˈø	ˈæː	0.237
ˈøə̯	ˈeːo̯	1.0
ˈɔ	ˈu	0.628
ˈɔ	ˈo	0.136
ˈɔ	-	0.086
ˈɔ	ˈi	0.082
ˈɔu̯	w	0.713
ˈɔu̯	ɫ	0.287
ˈɔː	ˈɑ	0.69
ˈɔː	ˈæɑ̯	0.259
ˈɔː	ˈeo̯	0.051
ˈɛ	ˈeo̯	0.357
ˈɛ	ˈiː	0.186
ˈɛ	ˈiːy̯	0.186
ˈɛ	ˈæːɑ̯	0.081
ˈɛi̯	j	0.623
ˈɛi̯	ˈi	0.152
ˈɛi̯	ˈeː	0.127
ˈɛi̯	ˈɑː	0.098
ˈɛː	ˈæ	0.332
ˈɛː	ˈæɑ̯	0.229
ˈɛː	ˈy	0.227
ˈɛː	ˈeo̯	0.13
ˈɛː	ˈæː	0.081
ˈɪ	ˈi	0.303
ˈɪ	-	0.161
ˈɪ	ˈy	0.119
ˈɪ	ˈeː	0.115
ˈɪ	ˈe	0.096
ˈɪ	ˈyː	0.074
ˈɪ	ˈu	0.057
ˈɪə̯	ˈæːɑ̯	0.28
ˈɪə̯	ˈe	0.148
ˈɪə̯	ˈeːo̯	0.142
ˈɪə̯	ˈɑː	0.136
ˈɪə̯	ˈæɑ̯	0.13
ˈɪə̯	-	0.079
ˈɵ	ˈeː	1.0
χ	ç	0.288
χ	x	0.238
χ	ɣ	0.203
χ	ʤ	0.163
χ	j	0.074
