Gothic	Scots	probability
a	-	0.593
a	ə	0.277
a	r	0.128
aː	-	1.0
b	b	0.872
b	f	0.066
d	d	0.913
d	ɡ	0.087
e	-	1.0
f	f	0.814
f	v	0.108
f	-	0.077
h	h	0.627
h	x	0.246
h	-	0.073
i	ˈʉ	0.34
i	-	0.29
i	ˈei̯	0.267
i	ə	0.103
iː	-	0.922
iː	ˈiː	0.078
j	-	0.567
j	j	0.358
k	-	0.348
k	k	0.279
k	kʰ	0.264
k	ʧ	0.109
kʷ	kʰ	1.0
l	l	0.948
lː	ɫ	0.646
lː	-	0.354
m	m	0.833
m	-	0.167
n	n	0.88
n	-	0.112
nː	n	1.0
oː	ə	0.921
oː	-	0.079
p	p	1.0
r	r	0.967
s	-	0.661
s	s	0.32
t	t	0.741
t	tʰ	0.204
u	-	0.558
u	ə	0.442
w	w	0.843
w	-	0.152
x	-	1.0
z	r	0.806
z	s	0.194
ð	ð	0.59
ð	d	0.299
ð	-	0.112
ŋ	ŋ	0.959
ɔː	-	1.0
ɡ	-	0.575
ɡ	ɡ	0.425
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	-	1.0
ʍ	ʍ	0.664
ʍ	-	0.336
ˈa	ˈɑ	0.254
ˈa	ˈɑː	0.182
ˈa	ˈe	0.165
ˈa	ˈɛ	0.09
ˈa	ˈeː	0.074
ˈa	ˈɪ	0.06
ˈa	ˈø	0.06
ˈeː	ˈi	0.31
ˈeː	ˈø	0.21
ˈeː	ˈɛ	0.16
ˈeː	ˈɑ	0.156
ˈeː	ˈei̯	0.101
ˈeː	ˈiː	0.062
ˈi	ˈɪ	0.558
ˈi	ˈei̯	0.116
ˈi	-	0.071
ˈi	ˈəi̯	0.069
ˈi	ˈaːɪ̯	0.065
ˈi	ˈe	0.05
ˈiu̯	-	0.319
ˈiu̯	ˈiː	0.263
ˈiu̯	ˈəi̯	0.165
ˈiu̯	ˈe	0.117
ˈiu̯	ˈɛ	0.094
ˈiː	ˈəi̯	0.617
ˈiː	ˈɪ	0.222
ˈiː	ˈɛ	0.161
ˈoː	ˈø	0.634
ˈoː	ˈɪ	0.257
ˈoː	ˈəi̯	0.109
ˈu	ˈʉ	0.332
ˈu	ˈɔ	0.301
ˈu	ˈʌ	0.175
ˈu	ˈø	0.08
ˈu	ˈʌʉ̯	0.059
ˈuː	ˈʉ	0.892
ˈuː	ˈʌ	0.108
ˈɔ	ˈɔ	0.62
ˈɔ	ˈɪ	0.206
ˈɔ	ˈei̯	0.089
ˈɔ	-	0.065
ˈɔː	ˈei̯	0.372
ˈɔː	ˈiː	0.313
ˈɔː	j	0.146
ˈɔː	ˈɔ	0.086
ˈɔː	ˈe	0.083
ˈɛ	ˈɛ	0.362
ˈɛ	ˈʌ	0.216
ˈɛ	ˈei̯	0.14
ˈɛ	j	0.114
ˈɛ	ˈiː	0.071
ˈɛ	ˈɪ	0.071
ˈɛː	ˈe	0.461
ˈɛː	ə	0.221
ˈɛː	ˈɑ	0.108
ˈɛː	ˈɑː	0.078
ˈɛː	ˈɛ	0.074
β	-	0.72
β	v	0.28
θ	d	0.528
θ	θ	0.307
θ	ð	0.164
