Gothic	Westphalian	probability
θ_s	d̥	1.0
θ_iː	d̥	1.0
β	v	1.0
ˈɛ_h	ˈɛ	1.0
ˈɔː_s	ˈœː	1.0
ˈɔ_r	ˈuːə̯	1.0
ˈɔ	ˈaʊ̯	1.0
ˈoː	ˈoː	1.0
ˈiu̯_ð	ˈyː	1.0
ˈeː	ˈɔː	1.0
ˈa_nː	ˈɛ_n	1.0
ʍ	v	1.0
ɣ_a	ɡ	1.0
ɡʷː	ˈuː	1.0
ɡʷ	-	1.0
ɔː	-	1.0
ŋ	ŋ	1.0
ð	d	1.0
u	-	1.0
t_a	t	1.0
s_k	ʃ	1.0
r_u	ɐ	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kʷ	k	1.0
k	k	1.0
iː	-	1.0
i_s	ʃ	1.0
i	-	1.0
f_s	v	1.0
e	-	1.0
d	d̥	1.0
aː	-	1.0
a_r	ɐ	1.0
n	n	0.961
t	t	0.952
b	b	0.921
f	f	0.86
a	-	0.835
ˈiː	ˈiː	0.812
ɡ	-	0.782
j	-	0.745
ˈɛː	ˈeː	0.73
w	v	0.697
ˈɔː	ˈaʊ̯	0.632
s	s	0.611
ˈi	ˈɪ	0.609
θ	-	0.605
r	ɐ	0.605
ˈiu̯	ˈaɪ̯	0.598
ˈɛ	-	0.592
ˈuː	ˈuː	0.581
oː	-	0.571
ˈu	ˈʊ	0.557
ˈa	ˈa	0.525
h	h	0.492
oː	ə	0.429
ˈuː	ˈʊ	0.419
ˈɛ	ˈɛː	0.408
ˈiu̯	-	0.402
θ	d̥	0.395
ˈɔː	ˈøː	0.368
w	ʋ	0.303
s	ˈiː	0.279
r	r	0.272
ˈɛː	-	0.27
h	-	0.259
j	j	0.255
h	x	0.249
ˈi	-	0.235
ɡ	ɡ	0.218
ˈu	-	0.193
ˈiː	ˈɪ	0.188
ˈu	ˈuːə̯	0.15
f	v	0.14
r	-	0.124
ˈa	ˈɔː	0.123
a	ɐ	0.111
s	z̥	0.11
ˈa	-	0.099
b	ʋ	0.079
ˈa	ˈɔ	0.071
ˈu	ˈyə̯	0.07
ˈa	ˈaː	0.07
ˈi	ˈɪə̯	0.069
ˈa	ˈɛ	0.068
