Northern Low Saxon	Middle English	probability
ˈʊ_n	ˈuː	1.0
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɔː	ˈu_r	1.0
ˈɔʏ̯	ˈeː	1.0
ˈœː	ɛ	1.0
ˈœ	ˈɛ	1.0
ˈuː_d	d	1.0
ʒ	j	1.0
ɪ_ç	iː	1.0
ɡ_r	ɡ_r	1.0
ə	-	1.0
ɐ_d	r_d	1.0
z	s	1.0
v̥	f	1.0
r	r	1.0
pʰ	p	1.0
p	p	1.0
k	k	1.0
j	ɡ	1.0
i	iː	1.0
h	h	1.0
d_ˈaʊ̯	d_ˈɛː	1.0
d_ˈaɪ̯	d_ˈeː	1.0
d_r	d_r	1.0
aɪ̯	eː	1.0
f	f	0.954
ˈʊ	ˈu	0.886
t	t	0.885
v	w	0.881
ˈiː	ˈiː	0.862
ˈuː	ˈuː	0.784
n	n	0.718
s	s	0.717
kʰ	k	0.716
l	l	0.707
ʃ	ʃ	0.684
b	b	0.663
m	m	0.623
ˈeɪ̯	-	0.593
x	x	0.568
ˈa	ˈa	0.556
ˈʏ	ˈi	0.548
ˈaː	ˈa_r	0.545
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈɪ	ˈi	0.482
ˈʏ	ˈu	0.452
ˈøː	-	0.443
ɐ	r	0.435
x	ç	0.432
ˈeɪ̯	ˈɛː	0.407
ŋ	ŋ_ɡ	0.405
ˈɛ	ˈɛ	0.4
ˈeː	-	0.397
ˈɪ	ˈiː	0.383
ˈɛ	-	0.376
d	d	0.358
ˈaɪ̯	ˈɔː	0.339
ɡ	k_ə	0.339
b	p	0.337
ˈyː	ˈiː	0.333
ˈyː	ˈi	0.333
ˈyː	ˈeː	0.333
ˈøː	ˈu	0.33
m	ə_n	0.326
ŋ	n	0.321
ˈaʊ̯	ˈoː	0.318
ˈoː	ˈɛː	0.316
ʃ	s	0.316
ˈa	ˈɔː	0.303
ç	ə	0.3
l	ɫ	0.293
ˈaʊ̯	ˈɛː	0.284
kʰ	ʧ	0.284
ɐ	ə_r	0.283
s	k_s	0.283
d	θ	0.272
ˈeː	ˈɛ	0.267
ˈaɪ̯	ˈeː	0.261
ˈoː	ˈaː	0.235
ç	ʤ	0.233
ç	ç_t	0.233
ç	x	0.233
ˈøː	ˈɔː	0.227
ˈaː	ˈa_ɫ	0.227
ˈaː	r	0.227
ˈɛ	ˈi	0.224
ˈuː	-	0.216
ˈeː	ˈi	0.198
d	t_ə	0.178
d	t	0.178
ˈaʊ̯	ˈɔː	0.166
ɡ	k	0.165
ɐ	r_ə	0.158
ˈaɪ̯	ˈiː_ə	0.155
ŋ	ŋ	0.15
ɡ	ʧ_ə	0.148
ˈiː	-	0.138
ˈeː	ˈɛː	0.138
n	n_ə	0.13
ˈoː	ˈoː	0.129
ˈoː	ˈɔː	0.127
ɐ	ə	0.125
ŋ	n_ɡ	0.124
t	d	0.115
ˈʊ	-	0.114
ɡ	j	0.109
ˈoː	ˈæi̯	0.097
ˈoː	-	0.097
ˈɪ	ˈɔː	0.092
ˈaʊ̯	-	0.092
ɡ	ɡ	0.088
n	n_d	0.086
ˈaʊ̯	ˈɔ	0.083
ˈaɪ̯	-	0.083
ˈaɪ̯	ˈɛ_r	0.082
ˈaɪ̯	ˈɔu̯	0.081
ˈa	ˈi	0.077
v	ʍ	0.077
ɡ	ʤ	0.068
ˈaʊ̯	ˈuː	0.058
m	m_b	0.051
