Luxembourgish	Eastphalian	probability
b	b	1.0
d	d	0.786
d	-	0.214
e	ɒː	1.0
f	f	0.744
f	p	0.175
h	h	1.0
j	j	1.0
k	k	0.594
k	ɡ	0.203
k	ɣ	0.203
kʰ	k	1.0
l	l	1.0
m	m	0.832
m	-	0.168
n	n	0.911
n	m	0.052
p	p	1.0
s	t	0.64
s	s	0.28
s	z	0.06
t	t	0.557
t	d	0.392
t	-	0.051
tʰ	t	1.0
v	v	0.982
w	w	0.579
w	v	0.421
z	z	0.957
ŋ	ŋ	0.7
ŋ	n	0.219
ŋ	ɣ	0.068
ɐ	ɐ	0.781
ɐ	r_ə	0.093
ɐ	-	0.073
ɐ	ə	0.054
ɕ	k	0.498
ɕ	ç	0.348
ɕ	x	0.12
ə	-	0.899
ɡ	ɣ	0.685
ɡ	j	0.276
ʀ	r	0.894
ʀ	-	0.106
ʃ	s	0.535
ʃ	ʃ	0.465
ʑ	ɡ	1.0
ʦ	t	1.0
ˈaː	ˈa	0.505
ˈaː	ˈeo̯	0.138
ˈaː	ˈaː	0.122
ˈaː	ˈoː	0.078
ˈaː	ˈɔ	0.054
ˈe	ˈɪ	0.443
ˈe	ˈʏ	0.216
ˈe	ˈeː	0.144
ˈe	ˈɛɪ̯	0.135
ˈe	ˈɔʏ̯	0.062
ˈeː	ˈɛɪ̯	0.698
ˈeː	ˈøː	0.082
ˈeː	ˈɛː	0.073
ˈeː	ˈaɪ̯	0.071
ˈi	ˈɛɪ̯	0.432
ˈi	ˈɔʏ̯	0.296
ˈi	ˈeː	0.206
ˈi	ˈoː	0.066
ˈiə̯	ˈeː	0.305
ˈiə̯	ˈœ	0.305
ˈiə̯	ˈɛː	0.292
ˈiə̯	ˈɛ	0.098
ˈiː	ˈøː	0.217
ˈiː	ˈɛː	0.18
ˈiː	ˈɪ	0.158
ˈiː	ˈiː	0.119
ˈiː	ˈɛ	0.103
ˈiː	ˈɛɪ̯	0.082
ˈiː	ˈoː	0.059
ˈo	ˈʊ	0.579
ˈo	ˈɔ	0.218
ˈo	ˈaʊ̯	0.1
ˈo	ˈeː	0.052
ˈo	ˈoː	0.05
ˈoː	ˈɒː	0.656
ˈoː	j	0.344
ˈu	ˈaʊ̯	0.277
ˈu	ˈɔ	0.186
ˈu	ˈɛ	0.186
ˈu	ˈœ	0.121
ˈu	ˈuː	0.086
ˈu	ˈɒː	0.083
ˈu	ˈɔʏ̯	0.06
ˈuə̯	ˈa	0.436
ˈuə̯	ˈɒː	0.251
ˈuə̯	ˈɛː	0.158
ˈuə̯	-	0.114
ˈuː	ˈɔ	0.447
ˈuː	ˈoː	0.389
ˈuː	ˈœ	0.164
ˈæ	ˈaʊ̯	0.384
ˈæ	ˈɛ	0.384
ˈæ	ˈa	0.232
ˈæːɪ̯	ˈiː	0.792
ˈæːɪ̯	ˈʏ	0.117
ˈæːɪ̯	ˈɪ	0.065
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈɪ	0.546
ˈɑ	ˈa	0.385
ˈɑ	ˈɛː	0.05
ˈɑɪ̯	ˈiː	0.572
ˈɑɪ̯	ˈyː	0.168
ˈɑɪ̯	ˈɪ	0.13
ˈɑɪ̯	ˈuː	0.086
ˈɑʊ̯	ˈuː	1.0
ˈɔ	ˈʊ	0.803
ˈɔ	ˈuː	0.197
ˈə	ˈʏ	0.323
ˈə	ˈɪ	0.307
ˈə	ˈɛ	0.188
ˈə	ˈiː	0.118
ˈə	ˈœ	0.063
ˈəʊ̯	ˈeo̯	0.535
ˈəʊ̯	ˈɒː	0.344
ˈəʊ̯	ˈaʊ̯	0.122
ˈɛ	ˈeː	0.45
ˈɛ	ˈɪ	0.227
ˈɛ	ˈʏ	0.227
ˈɛ	ˈɛ	0.096
ˈɛː	ˈeː	0.761
ˈɛː	ˈa	0.239
ˈɜɪ̯	ˈɛɪ̯	0.578
ˈɜɪ̯	ˈɔʏ̯	0.131
ˈɜɪ̯	ˈɒː	0.118
ˈɜɪ̯	ˈøː	0.062
ˈʊ	ˈʊ	0.723
ˈʊ	ˈaʊ̯	0.277
χ	k	0.573
χ	x	0.427
