Sixian	Sixian	probability
⁵	⁵	1.0
ʨ	ʦ	1.0
ɨ	i	1.0
ɕ	s	1.0
ŋ̍	y	1.0
¹¹	⁵³	1.0
t̚	ʔ	1.0
t	t	1.0
p̚	ʔ	1.0
p	p	1.0
o_²⁴	o_⁵³	1.0
o_n	ɑ_ŋ	1.0
l	l̃	1.0
k̚	ʔ	1.0
k	k	1.0
j_u	ø_ɥ	1.0
j_e	w_o	1.0
e_w	a_w	1.0
a_m	a_ŋ	1.0
<#_ɲ	<#	1.0
<#_n	<#_nˡ	1.0
³¹	³³	0.889
²	²⁴	0.864
²⁴	⁵⁵	0.85
n	ŋ	0.846
m	m	0.8
ʦʰ	ʦʰ	0.778
ŋ	ŋ	0.724
ɲ	nˡ	0.667
tʰ	tʰ	0.667
s	s	0.667
<#	<#_h	0.6
ʦ	ʦ	0.571
w	w	0.571
pʰ	pʰ	0.571
⁵⁵	²¹³	0.545
a	a	0.52
ʨʰ	ʦʰ	0.5
ʨʰ	-	0.5
kʰ	kʰ	0.5
kʰ	k	0.5
<#_v	<#_w	0.5
<#_v	<#	0.5
o	o	0.457
⁵⁵	²⁴²	0.455
j	j	0.452
ʦ	t	0.429
w	-	0.429
pʰ	p	0.429
h	h	0.417
f	h	0.417
i	i	0.4
<#	<#_nˡ	0.4
e	e	0.353
ɲ	ŋ	0.333
tʰ	t	0.333
h	kʰ	0.333
j	-	0.323
u	u	0.29
h	-	0.25
f	h_w	0.25
e	ɔ	0.235
ʦʰ	t	0.222
s	ʦ	0.2
m	ŋ	0.2
i	ɛ_j	0.2
u	o_w	0.194
e	ɛ	0.176
f	p	0.167
f	-	0.167
u	w	0.161
a	ɑ	0.16
n	o_ŋ	0.154
²⁴	³³	0.15
o	w	0.143
ŋ	ɥ_ŋ	0.138
ŋ	w_ŋ	0.138
²	⁵	0.136
s	ʦʰ_j	0.133
u	ø	0.129
u	y	0.129
j	ɥ	0.129
i	ɛ	0.12
i	u_j	0.12
a	w	0.12
a	j_a	0.12
e	o	0.118
e	a_j	0.118
³¹	²⁴²	0.111
u	e_w	0.097
j	w	0.097
o	ɑ_w	0.086
o	-	0.086
i	ɔ	0.08
i	j	0.08
a	j	0.08
o	ɔ	0.057
o	ɑ	0.057
o	w_a	0.057
o	a	0.057
