Russian	Lower Sorbian	probability
bʲ	bʲ	1.0
d	d	1.0
k	k	1.0
kʲ	kʲ	1.0
lʲ	l	1.0
m	m	1.0
n	n	1.0
nʲ	ɲ	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
vʲ	vʲ	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ɡ	ɡ	1.0
ʂ	ʂ	1.0
ʊ	ˈu	1.0
ʐ	ʐ	1.0
ʨ	ʦ	1.0
ˈu	ˈu	1.0
ˈɨ	ˈɨ	1.0
pʲ	pʲ	0.821
ɐ	-	0.071
ɪ	ˈe	0.271
ˈa	ˈɪ	0.081
ˈa	ˈa	0.271
ˈo	ˈe	0.051
r	r	0.852
ɪ	ɛ	0.182
ˈɵ	ˈɔ	0.172
j	j	0.393
tʲ	ɕ	0.943
ɐ	ˈa	0.073
ə	ˈɔ	0.083
ə	-	0.113
ɫ	l	0.113
ˈi	ˈi	0.783
p	p	0.904
ʦ	ʦ	0.944
ˈe	ɛ	0.084
ˈe	ˈe	0.204
dʲ	d	0.255
dʲ	ʑ	0.745
mʲ	m	0.325
mʲ	mʲ	0.675
rʲ	-	0.085
rʲ	rʲ	0.915
ɫ	d_w	0.075
ɫ	w	0.735
ˈe	ˈɛ	0.125
p	-	0.096
ɪ	ˈɪ	0.16
ʦ	<#_j	0.056
ˈo	-	0.086
ˈo	ˈɛ	0.36
j	ɨ	0.607
ə	a	0.277
ə	ɔ	0.527
ɪ	e	0.097
ɫ	-	0.077
ˈe	ˈa	0.107
ˈi	i	0.217
r	ʂ	0.148
ɐ	ˈɔ	0.298
ɐ	ˈɛ	0.558
ˈa	a	0.648
ˈe	ˈɪ	0.48
ˈo	ˈɔ	0.448
ˈɵ	ˈa	0.828
pʲ	p	0.179
ɪ	-	0.29
