Ladin	Ladin	probability
ˈɛ_k	ɡ	1.0
ˈo_w	ˈʌu̯	1.0
ˈe_#>	ˈɛ_r_#>	1.0
ʧ	θ	1.0
ʥ	-	1.0
ʃ_#>	z_#>	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈɛ	ˈɔː	1.0
v	v	1.0
u	u	1.0
t_#>	d_#>	1.0
t	t	1.0
s_#>	#>	1.0
s	s	1.0
r_t	r_t	1.0
p	p	1.0
m_#>	m_#>	1.0
l_ˈe	l_ˈa	1.0
l_ˈa	j_ˈa	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈiː	1.0
j_#>	#>	1.0
f_#>	v_#>	1.0
f	f	1.0
d_l	ʧ	1.0
b	b	1.0
a_r	r	1.0
a_d	a_d	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈa	<#_ˈaː	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#	1.0
<#	<#_ˈɔ	1.0
m	m	0.917
l	l	0.889
k	k	0.864
ɡ	ɡ	0.833
r	r	0.824
d	d	0.8
ʨ	k	0.714
ʒ	ð	0.692
i	i	0.667
#>	r_#>	0.667
n	ŋ	0.659
ˈu	ˈo	0.615
ˈɛ	ˈɛ	0.608
w	-	0.6
ˈi	ˈe	0.571
ʦ	θ	0.571
o	u	0.538
j	j	0.483
o	-	0.462
ˈa	ˈaː	0.457
ˈɔ	ˈɔː	0.444
ʦ	-	0.429
w	ˈuː	0.4
ˈu	ˈuː	0.385
ˈe	ˈa	0.345
j	-	0.345
ˈɔ	ˈɔ	0.333
ˈi	ˈiː	0.333
i	-	0.333
e	-	0.323
ʒ	z	0.308
ˈo	ˈʌ	0.294
ˈo	-	0.294
ʨ	θ	0.286
n	n	0.273
e	e_r	0.258
e	e	0.258
ˈa	ˈa	0.257
ˈo	ˈo	0.235
ˈa	ˈɛ	0.229
ˈe	-	0.207
d	-	0.2
ˈo	ˈʌu̯	0.176
j	ˈiː	0.172
ɡ	-	0.167
#>	d_#>	0.167
#>	a_#>	0.167
k	ɡ	0.136
ˈɔ	ˈʌ	0.111
ˈɔ	ˈo	0.111
l	j	0.111
ˈe	ˈɛ	0.103
ˈe	ˈæ	0.103
ˈe	ˈe	0.103
ˈɛ	ˈæ	0.098
ˈɛ	-	0.098
e	i	0.097
ˈi	ˈi	0.095
m	ŋ	0.083
ˈɛ	ˈɛː	0.078
ˈɛ	ˈa	0.078
r	r_e	0.078
ˈe	ˈa_j	0.069
ˈe	r	0.069
n	ŋ_n	0.068
e	r	0.065
r	d	0.059
ˈa	-	0.057
