Campidanese	Catalan	probability
f	f	1.0
m	m	1.0
nː	ɲ	1.0
s	s	1.0
w	w	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʃː	ʃ	1.0
ʒ	-	1.0
ʣ	ʎ	1.0
k	ɣ	0.111
t	ð	0.121
u	ə	0.341
ɖː	l	0.891
ɣ	ɣ	0.441
ˈu	ˈu	0.561
b	b	0.852
j	ʒ	0.282
r	-	0.222
sː	ʎ	0.582
ɣ	ʤ	0.272
ˈe	ˈi	0.052
ˈi	ˈɛ	0.342
d	d	0.793
e	-	0.203
e	ə	0.433
j	w	0.323
k	k	0.783
p	p	0.943
rː	-	0.263
z	s	0.853
ʧ	s	0.823
a	ə	0.984
o	-	0.354
r	l	0.074
u	w	0.104
u	u	0.14
ɡ	ɡ	0.564
ˈa	ˈa	0.834
ˈo	ˈɔ	0.754
β	-	0.054
b	-	0.095
j	ʎ	0.395
l	l	0.465
l	ʎ	0.535
n	-	0.275
r	r	0.245
t	t	0.75
ð	-	0.355
ð	ð	0.645
ʤ	-	0.125
ʤ	ʒ	0.875
ˈe	ˈe	0.475
k	-	0.106
o	u	0.646
u	-	0.336
ɡ	ɣ	0.436
ˈi	ˈe	0.176
ˈi	ˈi	0.446
β	β	0.946
d	-	0.127
e	i	0.077
i	w	0.127
i	-	0.217
n	ɲ	0.107
rː	r	0.737
z	-	0.147
ʧ	-	0.177
e	w	0.188
i	i	0.058
i	ˈɛ	0.118
i	ə	0.48
n	n	0.618
sː	s	0.418
ɣ	ɡ	0.188
ˈa	ˈe	0.118
ˈe	ˈɛ	0.438
ˈo	u	0.068
ˈo	ˈu	0.138
d	t	0.079
e	ˈa	0.069
r	ɾ	0.459
t	l_t	0.129
u	ʎ_ə	0.079
ɖː	-	0.109
ɣ	-	0.099
ˈu	ˈo	0.439
