Ukrainian	Russian	probability
b	p	1.0
i	ɪ	1.0
j	j	1.0
kʲ	k	1.0
lʲ	lʲ	1.0
mʲ	mʲ	1.0
n	n	1.0
pʲ	pʲ	1.0
sʲ	sʲ	1.0
tʲ	tʲ	1.0
x	x	1.0
zʲ	z	1.0
ʊ	ʊ	1.0
ʍ	ɫ	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʨ	1.0
ˈa	ˈa	1.0
ˈu	ˈu	1.0
ˈɔ	ˈo	1.0
p	pʲ	0.751
s	s	0.861
t	tʲ	0.401
z	zʲ	0.471
ɔ	ɪ	0.051
d	dʲ	0.442
m	mʲ	0.362
nʲ	n	0.42
rʲ	r	0.662
ɐ	ˈa	0.142
ʒ	ʂ	0.322
ˈɪ	ˈi	0.532
e	ɪ	0.3
w	v	0.953
ɔ	ɐ	0.523
ʋ	v	0.543
ˈi	ˈe	0.573
ˈɛ	ˈɵ	0.223
ˈɪ	ɪ	0.093
k	kʲ	0.314
ɛ	ə	0.164
ɫ	ɫ	0.744
ʋʲ	v	0.164
ˈɑ	ˈæ	0.114
r	rʲ	0.385
r	r	0.615
ɦ	-	0.055
ɔ	ə	0.426
ɛ	ɪ	0.836
ɦ	k	0.086
ɫ	lʲ	0.256
ʋ	-	0.086
ʋʲ	vʲ	0.836
ˈɑ	ˈa	0.886
ˈɪ	ˈɨ	0.316
d	t	0.167
e	ɨ	0.7
ʋ	vʲ	0.37
ˈi	ˈo	0.387
ˈɛ	ˈe	0.777
m	m	0.638
nʲ	nʲ	0.58
rʲ	rʲ	0.338
ʒ	ʐ	0.678
d	d	0.39
k	k	0.649
p	p	0.249
s	sʲ	0.139
t	t	0.599
z	z	0.529
ɐ	ɪ	0.429
ɐ	ə	0.429
ɦ	ɡ	0.859
ˈɪ	ɨ	0.059
