Old West Norse	Westphalian	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈeː	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈa	1.0
ˈɒu̯	ˈaʊ̯	1.0
ˈɑu̯	ˈaʊ̯	1.0
ˈøy̯	-	1.0
ˈo_r	ˈuːə̯	1.0
ˈe_r	ˈɒː	1.0
ˈa	-	1.0
ʦ	t_ʃ	1.0
ʝː	ɡ	1.0
ɾ	ɐ	1.0
ɣ_r̥	ç	1.0
ɡː	-	1.0
ɡ_r̥	ɐ	1.0
ɡ	-	1.0
ɟː	ɡ	1.0
ɟ	-	1.0
ɑː	aɪ̯	1.0
ɑ_ð	d̥	1.0
ŋ	ŋ	1.0
ð_ɑ	d_n	1.0
ð_r̥	d̥	1.0
ð_i	d_ɐ	1.0
ç	h	1.0
x_w	v	1.0
v_n	m	1.0
u	-	1.0
tː	t	1.0
t	t	1.0
sː	-	1.0
s_k	ʃ	1.0
s_c	ʃ	1.0
r̥ː	ɐ	1.0
pː	p	1.0
p	p	1.0
n̥	n	1.0
nː_ɑ	n_n	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
mː	ˈɛ_m	1.0
m	m	1.0
l̥	l	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
k	k	1.0
j_ˈuː	ˈaɪ̯	1.0
j_ˈoː	ˈaɪ̯	1.0
j_ɑ	n	1.0
j	-	1.0
i_r̥	ɐ	1.0
h	h	1.0
e	-	1.0
d_r̥	d̥	1.0
d_i	d̥	1.0
cː	k	1.0
cʰ	k	1.0
c	k	1.0
b	b	1.0
f	f	0.905
d	d	0.833
ˈi	ˈɪ	0.816
ˈuː	ˈuː	0.758
ˈu	ˈʊ	0.725
v	v	0.706
ˈøː	ˈøː	0.67
ˈiː	ˈiː	0.647
ɑ	n	0.624
j_ˈɔ	ˈɛː	0.619
ˈoː	-	0.576
a	n	0.571
i	-	0.557
s	s	0.555
ˈy	ˈʏ	0.534
ˈeː	ˈiː	0.509
ˈɛ	ˈa	0.505
ð	d̥	0.503
ˈɛ	ˈɪɛ̯	0.495
ˈɑː	ˈɔː	0.493
ˈeː	-	0.491
i	ɐ	0.443
ˈɑ	ˈa	0.436
a	-	0.429
ˈoː	ˈoː	0.424
r̥	ɐ	0.422
ˈyː	ˈyː	0.421
ˈo	-	0.413
ɣ	-	0.392
r	ɐ	0.381
j_ˈɔ	ˈɪɛ̯	0.381
s	ʃ	0.365
ˈy	ˈɪ	0.349
r	r	0.347
ˈøː	-	0.33
ˈyː	ˈiː	0.329
ˈo	ˈuːə̯	0.321
ɣ	ŋ	0.311
ˈe	ˈɛ	0.297
ɣ	ɡ	0.296
r	-	0.272
ˈo	ˈuə̯	0.267
ˈɑː	-	0.263
ˈɑ	-	0.263
ð	-	0.261
ˈyː	-	0.25
ɑ	ə	0.25
r̥	ə	0.248
v	ʋ	0.244
ˈuː	ˈʊ	0.242
ð	d	0.237
ˈe	ˈiɛ̯	0.198
ˈe	-	0.198
ˈi	-	0.184
ˈiː	n	0.179
ˈiː	-	0.174
d	d̥	0.167
r̥	ç	0.165
r̥	d̥	0.165
ˈɑ	ˈaː	0.154
ˈe	ˈɪɛ̯	0.154
ˈe	ˈɪ	0.154
ˈɑː	x	0.151
ˈu	-	0.147
ɑ	-	0.127
ˈy	ˈyːœ̯	0.117
f	-	0.095
ˈɑː	ˈa	0.093
ˈɑ	ˈɛ	0.083
s	z	0.08
ˈu	ˈyə̯	0.067
ˈɑ	ˈɔ	0.065
ˈu	ˈuː	0.062
