Gascon	Gascon	probability
β	β	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈa_w	ˈo	1.0
ˈa_#>	ˈa_ɾ_#>	1.0
ʦ_#>	θ_#>	1.0
ʃ	θ_ˈe	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ɔ	ɾ_a	1.0
ɾ_e	ɾ_u	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ŋ_k	ŋ_ɡ	1.0
w_r	ɾ_u	1.0
u_l	o_l	1.0
t_ɔ	t_a	1.0
t_#>	#>	1.0
s_#>	s_#>	1.0
p_ˈu	p_o	1.0
p_ˈe	p_ˈe	1.0
nː	m	1.0
n_ˈa	n_w	1.0
n_d	n	1.0
n	n	1.0
mː	l_m	1.0
k_ɾ	k	1.0
k_l	ʎ	1.0
k_#>	u_#>	1.0
j_ˈe	e	1.0
j_ʃ	ʃ	1.0
j_t	ʧ_e	1.0
j_#>	j_#>	1.0
e_r	e_ɾ	1.0
e_l	e_l	1.0
e_#>	ɾ_#>	1.0
d	d	1.0
b_ˈa	b_ˈa	1.0
a_w	o	1.0
a	a	1.0
<#_w	<#_ɡ_w	1.0
<#_t	<#_t	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#	<#_ɡ	1.0
ɔ	a	0.96
ˈa	ˈa	0.933
m	m	0.931
p	p	0.923
k	k	0.918
ɾ	ɾ	0.905
ˈu	ˈo	0.893
b	b	0.889
h	f	0.882
ˈɔ	w_ˈe	0.833
ˈi	ˈi	0.8
ʎ	ʝ	0.8
ɣ	ɣ	0.8
l	ʎ	0.8
ʒ	ʃ	0.778
ˈe	ˈe	0.762
ˈy	ˈu	0.75
<#_ˈa	<#_ˈa	0.75
s	s	0.741
<#_s	<#_s	0.731
ð	ð	0.727
u	o	0.615
<#_a	<#	0.615
#>	u_#>	0.606
ˈɛ	j_ˈe	0.583
j	-	0.583
t	t	0.514
ŋ	ŋ	0.5
z	θ	0.5
z	s	0.5
i	e	0.5
i	-	0.5
e	e	0.483
w_#>	l_#>	0.429
r	ɾ	0.391
u	u	0.385
<#_a	<#_a	0.385
r	r	0.348
ˈɛ	ˈe	0.333
ŋ	n_u	0.318
w_#>	β_u_#>	0.286
w_#>	ˈe_β_e_#>	0.286
ð	-	0.273
<#_s	<#_θ	0.269
j	j	0.25
<#_ˈa	<#	0.25
w	w	0.24
ʒ	-	0.222
ʎ	-	0.2
ɣ	-	0.2
w	ˈo	0.2
w	l_u	0.2
l	l	0.2
#>	e_#>	0.183
ŋ	n	0.182
t	-	0.171
ˈɔ	ˈo	0.167
j	ð_ɾ	0.167
ˈy	ˈo	0.15
e	ˈe_ɾ	0.138
e	ɾ	0.138
r	ɾ_n	0.13
r	e	0.13
ˈi	ˈe	0.12
w	β	0.12
w	u	0.12
w	l	0.12
ˈe	e	0.119
h	-	0.118
t	ʎ_u	0.114
t	ð	0.114
s	θ	0.111
b	b_j	0.111
ˈu	-	0.107
e	ˈi_ɾ	0.103
ˈy	ˈu_ɾ	0.1
ɾ	ˈe	0.095
t	ʧ	0.086
#>	t_u_#>	0.085
ˈɛ	j	0.083
k	ɣ	0.082
ˈi	i	0.08
p	β_u	0.077
s	θ_j	0.074
s	p_u	0.074
ˈe	j_ˈe	0.071
#>	ɾ_#>	0.07
m	-	0.069
e	ɾ_u	0.069
e	i	0.069
ˈa	ɾ	0.067
