Provençal	Sassarese	probability
ˈɛ_ʀ	ˈɛ_j	1.0
ˈỹ	ˈu	1.0
ˈũ_ŋ	n	1.0
ˈu_s	ˈo_ʦː	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_w	r_u	1.0
ˈe_s	sː	1.0
ˈe_n	ˈe_n	1.0
ˈã	ˈa	1.0
ʧ	tː	1.0
ʀ_k	xː	1.0
ɲ	ɲː	1.0
ɥ_ˈɔ	ˈɔ	1.0
ŋ_ʤ	ɲː	1.0
y	u	1.0
w_ˈe	ˈɔ	1.0
ũ	u	1.0
u_l	u_r	1.0
t_ˈa	ˈa_i	1.0
s_ˈe	s_ˈe	1.0
s_p	pː	1.0
p	p	1.0
k_l	ʧ	1.0
j_s	ʃː	1.0
ĩ	ˈi	1.0
i	i	1.0
d_ɔ	dː_a	1.0
b_ɾ	a_r	1.0
ã	a	1.0
a	a	1.0
ɔ	a	0.964
f	f	0.962
n	n	0.889
k	k	0.812
ˈa	ˈa	0.792
u	u	0.774
ˈẽ	ˈɛ	0.769
m	m	0.753
t	t	0.713
ˈy	ˈu	0.7
ɾ	r	0.671
s_k	xː	0.664
ˈũ	ˈo	0.655
l_ɔ	dː_a	0.652
ɥ_ˈe	ˈɔ	0.629
e	i	0.608
v	v	0.594
b	b	0.582
j_ˈe	ˈɛ	0.54
l	l	0.537
ˈɛ	ˈe	0.473
j_ˈe	ˈe	0.46
z	ʦ	0.458
ˈu	ˈo	0.449
ʤ	ʤ	0.446
ɡ	-	0.43
ˈe	ˈɛ	0.409
ˈɛ	ˈɛ	0.403
s	s	0.392
d	-	0.389
ɡ	ɡ	0.375
ɥ_ˈe	ˈo	0.371
l_ɔ	a	0.348
ˈũ	ˈu	0.345
d	dː	0.341
e	u	0.337
s_k	x	0.336
w	ˈɔ	0.33
ʀ	rː	0.328
s	ʦ	0.328
b	bː	0.303
ʤ	d	0.297
t	tː	0.287
ŋ	n	0.274
d	d	0.269
ʤ	ʤː	0.257
ʀ	-	0.254
l	j	0.252
m	mː	0.247
ˈu	ˈu	0.246
v	β	0.241
j	i	0.234
ˈẽ	n	0.231
j	-	0.227
u	o	0.226
ʀ	i	0.209
s	ɬ	0.202
z	d	0.198
ɡ	ɡː	0.195
ŋ	n_u	0.19
z	j	0.188
w	u	0.187
ˈu	-	0.183
ŋ	n_t	0.179
ɾ	-	0.172
ŋ	ŋ	0.167
v	b	0.165
ˈe	-	0.162
z	-	0.156
ˈy	ˈu_r	0.151
ˈy	-	0.149
l	r	0.145
j	ʎː	0.14
ʀ	r	0.133
ˈɛ	-	0.125
ˈe	ˈe	0.123
ˈu	ˈo_r	0.122
ˈe	u	0.116
b	p	0.115
n	nː	0.111
j	ˈɛ	0.104
j	ˈe	0.102
ˈe	ɬ	0.098
j	j	0.096
ɾ	dː	0.082
ŋ	nː	0.082
w	ˈo	0.081
s	ʦː	0.078
ʀ	t_i	0.076
ɾ	a_r	0.075
k	kː	0.075
w	-	0.07
ˈa	-	0.069
ŋ	i	0.068
k	ɡː	0.068
l	lː	0.067
w	dː_u	0.064
ˈa	ˈa_ʦː	0.061
ˈe	j_p	0.056
w	r_u	0.056
j	ʧː_u	0.056
w	β	0.055
e	-	0.055
