Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈi_n	ˈe_n	1.0
ˈi_#>	ˈe_#>	1.0
ˈa_v	ˈo	1.0
ˈa_t	ˈa_ð	1.0
ʎ_i	a	1.0
ʃ_t	θ	1.0
ɨ	-	1.0
ɡ	-	1.0
ŋ	-	1.0
ç	f	1.0
z	-	1.0
v	b	1.0
r_n	ɾ_n	1.0
r_b	ɾ_β	1.0
r_#>	l_u_#>	1.0
p_t	ʧ	1.0
p_#>	β_u_#>	1.0
n_i	ŋ	1.0
k_ʎ	ˈe_ʝ	1.0
k_r	k_ɾ	1.0
k_e̯ˈa	p_j	1.0
k_#>	ɣ_u_#>	1.0
j_i	b_e	1.0
j_#>	s_#>	1.0
i_r	ˈe	1.0
i_#>	#>	1.0
e_#>	l_#>	1.0
b	b	1.0
a	a	1.0
<#_ˈo	<#_ɡ_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_θ	1.0
<#_ʣ	<#	1.0
<#_ʎ	<#_ʎ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
m	m	0.846
#>	u_#>	0.8
e̯ˈa	ˈe	0.778
r	ɾ	0.738
ə	a	0.733
f	f	0.727
ˈi	ˈi	0.682
ˈa	ˈa	0.657
u	u	0.657
n	n	0.655
l	ʎ	0.654
s	s	0.652
p	p	0.636
d	d	0.636
ˈe	ˈe	0.625
k	k	0.611
ɲ	m	0.6
w	ˈe_β	0.6
<#_a	<#_a	0.6
ʦ	θ	0.583
ʣ	d	0.571
t	t	0.531
ʎ	ʝ	0.5
ʎ	u	0.5
ʃ	s	0.5
ˈu	ˈo	0.471
i	e	0.432
ʤ	ʃ	0.429
ʣ	ʃ	0.429
ɲ	-	0.4
w	ˈe	0.4
o̯ˈa	w_ˈe	0.4
<#_a	<#	0.4
ˈu	ˈu	0.382
ˈo	w	0.375
d	-	0.364
l	-	0.346
j	ɟ͡ʝ	0.333
j	b	0.333
j	-	0.333
<#	<#_θ	0.333
<#	<#_k	0.333
<#	<#_a	0.333
ˈo	ˈo	0.312
ˈo	w_ˈe	0.312
o̯ˈa	ˈo	0.3
o̯ˈa	-	0.3
ʤ	ʝ	0.286
ʤ	-	0.286
t	ð	0.281
f	-	0.273
ˈe	j_ˈe	0.25
ʦ	k	0.25
ʃ	θ	0.25
ʃ	-	0.25
u	o	0.229
p	-	0.227
i	ɾ	0.227
s	e_s	0.217
ˈi	ˈe	0.182
ˈa	ˈe	0.171
ʦ	-	0.167
ˈu	-	0.147
n	ɲ	0.138
ˈi	j_ˈe	0.136
p	β	0.136
ə	u	0.133
ə	e	0.133
s	ˈe_s	0.13
ˈe	j	0.125
t	-	0.125
#>	s_#>	0.12
u	-	0.114
i	-	0.114
k	ɣ	0.111
e̯ˈa	j	0.111
e̯ˈa	-	0.111
n	ŋ	0.103
n	-	0.103
i	a	0.091
ˈa	j_ˈe	0.086
ˈa	a	0.086
#>	a_#>	0.08
m	ɲ	0.077
m	n	0.077
i	o	0.068
i	j	0.068
r	ˈe	0.066
r	r	0.066
r	l	0.066
t	ʧ	0.062
k	ˈe_u	0.056
k	ʝ_a	0.056
k	p	0.056
k	k_a	0.056
k	-	0.056
