Brazilian Portuguese	Campidanese	probability
f	f	1.0
ĩ	j	1.0
p	p	1.0
ũ	m	1.0
ɐ̃	m	1.0
ˈĩ	ˈi	1.0
ˈũ	ˈu	1.0
b	b	0.411
e	-	0.121
ẽ	i	0.431
h	r	0.61
i	e	0.131
j	-	0.51
j̃	n	0.711
o	a	0.1
ɡ	k	0.1
ʃ	ʧ	0.051
ʧ	n_t	0.311
ˈi	-	0.141
ˈɔ	ˈu	0.151
a	-	0.132
h	i_r	0.052
h	j	0.102
j̃	-	0.12
m	m	0.982
n	nː	0.112
o	ˈo	0.242
s	sː	0.082
s	ʧ	0.142
v	β	0.12
w	-	0.072
z	s	0.192
z	rː	0.272
ɡ	ɣ	0.402
ɾ	e_r	0.122
ʃ	z	0.332
ʧ	-	0.152
ˈɔ	ˈa	0.082
ˈɛ	ˈi	0.092
b	-	0.073
n	rː	0.113
s	s	0.523
v	-	0.203
w	w	0.243
w	l	0.453
w̃	i	0.13
ɐ	a	0.853
ʎ	-	0.103
d	d	0.404
h	-	0.204
i	-	0.094
j	ˈa	0.164
l	ɖː	0.294
l	l	0.54
n	n	0.744
ɾ	r	0.724
ʤ	d	0.794
ˈe	i	0.074
ˈe	ˈe	0.584
ˈẽ	ˈe	0.634
ˈo	ˈo	0.744
u	u	0.975
ɦ	-	0.285
ɦ	r	0.695
ˈa	ˈa	0.915
ˈõ	ˈu	0.125
ˈõ	ˈo	0.875
ˈu	u	0.065
ˈɐ̃	ˈo	0.065
ˈɐ̃	ˈa	0.935
b	β	0.26
e	a	0.056
i	a	0.056
i	i	0.676
j̃	ɲː	0.086
l	sː	0.076
z	-	0.086
ɾ	-	0.126
ʎ	j	0.406
ʒ	j	0.196
ʒ	ʒ	0.256
ˈe	e	0.056
ˈe	ˈi	0.236
a	ˈa	0.197
a	a	0.627
b	k	0.187
d	t	0.087
d	ð	0.437
e	ˈe	0.087
j	o	0.07
j	j	0.117
j	e	0.117
j̃	nː	0.057
k	k	0.927
s	-	0.057
v	b	0.567
w̃	n	0.87
ɐ	-	0.097
ʃ	p	0.07
ʃ	s	0.517
ʎ	z	0.097
ʧ	t	0.537
ˈa	-	0.057
ˈẽ	ˈi	0.307
ˈo	ˈu	0.227
ˈɔ	ˈo	0.767
e	i	0.328
s	ʃː	0.118
t	t	0.978
w	u	0.138
ɡ	ɡ	0.438
ʎ	ʣ	0.368
ʒ	ʤ	0.198
ʤ	n	0.088
ʤ	ɖ	0.118
ˈɛ	ˈe	0.908
b	p	0.069
e	e	0.369
ẽ	e	0.569
l	-	0.09
o	-	0.109
o	o	0.549
z	ʒ	0.449
ʒ	b	0.349
ˈẽ	e	0.059
ˈi	ˈi	0.839
ˈu	ˈu	0.9
