Old High German	Bavarian	probability
ˈɛ_h	ˈeː	1.0
ˈuo̯_l	ˈu_j	1.0
ˈiː	ˈai̯	1.0
ˈiu̯	ˈai̯	1.0
ˈio̯	ˈiɐ̯	1.0
ˈie̯	ˈi	1.0
ˈeː	ˈeː	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ɡ_ɑ	ŋ	1.0
ɡ_r	ɡ̊_r	1.0
ɡ_eː	ŋ	1.0
ɡ	ɡ̊	1.0
ɛ_r	ɐ	1.0
ɛ_h	eː	1.0
ɑ_r	ɐ	1.0
ɑ_n	a	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
x_s	ɡ̊_s	1.0
x	x	1.0
v	ʋ	1.0
tː	d̥	1.0
t_ɑ	d̥	1.0
t	d̥	1.0
s̻ː_ɑ	s	1.0
s̻ː	sː	1.0
s̻	s	1.0
s_k	ʃ	1.0
r_t	ɐ_d̥	1.0
r_n	ɐ_n	1.0
r_i	ɐ	1.0
p͡f	b̥͡v̥	1.0
p	b̥	1.0
oː	a	1.0
ou̯	ˈaː	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
kː	ɡ̊	1.0
kʰ	kʰ	1.0
k	ɡ̊	1.0
j	j	1.0
i	-	1.0
fː	fː	1.0
e	-	1.0
d_r	d̥_r	1.0
d	d̥	1.0
b_ɑ	m	1.0
f	f	0.969
ˈi	ˈi	0.933
ˈo	ˈo	0.919
ˈuo̯	ˈuɐ̯	0.845
w	ʋ	0.823
ˈei̯	ˈoɐ̯	0.816
b	b̥	0.803
h	h	0.8
ˈɑː	ˈoː	0.797
ˈu	ˈu	0.761
u	-	0.754
ˈɛ	ˈe	0.742
ˈe	ˈe	0.699
ɑ	-	0.681
ˈou̯	ˈaː	0.667
r	ɐ	0.666
ˈuː	ˈau̯	0.628
l	l	0.597
xː	x	0.59
n	n	0.584
s	s	0.559
e_n	n	0.5
e_n	a	0.5
s	ʃ	0.441
ˈoː	ˈou̯	0.429
n	-	0.416
xː	ç	0.41
l	j	0.403
r	r	0.334
ˈou̯	ˈa	0.333
ˈoː	ˈeː	0.324
ˈe	ˈeː	0.301
ˈɑ	ˈɒː	0.261
ˈoː	-	0.248
u	ə	0.246
ˈu	ˈi	0.239
ˈɑː	-	0.203
h	-	0.2
ˈɑ	ˈɑ	0.19
ˈuː	-	0.187
ɑ	ŋ	0.187
ˈɛ	ˈɛ	0.185
ˈuː	ˈaː	0.185
ˈei̯	-	0.184
w	-	0.177
ˈɑ	ˈɒ	0.176
ˈɑ	ˈɑː	0.158
ˈɑ	ˈo	0.158
ˈuo̯	ˈiɐ̯	0.155
ɑ	a	0.132
b	β	0.123
ˈo	ˈoː	0.081
b	m	0.075
ˈɛ	ˈeː	0.072
ˈi	ˈiː	0.067
ˈɑ	ˈa	0.056
