Ripuarian	Ripuarian	probability
ˈʊ	-	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɔː	ˈuː_æ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈøʏ̯	ˈiː_ç	1.0
ˈu	ˈɔ	1.0
ˈoʊ̯	-	1.0
ˈeɪ̯	ˈae̯	1.0
ˈa_ʦ	ˈa_t	1.0
ʃ	ʃ	1.0
ʀ_ə	æ_n	1.0
ʀ	r	1.0
ɫ	l	1.0
ɪ	-	1.0
ɣ	ɡ	1.0
ə_f_#>	f_#>	1.0
ɐ_#>	#>	1.0
z	z	1.0
v̥	v̥	1.0
v_ə	m	1.0
v	v	1.0
t	t	1.0
n_#>	#>	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
k_ə	k_n	1.0
j_ə	ŋ	1.0
h	h	1.0
f_#>	#>	1.0
e	ae̯	1.0
b	b	1.0
#>	ç_#>	1.0
ɐ	æ	0.935
n	n	0.907
d̥	d̥	0.905
p	p	0.857
f	f	0.852
ʋ	v	0.846
s	t	0.842
ˈʏ	-	0.833
d	d	0.833
ˈɪ	ˈɪ	0.8
ˈeː	ˈae̯	0.8
z̥	z̥	0.8
ˈœ	ˈʏ	0.778
ə	n	0.769
j	ɡ	0.692
ˈe	ˈɪ	0.684
k	kʰ	0.684
ˈo	ˈʊ	0.667
ˈuː	ˈuː	0.643
ʦ	tʰ	0.643
ɡ̊	d̥	0.636
x	x	0.625
ˈa	ˈa	0.583
ˈɔʊ̯	ˈuː	0.571
ˈoː	ˈaʊ̯	0.571
ˈiː	ˈiː	0.571
ŋ	n	0.571
ɕ	ç	0.556
ˈɛː	ˈɛ	0.5
ˈyː	ˈyː	0.5
ˈaː	ˈa	0.5
ŋ_ə	ŋ	0.5
ŋ_ə	n_n	0.5
ˈɛ	-	0.462
ˈɔ	ˈɔ	0.455
ɕ	k	0.444
ˈɔʊ̯	-	0.429
ŋ	ŋ	0.429
x	k	0.375
ˈɔ	ˈʊ	0.364
ˈuː	ˈaʊ̯	0.357
ʦ	t	0.357
ˈoː	ˈɒː	0.333
ˈo	-	0.333
ˈɛ	ˈɛ	0.308
j	j	0.308
ˈaː	-	0.286
ɡ̊	-	0.273
ˈɛː	ˈɛː	0.25
ˈɛː	-	0.25
ˈyː	ˈɔʏ̯	0.25
ˈyː	-	0.25
ˈɛ	ˈɛː	0.231
ˈœ	-	0.222
ˈiː	ˈeː	0.214
ˈaː	ˈɒː	0.214
ˈɪ	ˈiː	0.2
z̥	-	0.2
ˈɔ	ˈɒː	0.182
ˈʏ	ˈøː	0.167
d	ɾ	0.167
s	s	0.158
k	ç	0.158
k	k	0.158
ʋ	w	0.154
f	p	0.148
ˈiː	-	0.143
p	pʰ	0.143
ˈe	ˈɛ	0.105
ˈe	ˈae̯	0.105
ˈe	-	0.105
ˈeː	ˈɪ	0.1
ˈeː	ˈaɪ̯	0.1
ˈoː	ˈoː	0.095
d̥	-	0.095
ɡ̊	ɡ̊	0.091
ˈa	ˈɪ	0.083
ˈa	ˈɔ	0.083
ˈa	ˈaː	0.083
ˈa	ˈaʊ̯	0.083
ˈa	-	0.083
ə	ɪ	0.077
ə	m	0.077
ə	-	0.077
ˈiː	ˈɛɪ̯	0.071
ɐ	ˈoː_æ	0.065
