Gothic	Limburgish	probability
a	ə	0.659
a	-	0.298
a	ˈʊː	0.039
aː	ə	0.492
b	b	0.826
b	-	0.087
b	f	0.087
d	d	0.769
d	t	0.215
d_s	t	1.0
e	ə	0.492
f	v	0.753
f	f	0.201
f	ˈv	0.05
f_s	f	1.0
h	ɦ	0.658
h	-	0.141
h	x	0.099
h	ŋ	0.052
h	k	0.047
h_l	l	0.242
h_t	x	1.0
i	-	0.709
i	ə	0.272
i_s	s	0.242
iː	-	1.0
j	-	0.456
j	j	0.42
j	ʀ	0.107
k	k	0.691
k	x	0.134
k	-	0.094
k_s	s	1.0
kʷ	v	0.492
l	l	0.67
l	j	0.13
l	-	0.073
l	w	0.064
l	l_ə	0.055
l_s	l	1.0
lː	l	0.242
lː_s	l	1.0
m	m	0.928
m	-	0.071
m_s	m	1.0
n	n	0.485
n	-	0.405
n	ə	0.096
n_s	n	1.0
nː	n	1.0
oː	-	0.74
oː	ʀ	0.154
oː	ˈɔu̯	0.079
p	p	1.0
r	ʀ	0.932
r	-	0.067
s	-	0.596
s	z	0.203
s	s	0.198
s_k	ʃ	0.74
s_k	s	0.193
t	t	0.957
t	-	0.042
u	-	0.506
u	ə	0.49
w	β	0.841
w	-	0.11
w	ʀ	0.049
x_s	x	0.492
z	s	0.21
z	ʀ	0.21
ð	-	0.477
ð	j	0.315
ð	ʦ	0.118
ŋ	ŋ	0.901
ŋ	-	0.08
ɔː	-	0.492
ɡ	ɣ	0.703
ɡ	-	0.286
ɡ_s	k	0.596
ɡ_s	x	0.354
ɡʷ	-	0.492
ɡːʷ	-	0.242
ɣ	x	1.0
ʍ	β	0.386
ʍ	-	0.254
ˈa	ˈaː	0.346
ˈa	ˈɑ	0.206
ˈa	ˈɑː	0.1
ˈa	ˈæ	0.056
ˈa	ˈæː	0.056
ˈeː	ˈɒː	0.758
ˈeː	ˈeː	0.234
ˈi	ˈɪː	0.243
ˈi	ˈeː	0.207
ˈi	ˈɛː	0.087
ˈi	ˈɛ	0.087
ˈi	ˈʏː	0.076
ˈiu̯	ˈeː	0.476
ˈiu̯	ˈœi̯	0.29
ˈiu̯	ˈiː	0.191
ˈiː	ˈiː	0.625
ˈiː	ˈɛi̯	0.114
ˈiː	ˈɪ	0.114
ˈiː	ˈɛːi̯	0.08
ˈoː	ˈʊː	0.527
ˈoː	ˈøː	0.157
ˈoː	ˈyː	0.157
ˈoː	ˈɔ	0.157
ˈu	ˈʊː	0.33
ˈu	ˈɔ	0.134
ˈu	ˈɔː	0.121
ˈu	ˈɑː	0.07
ˈu	ˈoː	0.07
ˈuː	ˈuː	0.79
ˈuː	ˈʊː	0.209
ˈɔ	ˈʊː	0.398
ˈɔ	ˈu	0.218
ˈɔ	ˈœː	0.144
ˈɔ	ˈɔ	0.101
ˈɔ	ˈœ	0.101
ˈɔː	ˈu	0.416
ˈɔː	ˈuː	0.163
ˈɔː	ˈyː	0.115
ˈɔː	ˈɔ	0.081
ˈɔː	ˈɔː	0.078
ˈɛ	ˈeː	0.203
ˈɛ	ˈaː	0.154
ˈɛ	ˈɑ	0.154
ˈɛ	ˈiː	0.108
ˈɛ	ˈæː	0.078
ˈɛː	ˈɛː	0.447
ˈɛː	ˈi	0.133
ˈɛː	ˈɪː	0.133
ˈɛː	ˈɛːi̯	0.099
ˈɛː	ˈɛ	0.093
ˈɛː_w	ˈi	0.492
β	v	0.441
β	-	0.152
β	b	0.152
β	p	0.143
θ	d	0.394
θ	t	0.335
θ	-	0.217
θ	β	0.034
θ_s	t	1.0
θ_u	t	1.0
