Gothic	Limburgish	probability
a	ə	0.82
a	ˈɛːi̯	0.098
aː	ə	1.0
b	b	0.936
b	-	0.064
d	d	0.604
d	t	0.242
d	-	0.155
e	ə	1.0
f	v	0.633
f	f	0.282
f	ˈv	0.085
h	ɦ	0.632
h	x	0.184
h	-	0.122
i	-	0.67
i	ə	0.33
iː	-	0.941
iː	ˈi	0.059
j	j	0.512
j	-	0.359
j	ʀ	0.075
j	ˈøː	0.054
k	k	0.56
k	-	0.34
k	x	0.1
kʷ	v	0.67
kʷ	k	0.33
l	l	0.719
l	j	0.189
lː	l	1.0
m	m	0.893
m	-	0.062
n	n	0.806
n	-	0.189
nː	n	1.0
oː	ʀ	0.663
oː	ˈɔu̯	0.192
oː	-	0.145
p	p	1.0
r	ʀ	0.938
s	-	0.727
s	z	0.122
s	s	0.099
t	t	0.936
u	-	0.516
u	ə	0.484
w	β	0.827
w	-	0.124
x	x	1.0
z	ʀ	0.673
z	s	0.327
ð	-	0.415
ð	j	0.371
ð	ʦ	0.214
ŋ	ŋ	0.833
ŋ	-	0.167
ɔː	-	1.0
ɡ	ɣ	0.598
ɡ	-	0.245
ɡ	k	0.086
ɡ	x	0.07
ɡʷ	-	1.0
ɡːʷ	-	1.0
ɣ	x	1.0
ʍ	β	0.801
ʍ	-	0.199
ˈa	ˈaː	0.357
ˈa	ˈɑ	0.187
ˈa	ˈɑː	0.113
ˈa	-	0.086
ˈa	ˈæː	0.086
ˈeː	ˈɒː	0.855
ˈeː	ˈeː	0.145
ˈi	ˈɪː	0.372
ˈi	ˈeː	0.123
ˈi	ˈɛː	0.086
ˈi	ɪː	0.068
ˈi	-	0.056
ˈiu̯	ˈeː	0.635
ˈiu̯	ˈœi̯	0.255
ˈiu̯	ˈiː	0.056
ˈiː	ˈiː	0.571
ˈiː	ˈɛi̯	0.144
ˈiː	ˈɛːi̯	0.144
ˈiː	ˈɪː	0.071
ˈiː	ˈɪ	0.069
ˈoː	ˈʊː	0.486
ˈoː	ˈyː	0.216
ˈoː	ˈøː	0.171
ˈoː	ˈɔ	0.126
ˈu	ˈʊː	0.459
ˈu	ˈʏː	0.093
ˈu	ˈɪ	0.074
ˈu	ˈʊ	0.072
ˈu	ˈɔ	0.07
ˈu	ˈɔː	0.065
ˈu	ˈɑː	0.05
ˈuː	ˈuː	0.56
ˈuː	ʀ	0.288
ˈuː	ˈʊː	0.152
ˈɔ	ˈʊː	0.614
ˈɔ	ˈœː	0.167
ˈɔ	ˈu	0.148
ˈɔ	ˈɔ	0.052
ˈɔː	ˈu	0.342
ˈɔː	ˈɔ	0.137
ˈɔː	ˈɔː	0.137
ˈɔː	ˈuː	0.121
ˈɔː	ˈøː	0.085
ˈɔː	ˈoː	0.061
ˈɔː	ˈɔu̯	0.061
ˈɔː	ˈyː	0.058
ˈɛ	ˈeː	0.302
ˈɛ	ˈæː	0.21
ˈɛ	ˈɑ	0.128
ˈɛ	ˈiː	0.082
ˈɛ	ˈæ	0.082
ˈɛ	ˈɛ	0.082
ˈɛ	ˈaː	0.079
ˈɛː	ˈɛː	0.481
ˈɛː	ˈi	0.161
ˈɛː	ˈɛːi̯	0.134
ˈɛː	ˈeː	0.099
ˈɛː	ˈɛ	0.077
β	v	0.677
β	b	0.218
β	p	0.059
θ	d	0.403
θ	t	0.367
θ	-	0.186
