Saterland Frisian	Insular North Frisian	probability
ˈʊ_s	ˈɛ_s	1.0
ˈɛɪ̯_t	ˈɛ_t	1.0
ˈɔːɪ̯	ˈaɪ̯	1.0
ˈœː	ˈœ	1.0
ˈøː	ˈʏ	1.0
ˈyː	ˈə	1.0
ˈu	-	1.0
ˈoː_ɣ	ˈoː	1.0
ˈiːu̯	ˈə	1.0
ˈiː_d	ˈə_ɾ	1.0
ˈaːi̯	ˈaɪ̯	1.0
ɪ	ɪ	1.0
ɣ_ə	ç	1.0
ə_r	ɐ	1.0
ə_l	ə_l	1.0
ŋ	ŋ	1.0
w	f	1.0
v_ə	ə	1.0
t_j	tʲ	1.0
s_l	s_l	1.0
r_j	r	1.0
p	p	1.0
n_t	n_t	1.0
n_d	nʲ	1.0
m	m	1.0
l_d	lʲ	1.0
l	l	1.0
i	aɪ̯	1.0
h	h	1.0
f	f	1.0
d_ə	ɐ	1.0
b	b	1.0
n	n	0.957
s	s	0.94
v	v	0.908
k	k	0.875
t	t	0.843
j	-	0.714
ˈi	ˈə	0.697
ˈɔ	-	0.693
ə	-	0.67
x	x	0.668
ɣ̥	ç	0.621
ˈʊ	ˈʊ	0.615
ˈaː	ˈa	0.592
ɣ	ɡ	0.586
j_ˈoː	ˈiː	0.553
r	r	0.492
ˈeː	ˈiː	0.453
j_ˈoː	ˈɛ	0.447
ˈa	-	0.443
d	ɾ	0.439
ˈɪ	ˈə	0.418
ɣ	ç	0.414
ˈaː	-	0.408
ˈuː	ˈʏ	0.378
ˈɛ	ˈɛ	0.375
ˈɛ	-	0.375
ˈɔː	ˈɔː	0.367
ˈɔː	-	0.355
ˈoːu̯	ˈuː	0.355
d	-	0.344
x	ç	0.332
ˈa	ˈɛ	0.33
ə	ə	0.33
ˈuː	ˈyː	0.314
ˈoː	ˈua̯	0.314
ˈɪ	ˈʊ	0.308
ˈɔ	ˈɔː	0.307
ˈeː	ˈɛ	0.304
ˈoː	-	0.303
ˈi	ˈiː	0.303
ˈiː	ˈə	0.293
j	ˈiː	0.286
ˈɛː	ˈɛː	0.275
ˈɪ	ˈɛ	0.274
r	ɐ	0.274
ˈɛɪ̯	-	0.27
ˈoː	ˈoː	0.27
ˈiː	-	0.269
ˈɛː	ˈɛ	0.254
ˈɛ	ˈa	0.25
ˈeː	ˈeː	0.243
ˈɛɪ̯	ˈɔː	0.241
ɣ̥	ŋ	0.241
ˈa	ˈa	0.227
ˈɛɪ̯	ˈeː	0.226
ˈoːu̯	ˈʊ	0.225
ˈuː	-	0.219
ˈɛː	ˈa	0.205
ˈoːu̯	ˈœ	0.192
ˈiː	ˈiː	0.182
ˈiː	ˈɛ	0.176
ˈʊ	ˈœ	0.171
ˈɔː	ˈɔ	0.168
r	ʁ̥	0.147
ɣ̥	ɣ̥	0.138
ˈɛɪ̯	ˈaɪ̯	0.135
ˈɛː	-	0.134
ˈoːu̯	ˈɔ	0.133
ˈɛː	ˈeː	0.132
ˈɛɪ̯	ˈøː	0.128
k	-	0.125
d	ʁ̥_t	0.121
t	-	0.116
ˈoː	ˈøː	0.113
ˈɔː	ˈa	0.111
ˈʊ	ˈɔ	0.107
ˈʊ	-	0.107
d	t	0.096
ˈoːu̯	-	0.095
ˈuː	ˈœ	0.089
ˈiː	ˈeː	0.08
v	-	0.077
s	ʃ	0.06
