Aragonese	Aragonese	probability
ˈe_ð	t	1.0
ʎ_o_#>	l_#>	1.0
ʃ	ʃ_t	1.0
ɾ_#>	r_i_#>	1.0
ɲ	n	1.0
ɣ_o_#>	k_#>	1.0
ɣ	k	1.0
ŋ	ŋ	1.0
t	t	1.0
s_o_#>	s_#>	1.0
r	r	1.0
p_o_#>	p_#>	1.0
o_#>	#>	1.0
n_o_#>	n_#>	1.0
n_#>	#>	1.0
m	m	1.0
k	k	1.0
j_t	p_t	1.0
i	i	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
e	i	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#_f	<#	1.0
n	n	0.889
o	u	0.867
a	ə	0.862
p	p	0.833
ɾ	r	0.826
ˈu	ˈu	0.818
θ	ʦ	0.75
ˈi	ˈi	0.75
d	d	0.714
#>	i_#>	0.632
ˈa	ˈa	0.619
ɡ	ɡ	0.6
ð	d	0.6
s	s	0.571
w_ˈe	ˈo	0.556
ʎ	ʎ	0.538
ʝ	j	0.5
ʝ	-	0.5
b	v	0.5
w_ˈe	ˈu	0.444
<#	<#_j	0.429
ˈo	ˈo	0.417
l	l	0.412
β	-	0.4
ʧ	ʒ	0.4
ʧ	-	0.4
ɡ	-	0.4
ð	t	0.4
#>	ə_#>	0.368
j_ˈe	ˈe	0.357
j_ˈe	ˈa	0.357
l	r	0.353
ˈo	ˈu	0.333
ˈa	ˈɔ	0.333
w	o̯ˈa	0.333
j	ˈa	0.333
j	i	0.333
j	-	0.333
ˈe	ˈe	0.31
β	p	0.3
β	b	0.3
s	ʃ	0.286
j_ˈe	ˈi	0.286
d	z	0.286
<#	<#_n	0.286
<#	<#_b	0.286
θ	ʧ	0.25
ˈo	o̯ˈa	0.25
ˈi	-	0.25
b	b	0.25
b	-	0.25
l	ʎ	0.235
ʎ	k_ʎ	0.231
w	ˈo	0.222
w	w	0.222
w	-	0.222
ˈe	e̯ˈa	0.207
ʧ	ʤ	0.2
ˈu	ˈu_k	0.182
p	kʲ	0.167
ʎ	-	0.154
s	j	0.143
ˈe	ˈo	0.138
o	r	0.133
n	j_n	0.111
ˈe	w	0.103
ˈe	-	0.103
ɾ	i	0.087
ɾ	-	0.087
ʎ	ˈɛ	0.077
ˈe	ˈi	0.069
ˈe	ˈa	0.069
a	ˈa	0.069
a	ʦ_i	0.069
