Yiddish	Pennsylvania German	probability
a	ə	1.0
b	b	0.572
b	v	0.238
b	b̥	0.124
b	-	0.066
d	d	0.502
d	d̥	0.336
d	-	0.162
f	f	0.991
h	h	0.981
j	j	1.0
k	kʰ	0.459
k	k	0.397
k	ç	0.117
l	l	0.996
m	m	0.983
n	n	0.581
n	ə	0.377
p	p	1.0
s	s	0.819
s	ʃ	0.181
t	d	0.361
t	d̥	0.328
t	t	0.263
v	ʋ	0.936
z	s	1.0
ŋ	ŋ	0.919
ŋ	ə	0.081
ə	ɑ	0.714
ə	ə	0.25
ɛ	ə	0.559
ɛ	-	0.369
ɛ	ɪ	0.072
ɡ	ɡ	0.465
ɡ	ɡ̊	0.27
ɡ	ɣ	0.143
ɡ	ç	0.053
ɪ	ɪ	1.0
ʀ	ɾ	0.513
ʀ	ɑ	0.456
ʃ	ʃ	1.0
ʦ	ʦ	0.943
ʦ	s	0.057
ʧ	ʃ	1.0
ˈa	ˈa	0.739
ˈa	ˈaː	0.093
ˈa	ˈɔː	0.079
ˈa	ˈɛː	0.058
ˈaɪ̯	ˈaɪ̯	0.958
ˈɔ	ˈɔː	0.325
ˈɔ	ˈaː	0.235
ˈɔ	ˈɔ	0.172
ˈɔ	ˈa	0.116
ˈɔ	ˈoː	0.115
ˈɔɪ̯	ˈaʊ̯	0.315
ˈɔɪ̯	ˈɔː	0.313
ˈɔɪ̯	ˈoː	0.211
ˈɔɪ̯	ˈɔ	0.076
ˈɛ	ˈɛ	0.519
ˈɛ	ˈeː	0.288
ˈɛ	ˈɛː	0.174
ˈɛɪ̯	ˈeː	0.895
ˈɛɪ̯	ˈɔɪ̯	0.059
ˈɪ	ˈɪ	0.655
ˈɪ	ˈiː	0.232
ˈɪ	ˈɛ	0.058
ˈʊ	ˈʊ	0.687
ˈʊ	ˈuː	0.209
χ	ç	0.622
χ	x	0.351
