Romagnol	Romagnol	probability
ˈɛ̃	j	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ˈẽ_n	ˈe_n	1.0
ˈẽ	ˈi	1.0
ˈeə̯_r	ˈa_ɾ	1.0
ˈeə̯_l	ˈa_l	1.0
ˈe	-	1.0
ɲ	ɲ	1.0
ɐ_n	n	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	θ_#>	1.0
w	o	1.0
v_ɐ	β_e	1.0
v_#>	β_u_#>	1.0
t_#>	#>	1.0
r_t	ɾ_t	1.0
o	-	1.0
m_b	m	1.0
m	m	1.0
l_ˈɛ	ʎ_ˈi	1.0
k_#>	k_u_#>	1.0
k	k	1.0
j̃	ŋ	1.0
j_ˈɔə̯	ˈi	1.0
f	f	1.0
e	ˈe	1.0
d_ɐ	ð_a	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_d	<#_d	1.0
p	p	0.926
r	ɾ	0.841
ɐ	a	0.831
ˈɛə̯	j_ˈe	0.8
ˈa	ˈa	0.778
ˈʌ̃	ˈa	0.75
ˈɔ	w_ˈe	0.75
ˈou̯	ˈo	0.733
n	n	0.733
b	b	0.733
ɐ_r	ɾ	0.714
t	t	0.703
s	s	0.703
θ	θ	0.667
ˈeː	ˈe	0.667
ʧ	ʝ	0.667
u	o	0.667
a	a	0.667
#>	u_#>	0.644
ð	ʃ	0.625
ˈɔə̯	w_ˈe	0.611
ˈɛ	ˈe	0.6
ʤ	ʃ	0.6
ɡ	ɣ	0.583
<#	<#_ɡ	0.571
l	ʎ	0.564
ˈu	ˈu	0.545
v	b	0.536
ˈo	ˈo	0.526
z	θ	0.5
j	-	0.455
ˈeə̯	ˈa	0.44
<#	<#_ʎ	0.429
ˈi	ˈi	0.421
ʤ	-	0.4
ð	-	0.375
θ	t	0.333
ˈõũ̯	ˈo_ŋ	0.333
ˈõũ̯	ˈo_n	0.333
ˈõũ̯	n	0.333
ˈeː	j_ˈe	0.333
ʧ	ʎ	0.333
u	-	0.333
l	l	0.333
i	e	0.333
d	ð	0.333
d	-	0.333
a	-	0.333
ˈeə̯	ˈa_ɾ	0.32
ˈi	ˈe	0.316
ɐ_r	ɾ_e	0.286
v	β	0.286
ˈɔə̯	ˈo	0.278
ˈu	w	0.273
ˈou̯	ˈu	0.267
b	β	0.267
ˈo	ˈu	0.263
ˈi	j	0.263
ˈɔ	-	0.25
ɡ	ɡ	0.25
z	ˈe_θ	0.25
z	-	0.25
ˈa	-	0.222
i	o	0.222
i	i	0.222
i	-	0.222
ˈo	w_ˈe	0.211
ˈɛə̯	ˈe	0.2
ˈɛ	ˈi	0.2
d	d	0.2
s	e_s	0.189
ˈu	ˈo	0.182
j	ˈe	0.182
j	ʝ_u	0.182
j	s	0.182
v	w	0.179
ɐ	e	0.169
ɡ	ˈe_u	0.167
ˈʌ̃	ˈa_n	0.15
#>	e_#>	0.149
t	ð	0.135
d	u	0.133
ˈeə̯	ˈo	0.12
ˈeə̯	ɾ	0.12
ˈɔə̯	-	0.111
t	ʧ	0.108
l	-	0.103
#>	s_#>	0.103
ˈʌ̃	ˈa_ŋ	0.1
ˈɛ	ˈe_j	0.1
ˈɛ	j	0.1
n	ˈe_n	0.1
n	ɲ	0.1
p	-	0.074
r	r	0.068
n	-	0.067
#>	a_#>	0.057
t	-	0.054
s	ʃ_u	0.054
s	-	0.054
