Old West Norse	Zeelandic	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɛ	-	1.0
ˈɔː	ˈɔ	1.0
ˈɒu̯	ˈʊə̯	1.0
ˈɑu̯	ˈʊə̯	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈøy̯	ˈʊə̯	1.0
ˈyː	ˈiː	1.0
ˈuː	ˈyː	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	x	1.0
ɾ	-	1.0
ɡː	-	1.0
ɡ_r̥	k	1.0
ɟː	x	1.0
ɟ	x	1.0
ɑː	iː	1.0
ŋ	ŋ	1.0
ð_r̥	d̥	1.0
w	ʋ	1.0
t	t	1.0
r̥ː	ɾ	1.0
r_t	ɾ_t	1.0
pː	p	1.0
pʰ	-	1.0
p	p	1.0
n̥	n	1.0
mː	ˈyː_v	1.0
m	m	1.0
lː	ɫ	1.0
kː	ŋ	1.0
j_ˈɔ	ˈɪə̯	1.0
j_ˈɑː	ˈiːə̯	1.0
j_ˈɑ	ˈæ	1.0
j_ˈuː	ˈiː	1.0
j_ɑ	ə	1.0
h	ˈʊə̯	1.0
f	v	1.0
e	ˈæ_n	1.0
d_r̥	d̥	1.0
cʰ	-	1.0
b	b	1.0
a	ə	1.0
l	ɫ	0.976
k	k	0.908
ɑ	ə	0.891
r	ɾ	0.865
n	n	0.857
ɣ	x	0.826
ˈiː	ˈi	0.817
d	d	0.803
ˈɛi̯	ˈɪə̯	0.755
ˈɑː	ˈɛː	0.679
u	-	0.647
tː	x_t	0.613
i_r̥	ə_ɾ	0.6
s	z	0.577
v	ʋ	0.568
r̥	ə	0.561
i	-	0.549
j_ˈoː	ˈiː	0.534
ˈi	ˈɪ	0.529
ð	-	0.526
ˈɔ	-	0.507
ˈoː	-	0.505
ˈeː	-	0.503
v_r̥	ə_v̥	0.5
v_r̥	v̥	0.5
c	x	0.5
c	-	0.5
ˈeː	ˈiː	0.497
ˈɔ	ˈɑ	0.493
ˈu	ˈɔ	0.482
ð	d̥	0.474
j_ˈoː	ˈɪə̯	0.466
ˈy	-	0.46
ˈɑ	ˈɑ	0.457
ˈe	-	0.456
ɡ	x	0.456
nː	n	0.453
i	ə	0.451
s	s	0.423
i_r̥	ə	0.4
tː	t	0.387
u	ɪ	0.353
ˈy	ˈʊə̯	0.336
ˈoː	ˈuː	0.33
ˈe	ˈæ	0.304
ˈi	ˈi	0.299
v	v	0.299
ˈo	ˈøː	0.288
ɡ	ə	0.27
ˈɛi̯	ˈæi̯	0.245
ˈɑ	ˈɛː	0.229
nː	-	0.229
ˈy	ˈʏ	0.204
ˈo	ˈɔ	0.2
d	d̥	0.197
ˈɑː	ˈɑ	0.191
nː	n_d	0.188
r̥	w	0.187
ˈo	ˈʏ	0.184
ˈo	ˈʊə̯	0.184
ˈiː	ˈɪ	0.183
ɣ	x_ə	0.174
ˈu	ˈu	0.172
ˈi	ˈeː	0.172
ˈoː	ˈu	0.165
ˈu	-	0.149
ɡ	-	0.148
ˈo	ˈoː	0.145
n	-	0.143
ˈɑ	ˈæ	0.135
ˈɑː	-	0.13
nː	n_d̥	0.13
ɡ	k	0.126
r̥	ɾ	0.126
r̥	ə_ɾ	0.126
ˈe	ˈɪ	0.12
ˈe	ˈeː	0.12
ˈu	ˈøː	0.11
ˈɑ	-	0.106
v	v̥	0.096
k	x	0.092
ˈu	ˈɪ	0.087
ɑ	-	0.079
ˈɑ	ˈɒː	0.073
r	-	0.061
