Danish	Faroese	probability
b̥	b̥	0.792
b̥	ʰp	0.122
b̥	p	0.086
d̥	d̥	0.853
d̥	ʤ̊	0.135
e	ɛ	0.5
e	ɪ	0.5
f	f	1.0
h	h	0.973
i	a	1.0
j	j	0.573
j	v_ʊ	0.114
j	-	0.104
j	k	0.077
j	w	0.077
jˀ	ɡ̊	1.0
k	k	0.627
k	ʰkː	0.24
k	ʰʧː	0.074
kʰ	kʰ	0.589
kʰ	ʧʰ	0.411
l	l	0.804
l	t_l̥	0.091
lˀ	l	0.565
lˀ	l̥	0.341
lˀ	ɹ	0.094
m	m	0.891
m	ɹ_m	0.07
mˀ	m	1.0
n	n	0.705
n	n̥	0.114
n	nː	0.109
n	t_n̥	0.058
nˀ	n	0.472
nˀ	nː	0.345
nˀ	ʰt	0.124
nˀ	-	0.06
p	p	0.921
p	ʰpː	0.079
s	s	0.87
s	ʃ	0.1
t	t	0.447
t	ʰtː	0.446
t	ʈ	0.077
w	v	0.616
w	ˈɛːi̯	0.111
w	w	0.105
w	f_a	0.07
w	k	0.057
wˀ	w	0.568
wˀ	f	0.432
ð̞ˠ	t	0.523
ð̞ˠ	ʰt	0.185
ð̞ˠ	j	0.164
ð̞ˠ	w	0.058
ŋ	ŋ	0.711
ŋ	ɲ	0.289
ŋˀ	ŋ	1.0
ɐ	ɹ	0.59
ɐ	ʊ_ɹ	0.182
ɐ	ɪ	0.133
ɐ	w	0.057
ɐˀ	ɹ	0.632
ɐˀ	-	0.368
ə	a	0.738
ə	ɪ	0.06
ɡ̊	ɡ̊	0.47
ɡ̊	ɡ̊ː	0.265
ɡ̊	ʤ̊	0.123
ɡ̊	ʧ	0.079
ɡ̊	ʤ̊ː	0.063
ʁ	ɹ	0.951
ʋ	v	0.979
ʦʰ	tʰ	0.803
ʦʰ	ʧʰ	0.197
ˈa	ˈa	0.581
ˈa	ˈɛːa̯	0.221
ˈa	ˈɔ	0.198
ˈaː	ˈɛːa̯	1.0
ˈe	ˈɪ	0.609
ˈe	ˈɛ	0.25
ˈeˀ	ˈɛːa̯	0.35
ˈeˀ	ˈai̯	0.264
ˈeˀ	ˈaːi̯	0.203
ˈeˀ	ˈɛ	0.077
ˈeˀ	ˈiː	0.067
ˈeː	ˈeː	0.663
ˈeː	ˈʊ	0.337
ˈi	ˈɛːa̯	0.393
ˈi	ʊ	0.276
ˈi	ˈɪ	0.275
ˈi	ˈɛ	0.056
ˈiˀ	ˈʊ̯iː	0.477
ˈiˀ	ˈʊ	0.212
ˈiˀ	ˈeː	0.113
ˈiˀ	ʊ̯ˈiː	0.099
ˈiˀ	ˈiː	0.099
ˈiː	ˈʊ̯iː	0.728
ˈiː	ˈiː	0.272
ˈo	ˈɔ	0.492
ˈo	w	0.203
ˈo	ˈoː	0.188
ˈo	ˈa	0.117
ˈoˀ	ˈɔːu̯	0.533
ˈoˀ	ˈɪ	0.229
ˈoˀ	ˈøː	0.09
ˈoˀ	ˈœ	0.075
ˈoː	w	0.439
ˈoː	ˈɔ	0.19
ˈoː	ˈɪ	0.125
ˈoː	ˈœ	0.11
ˈoː	ˈiː	0.094
ˈu	ˈʊ	0.848
ˈu	ˈʏ	0.071
ˈu	ˈuː	0.05
ˈuˀ	ˈʉːu̯	0.608
ˈuˀ	ˈʊ	0.136
ˈuˀ	ˈuː	0.094
ˈuˀ	-	0.06
ˈuˀ	ˈɔːu̯	0.059
ˈuː	ˈɪ	0.274
ˈuː	ˈʊ	0.269
ˈuː	ˈuː	0.159
ˈuː	ˈʏ	0.158
ˈuː	ˈiː	0.14
ˈy	ˈʏ	1.0
ˈyˀ	ˈʊ̯iː	0.312
