Sicilian	Lengadocian	probability
ˈɔ_ɾ	ˈɔ_ʀ	1.0
ˈɔ_n	ˈu_n	1.0
ˈu_ɾ	ˈu	1.0
ˈu_n	ˈu	1.0
ˈi_n	ˈi	1.0
ˈa_ʈ	ˈa_j	1.0
ˈa_n	ˈa	1.0
ʦ	-	1.0
ʤː	-	1.0
ʐː	ʀ	1.0
ʈː	t	1.0
ʈ	t	1.0
ʃː_ɪ	j_s	1.0
ʃː	s	1.0
ʃ	e_s	1.0
ɾ_ʊ	ɾ_e	1.0
ɾ_n	ʀ	1.0
ɾ_a	ɾ_ɔ	1.0
ɽ	ɾ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_r	ˈi	1.0
ɡ_ʊ	k	1.0
ɟ	ɡ_l	1.0
ɖː_a	l_ɔ	1.0
ɖː	l	1.0
ɕ_ɪ	ʦ	1.0
ŋ	ŋ	1.0
ç	f_l	1.0
w_ˈa	ˈa	1.0
w_s	l_s	1.0
v_ʊ	w	1.0
v_ɪ	w	1.0
sː	-	1.0
s	s	1.0
p_ʊ	s	1.0
p_ɪ	β	1.0
o	u	1.0
nː_ɪ	n_d	1.0
n_ˈa	n_ˈa	1.0
mː_ɪ	nː	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l_i	l_e	1.0
kː	k	1.0
k_ɾ	k_ɾ	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
cː	l	1.0
c	p_l	1.0
bː	w	1.0
a_t	a_ð	1.0
ˈa	ˈa	0.949
l	l	0.86
u	u	0.843
b	b	0.816
k	k	0.812
d	d	0.799
a	ɔ	0.773
ˈɛ	ˈɛ	0.751
n	n	0.75
p	p	0.742
z	-	0.737
i	e	0.674
ʤ	ʤ	0.643
j	ʤ	0.639
w	w	0.63
ɟː	ʎ	0.622
tː	ʧ	0.609
v	b	0.604
ˈo	ˈu	0.6
r	-	0.587
ɾ	ɾ	0.576
nː	ˈy_m	0.574
ˈi	ˈe	0.565
ʦː	ʦ	0.562
ˈe	ˈe	0.559
t	t	0.539
ˈu	ˈy	0.516
ɡ	ɡ	0.503
ɡ	ɣ	0.497
ˈɔ	ˈɔ	0.49
ʊ	e	0.485
ɪ	e	0.459
ˈe	-	0.441
ʦː	-	0.438
ˈu	ˈu	0.436
nː	n	0.426
ˈo	ˈɔ	0.4
v	β	0.396
tː	t	0.391
ɕ	-	0.385
ɟː	l	0.378
w	-	0.37
ʤ	-	0.357
ɕ	z	0.339
ˈi	ˈi	0.333
t	ð	0.324
ʊ	s	0.323
j	j	0.278
ɕ	s	0.277
z	lː	0.263
p	β	0.258
n	-	0.25
ɾ	ʀ	0.247
r	ʀ	0.232
ˈɔ	ˈu	0.205
d	t	0.201
ʊ	w	0.192
k	ɣ	0.188
a	a	0.188
b	β	0.184
ˈɔ	ɥ_ˈɛ	0.183
r	ɾ	0.181
ɾ	-	0.177
i	i	0.17
u	y	0.157
i	-	0.156
l	-	0.14
t	-	0.137
ɪ	j	0.132
ˈɛ	-	0.13
ɪ	s	0.121
ˈɛ	j_ˈɛ	0.118
ɪ	-	0.118
ɪ	ˈi	0.1
j	-	0.083
ˈɔ	ɥ_ˈɔ	0.082
ɪ	d	0.07
ˈi	ˈɛ	0.051
ˈi	l	0.051
