Slovenian	Proto-Slavic	probability
àː	aˀ	1.0
áː	-	1.0
b	b	1.0
d	d	1.0
e	ê	1.0
j	-	1.0
m	m	1.0
òː	ǒ	1.0
z	z	1.0
ɔ́	ǒ	1.0
ʃ	ʒ	1.0
ʒ	ʒ	1.0
èː	ɛ	0.171
i	i	0.951
k	ɡ_ŭ	0.151
r	r	0.961
w	l	0.41
x	x_ŭ	0.381
ə́	ĭ̌	0.761
ʦ	-	0.151
èː	ɛː	0.552
ìː	ɨ̌	0.822
s	s	0.792
ɔ	ô	0.112
ʋ	v_ŭ	0.122
a	ǎ	0.703
íː	ɨ̂ː	0.583
k	k	0.533
l	l	0.943
p	b_ŭ	0.123
t	t_ŭ	0.113
t	t	0.613
ɔ̀ː	ǒ	0.063
ɔ́ː	ĭ̂	0.343
ɛ̀ː	ẽ	0.133
éː	ê	0.104
ɔ	ǒ	0.124
ɔ	o	0.764
ə	r_ŭ	0.064
ə	ŭ	0.084
ə	m_ĭ	0.254
ʧ	t	0.224
éː	ɛˀ	0.085
éː	e	0.155
óː	o	0.415
ɛ	ɛ̌	0.145
ɛ	e	0.855
k	k_ŭ	0.316
n	n_ĭ	0.266
n	n	0.426
t	d_ŭ	0.066
ʧ	ʧ	0.776
a	a	0.297
éː	ẽ	0.207
íː	i	0.417
óː	ô	0.377
p	p	0.877
t	t_ĭ	0.197
ɔ̀ː	o	0.937
ɔ́ː	ĭˀ	0.657
ɛ̀ː	e	0.867
ɡ	ɡ_ôː	0.17
èː	-	0.078
ìː	ǐ	0.178
n	n_ŭ	0.308
o	ô	0.958
óː	ôː	0.208
s	s_ŭ	0.208
ə	ĭ	0.598
ɡ	ɡ	0.8
ʋ	-	0.078
ʋ	v	0.8
èː	ɛˀ	0.199
éː	ɛ̂ː	0.449
w	l_ŭ	0.59
x	x	0.619
ə́	ĭ	0.239
ʦ	ʦ	0.849
