Kashubian	Bulgarian	probability
b	b	1.0
f	f	1.0
i	ɐ	1.0
j	ɛ	1.0
k	k	1.0
m	m	1.0
n	n	1.0
p	p	1.0
u	-	1.0
u̯ɛ	ˈɔ	1.0
v	v	1.0
w	ɫ	1.0
x	x	1.0
z	z	1.0
ŋ	-	1.0
ɔ	o	1.0
ə	ˈi	1.0
ɡ	ɡ	1.0
ɲ	n	1.0
ʂ	-	1.0
ʃ	ʃ	1.0
ʐ	r	1.0
ʒ	ʒ	1.0
ʣ	d	1.0
ʤ	-	1.0
ˈi	ˈi	1.0
ˈõ	ˈɤ	1.0
ˈu	ˈɔ	1.0
ˈʉ	u	1.0
t	t	0.981
ʧ	-	0.181
ˈa	ˈa	0.381
ˈɛ	-	0.11
ˈɛ	ˈɤ	0.301
l	lʲ	0.562
ʧ	ʧ	0.462
ˈe	ˈɛ	0.682
ˈɔ	ˈa	0.22
ˈɛ	ˈa	0.202
ˈɞ	ˈa	0.292
d	d_ɛ	0.13
u̯ˈɛ	ˈɔ	0.43
ʦ	j_ɐ	0.203
a	ˈa	0.784
s	s	0.974
ɛ	ɛ	0.214
ˈə	i	0.104
a	ɐ	0.216
l	ɫ	0.26
r	r	0.956
ɛ	ˈɛ	0.786
ˈa	-	0.06
ˈɔ	ˈɔ	0.066
ˈə	ˈi	0.896
d	d	0.87
u̯ˈɛ	o	0.57
ʧ	t	0.357
ˈɔ	ɛ	0.457
l	l	0.178
ʦ	ʦ	0.228
ˈe	ˈa	0.318
ˈɔ	o	0.258
ˈɛ	ˈɛ	0.388
ˈɞ	ˈɤ	0.708
ʦ	t	0.569
ˈa	ˈɛ	0.559
