Asturian	Campidanese	probability
b	b	1.0
d	d	1.0
f	f	1.0
k	k	1.0
m	m	1.0
p	p	1.0
ɡ	ɡ	1.0
ʃ	ʃː	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
t	t	0.911
ð	ð	0.871
ʎ	l	0.611
ʝ	ʣ	0.1
ˈi	ˈi	0.81
θ	ʒ	0.101
θ	ʒ_i	0.321
a	a	0.832
e	a	0.082
s	s	0.782
ɣ	ɡ	0.152
ʝ	j	0.42
ˈe	e	0.062
θ	ʧ	0.322
i	-	0.223
o	u	0.213
r	rː	0.153
s	z	0.073
w	ˈo	0.253
ˈe	ˈi	0.183
ˈu	ˈo	0.073
l	l_i	0.14
n	n	0.974
o	ˈo	0.374
u	i	0.054
ʎ	p_r	0.054
ʎ	r	0.064
ˈe	ˈe	0.554
ŋ	-	0.115
ˈi	ˈi_ʣ	0.075
e	-	0.086
e	i	0.446
o	o	0.326
s	z_ŏ	0.066
ð	-	0.086
ɲ	nː	0.446
ʎ	ʧ	0.06
ˈo	ˈu	0.286
i	i	0.777
l	l	0.527
o	-	0.087
r	r	0.847
u	u	0.887
w	w	0.747
ɲ	ɲː	0.237
ɾ	-	0.137
ɾ	r	0.527
ˈe	i	0.117
ˈi	-	0.057
ˈo	ˈo	0.67
ˈu	ˈu	0.927
a	-	0.098
e	e	0.268
s	-	0.058
ŋ	ŋ	0.318
ŋ	n_i	0.568
ɣ	ɣ	0.848
ɲ	n	0.318
ɾ	r_i	0.178
ʎ	ɖː	0.18
β	-	0.588
θ	-	0.228
l	-	0.29
ɾ	r_e	0.059
ʝ	-	0.479
β	β	0.389
