Polish	Štokavian	probability
ˈi	î	1.0
ˈa_r	r̂ː	1.0
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʂ	r	1.0
ɨ_#>	#>	1.0
ɡ	ɡ	1.0
ɛ_ɲ	eː	1.0
ɛ_w̃_#>	e_#>	1.0
ɛ_#>	e_#>	1.0
ɕ	s	1.0
ɔ	o	1.0
z	z	1.0
x	x	1.0
w̃_ʂ	ʒ	1.0
w̃	-	1.0
w_ɨ	o	1.0
v	ʋ	1.0
t_#>	d_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
p	p	1.0
n	n	1.0
m_p	b	1.0
m_j	m	1.0
m	m	1.0
k_i	a_k	1.0
k_#>	ɡ_#>	1.0
k	k	1.0
j_ˈɛ	êː	1.0
j_ɛ	a	1.0
i_#>	#>	1.0
f	ʋ	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ô	1.0
<#_ʨ	<#_t	1.0
<#_v	<#_ʋ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
r	r	0.857
w	l	0.8
l	l	0.727
ʨ	t	0.667
ʐ	r	0.667
j	j	0.667
ʈ͡ʂ	ʧ	0.6
ɲ	n	0.556
ɛ	a	0.556
ˈɨ	îː	0.5
ˈɨ	î	0.5
ɨ	iː	0.5
ɨ	i	0.5
ʈ͡ʂ	-	0.4
ˈu	ôː	0.364
ʨ	t_i	0.333
ʐ	ʒ	0.333
j	-	0.333
ˈu	ûː	0.273
l	ʎ	0.273
ɲ	ɲ	0.222
ɲ	-	0.222
ɛ	ě	0.222
ɛ	e	0.222
ˈɛ	ě	0.217
ˈɛ	ê	0.217
ˈɛ	-	0.217
w	-	0.2
ˈa	ê	0.188
ˈa	â	0.188
ˈu	û	0.182
ˈu	âː	0.182
ˈɔ	ǒ	0.161
ˈɔ	ô	0.161
r	r̩̂ː	0.143
ˈɛ	êː	0.13
ˈɛ	â	0.13
ˈɔ	ûː	0.129
ˈɔ	ôː	0.129
ˈa	j_êː	0.125
ˈa	î	0.125
ˈa	ěː	0.125
ˈa	êː	0.125
ˈa	e	0.125
ˈɔ	â	0.097
ˈɛ	j_ěː	0.087
ˈɔ	ě	0.065
ˈɔ	e	0.065
ˈɔ	ǎː	0.065
ˈɔ	âː	0.065
ˈɔ	-	0.065
