French	Aromanian	probability
ɲ	ɲ	1.0
ɥ	o̯ˈa	1.0
ɛ_d	a_ʤ	1.0
z	ʦ	1.0
y	ˈu	1.0
t	t	1.0
j_ɛ	ˈe	1.0
b	b	1.0
ʁ	r	0.813
m	m	0.811
ʃ	k	0.787
ø	ˈo_k	0.755
ɡ	ɡ	0.738
k	k	0.735
d	ʣ	0.688
p	p	0.678
ə	i	0.671
n	n_ə	0.63
u	ˈu	0.603
f	f	0.564
i	ˈi	0.563
œ	ˈo	0.512
œ	-	0.488
e	ˈa_r	0.472
j	-	0.471
w	e̯ˈa	0.467
ɛ̃	ˈi_n	0.459
ɔ	ˈo	0.401
ʒ	ʣ	0.394
l	l	0.383
ɛ̃	ˈɨ_n	0.376
n	n	0.37
j	ʎ	0.357
s	ʦ	0.351
ɛ	ˈa	0.334
ə	-	0.329
l	ʎ	0.325
ɔ̃	ˈu_n	0.316
d	n_i	0.312
ʒ	ʤ	0.31
ɔ̃	-	0.304
s	s	0.303
ɑ̃	n_t	0.301
ʒ	-	0.295
ɑ̃	n	0.295
v	j	0.294
o	ˈa	0.292
l	r	0.292
u	u	0.277
e	r_i	0.269
w	-	0.267
v	p	0.265
ɡ	-	0.262
f	ç	0.262
o	ˈa_l	0.249
ø	o̯ˈa	0.245
ɛ	e̯ˈa	0.243
a	ˈa	0.242
v	v	0.239
o	ˈo_s	0.236
o	ˈe_l	0.222
i	-	0.215
s	ʃ	0.214
ʃ	k_ə	0.213
p	k	0.204
ɑ̃	ɨ_n	0.203
ɑ̃	ˈi_m	0.202
ɔ	u	0.201
ɔ̃	ˈu	0.199
m	ɲ	0.189
ɔ̃	ˈu_ŋ	0.181
f	w	0.175
a	e̯ˈa	0.173
j	k_ʎ	0.172
ɛ	ˈe	0.167
k	ʦ	0.166
ɛ̃	ˈɨ	0.165
v	-	0.162
ɔ	ˈa	0.141
ɔ	ˈu	0.139
w	i_d	0.133
w	i	0.133
a	ˈe	0.132
e	ˈa_t	0.129
e	ˈa	0.129
a	i	0.125
u	ˈo_j	0.12
ɔ	o̯ˈa	0.118
p	k_e̯ˈa	0.118
s	-	0.106
ʁ	i_r	0.104
i	i	0.101
k	-	0.099
a	ə	0.087
ɛ	ˈɨ	0.082
a	-	0.082
a	ˈi	0.08
a	r	0.079
i	ˈə	0.077
ɛ	t_ˈi	0.061
ɛ	-	0.057
ɛ	ˈa_p	0.056
