Palatine German	Palatine German	probability
β_ˈɑ	w	1.0
ˈɪ	ˈi	1.0
ˈɑːɪ̯	ˈa_d	1.0
ˈɑ	ˈa	1.0
ˈuː	ˈoː	1.0
ˈu	ˈu	1.0
ˈõː	n_u	1.0
ˈo	ˈeː	1.0
ˈiː	ˈiu̯	1.0
ˈi	ˈiu̯_ɣ	1.0
ˈẽː	ˈɔː_n	1.0
ˈau̯	ˈuː	1.0
ʣ̥	t	1.0
ʃ_β	s_w	1.0
ʃ_d̥	s_t	1.0
ɪ	u	1.0
ɑ	oː	1.0
ɐ_n	r_n	1.0
x_l	ɡ_l	1.0
x_d̥	h_t	1.0
x	h	1.0
n_ɐ	n	1.0
m	m	1.0
h	h	1.0
f_#>	f_#>	1.0
b̥_l	e	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ʣ̥	<#_t	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_h	1.0
l	l	0.885
b̥	b	0.824
β	w	0.722
ˈɑː	ˈa	0.714
r	r	0.692
ˈɛː	ˈɛː	0.667
ŋ	ŋ_ɡ	0.667
n	n	0.667
<#_d̥	<#_d	0.643
#>	s_#>	0.628
f	f	0.619
ə	a	0.615
ɐ	r	0.593
ˈaɪ̯	ˈiː	0.583
ˈeː	ˈɛː_w	0.5
ˈeː	ˈɛː	0.5
ɡ̊	k	0.5
ɡ̊	-	0.5
s	t	0.5
ˈɔ	ˈu	0.462
d̥	θ	0.458
ˈoː	ˈɔː	0.417
ˈɔ	ˈɔ	0.385
f	p	0.381
ʃ	s_k	0.368
s	s	0.357
<#_d̥	<#_θ	0.357
ˈɛː	ˈi_ɡ	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	ˈa	0.333
ˈoː	ˈeː	0.333
ˈaɪ̯	-	0.333
ŋ	ŋ	0.333
d̥	d	0.333
ʃ	k	0.316
ˈɑː	ˈɔː	0.286
#>	n_#>	0.256
ˈoː	-	0.25
ˈɛ	ˈi	0.222
ɐ	a_r	0.222
ʃ	s	0.211
b̥	f_s	0.176
β	β	0.167
ˈɔ	-	0.154
ə	j_a	0.154
r	θ	0.154
r	ð	0.154
s	t_s	0.143
d̥	t	0.125
l	lː	0.115
β	ʍ	0.111
ˈɛ	-	0.111
ɐ	-	0.111
ʃ	x_s	0.105
#>	a_#>	0.093
n	nː	0.091
ˈaɪ̯	ɡʷː	0.083
d̥	θ_iː	0.083
ə	n_s	0.077
ə	n	0.077
ə	-	0.077
ɐ	a	0.074
n	ŋ	0.061
n	n_θ	0.061
n	n_d	0.061
n	-	0.061
