Old Prussian	Old Prussian	probability
ɡ_i_s	ʐ̊	1.0
w	vʲ	1.0
uː	ɨ	1.0
t_o	tʲ	1.0
s_#>	#>	1.0
oːu̯	i	1.0
o_#>	#>	1.0
n_aː	nʲ	1.0
n_a	n	1.0
n_#>	#>	1.0
k_t	ʨ	1.0
iː	-	1.0
i_n	ɪ	1.0
eː	lʲ	1.0
au̯_j	fʲ	1.0
ai̯	ɐ_dʲ	1.0
a_ŋ	u	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
i	-	0.818
k	k	0.8
r	r	0.75
b	b	0.714
v	v	0.667
a	o	0.647
t	tʲ	0.6
n	-	0.6
z	z	0.571
l	ɫ	0.556
d	d	0.5
#>	ˈ_#>	0.467
o	ə	0.455
m	m	0.455
l	lʲ	0.444
s	-	0.438
z	zʲ	0.429
p	-	0.429
t	t	0.4
ɡ	ʐ	0.375
ɡ	ɡ_ə	0.375
o	a	0.364
m	mʲ	0.364
u	-	0.357
a	-	0.353
v	-	0.333
#>	a_ˈ_#>	0.333
d	dʲ	0.3
u	ɨ_ˈ	0.286
p	pʲ	0.286
p	p	0.286
b	bʲ	0.286
n	n	0.267
ɡ	ɡ̊	0.25
s	s	0.25
e	ɪ	0.238
e	e_ˈ	0.238
e	-	0.238
k	ʂ	0.2
d	d̥	0.2
#>	ə_#>	0.2
s	x	0.188
o	-	0.182
m	-	0.182
r	r_o	0.167
u	ɐ	0.143
u	o	0.143
e	ə	0.143
e	a	0.143
n	ɨ_j	0.133
s	j	0.125
i	ɪ	0.091
i	o	0.091
r	rʲ	0.083
u	ʉ	0.071
