Insular North Frisian	Bokmål Norwegian	probability
ˈʊ_m	mː	1.0
ˈɛː	-	1.0
ˈøː	-	1.0
ˈaʊ̯	ˈuː	1.0
ʃ	s	1.0
ʁ̥_t	ɾ	1.0
ɪ_ç	ɡ	1.0
ɪ	ɪ	1.0
ɣ̥	j	1.0
ɡ_ˈʊ	ɡ	1.0
ə_n	ə_n	1.0
ɐ_n	ɳ	1.0
ŋ_k	kː	1.0
ð_ɐ	ɾ	1.0
x_t	tː	1.0
x	-	1.0
tʲ	ç	1.0
tʰ	tʰ	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
nʲ	nː	1.0
lʲ	lː	1.0
kʰ	kʰ	1.0
f	f	1.0
e	-	1.0
b	b	1.0
aɪ̯	ˈɛ	1.0
h	h	0.874
s	s	0.856
p	p	0.844
v	ʋ	0.828
k	k	0.828
m	m	0.778
ə	-	0.764
t	t	0.74
ʁ̥	ɾ	0.734
l	l	0.734
ŋ	ŋː	0.73
d	d	0.698
ɡ	ɡ	0.653
ç	-	0.641
ˈa	ˈɑ	0.64
ˈua̯	ˈøː	0.635
n	n	0.615
ð	ˈæː	0.573
ˈyː	ˈyː	0.558
ɾ	d	0.545
ɐ	ɾ	0.544
ˈʊ	ˈʉ	0.524
ˈœ	-	0.483
ˈʏ	ˈʉː	0.464
ɾ	nː	0.455
ˈə	ˈɪ	0.45
ˈɔː	ˈɑː	0.446
ˈyː	ˈʉː	0.442
ˈeː	-	0.435
ð	-	0.427
ˈɔ	-	0.385
n	nː	0.385
ˈuː	ˈuː	0.359
ç	ɡː	0.359
ˈuː	-	0.351
ˈaɪ̯	ˈæɪ̯	0.347
ɡ	-	0.347
ˈaɪ̯	ˈɛ	0.34
ˈɔ	ˈɔ	0.327
ˈə	ˈiː	0.316
ˈaɪ̯	-	0.313
ˈʊ	-	0.307
ˈɛ	-	0.3
ˈiː	ˈiː	0.293
ˈuː	ˈoː	0.29
ˈɔ	ˈɛ	0.288
ɐ	ə_ɾ	0.285
ˈiː	ˈæɪ̯	0.273
ŋ	ŋ	0.27
ʁ̥	ʈː	0.266
l	lː	0.266
t	tː	0.26
ˈoː	ˈuː	0.259
ˈoː	-	0.259
ə	ə	0.236
ˈa	ˈɛ	0.235
ˈə	-	0.234
ˈoː	ˈøː	0.222
m	mː	0.222
ˈɔː	ˈɑ	0.22
ˈiː	ˈyː	0.216
ˈʏ	ˈʉ	0.193
ˈoː	ˈoː	0.192
ˈua̯	-	0.191
ˈœ	ˈʉ	0.189
d	-	0.188
ˈeː	ˈœ	0.18
ˈua̯	ˈoː	0.174
k	-	0.172
ˈʊ	ˈɔ	0.169
ˈɔː	ˈoː	0.169
ˈɔː	ˈɛ	0.164
ˈœ	ˈʊ	0.164
ˈœ	ˈɑ	0.164
p	pː	0.156
ˈʏ	ˈʊ	0.151
ˈeː	ˈøː	0.146
ˈɛ	ˈɛ	0.143
ˈeː	ˈɛ	0.141
ˈɛ	ˈœ	0.13
ˈiː	-	0.126
h	j	0.126
ˈa	-	0.125
ˈɛ	ˈɑ	0.119
ˈʏ	ˈɑ	0.114
d	tʰ	0.113
s	ʂ	0.112
ɐ	ɳ	0.111
ˈɛ	ˈʏ	0.109
ˈeː	ˈɑ	0.098
v	-	0.095
ˈiː	ˈeː	0.092
ˈɛ	ˈøː	0.085
ˈʏ	-	0.078
v	ˈʉː	0.078
ˈoː	ˈœʏ̯	0.068
ɐ	-	0.059
