Romanian	Romanian	probability
ˈɨ_j	ˈa	1.0
ˈə	-	1.0
ˈo_k_#>	ˈø_#>	1.0
ˈo_j	ˈu	1.0
ˈi_r	e	1.0
ˈi_m	ˈɛ_ŋ	1.0
ˈi_k	ˈi	1.0
ˈau̯	ˈɔ	1.0
ˈa_t	ˈa	1.0
ˈa_r	ˈe	1.0
ʧʲ	-	1.0
ʦ	s	1.0
ʒ	ʤ	1.0
ʃ_t	s	1.0
ʃ	s	1.0
ɨ_n	ŋ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
z_b	v	1.0
z	d	1.0
w	-	1.0
v	v	1.0
u_m	l	1.0
u_#>	#>	1.0
t_#>	t_#>	1.0
r_t	r_t	1.0
r_e_#>	#>	1.0
r_#>	l_#>	1.0
o̯ˈa_r	ˈu_r	1.0
o	-	1.0
nʲ	ŋ	1.0
n_e_#>	#>	1.0
n_#>	ŋ_#>	1.0
m_e_#>	m_#>	1.0
kʲ_#>	j_#>	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ˈɛ	1.0
i_n	a_n	1.0
i	-	1.0
f_r	b_ˈɛ	1.0
f	f	1.0
e_r	e	1.0
e_#>	#>	1.0
d_ˈe	dː	1.0
b	b	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_t	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
#>	z_#>	1.0
d	d	0.889
s	s	0.857
k	k	0.848
ˈɨ	ˈa	0.833
ə	a	0.829
p	p	0.781
ˈa	ˈa	0.739
r	r	0.717
p_t	t	0.714
ˈi	ˈi	0.692
t	t	0.68
u	u	0.667
s_#>	s_#>	0.667
m	m	0.667
j	j	0.667
e̯ˈa	ˈe	0.667
w_#>	#>	0.6
r_ə	r_a	0.6
ʤ	ʤ	0.545
n	n	0.5
ˈu	ˈu	0.486
n	ŋ	0.447
ˈe	ˈɛ	0.4
w_#>	v_#>	0.4
r_ə	r	0.4
o̯ˈa	ˈɔ	0.4
ˈe	ˈe	0.36
l	l	0.353
l	j	0.353
ʧ	s	0.35
ˈo	ˈɔ	0.348
u	-	0.333
s_#>	#>	0.333
j	-	0.333
e̯ˈa	ˈɛ	0.333
ˈu	ˈy	0.314
ˈo	ˈø	0.304
e	e	0.29
e	-	0.29
p_t	j_t	0.286
ʤ	z	0.273
o̯ˈa	ˈu	0.267
e	a	0.258
ʧ	z	0.25
ʧ	-	0.25
ˈo	ˈu	0.217
o̯ˈa	ˈø	0.2
m	ɲ	0.2
ˈi	-	0.192
ʤ	-	0.182
l	w	0.176
ˈa	ˈe	0.174
ˈɨ	-	0.167
t	-	0.16
ʧ	k	0.15
s	-	0.143
o̯ˈa	-	0.133
m	-	0.133
ˈo	-	0.13
p	v	0.125
ə	-	0.122
ˈe	ˈi	0.12
ˈe	-	0.12
l	-	0.118
ˈi	ˈɛ	0.115
ˈu	-	0.114
d	-	0.111
e	j	0.097
p	-	0.094
k	-	0.091
ˈa	ˈɛ	0.087
r	l	0.087
r	j	0.087
ˈu	ˈɔ	0.086
t	s	0.08
t	d	0.08
r	ˈɛ	0.065
e	ˈe	0.065
k	ʧ	0.061
n	ˈɛ_ŋ	0.053
